CLASS14:optim+0.010638297872340425 applic+0.013297872340425532 problem+0.013297872340425532 theori+0.015957446808510637 network+0.015957446808510637 develop+0.018617021276595744 comput+0.031914893617021274 physic+0.031914893617021274 particular+0.034574468085106384 achiev+0.03723404255319149 complex+0.0398936170212766 algorithm+0.0398936170212766 approach+0.0398936170212766 work+0.0425531914893617 condit+0.04521276595744681 term+0.04521276595744681 general+0.047872340425531915 set+0.05319148936170213 exist+0.05319148936170213 under+0.05851063829787234 dynam+0.061170212765957445 improv+0.061170212765957445 appli+0.06382978723404255 demonstr+0.06382978723404255 mani+0.06648936170212766 process+0.06914893617021277 generat+0.07180851063829788 inform+0.07446808510638298 non+0.07712765957446809 allow+0.08244680851063829 structur+0.0851063829787234 depend+0.0851063829787234 state+0.0851063829787234 import+0.08776595744680851 point+0.09042553191489362 space+0.09308510638297872 perform+0.09308510638297872 here+0.09308510638297872 function+0.09574468085106383 new+0.09574468085106383 order+0.10106382978723404 sever+0.10372340425531915 ani+0.10372340425531915 direct+0.10638297872340426 consid+0.10904255319148937 when+0.11702127659574468 local+0.11702127659574468 final+0.11702127659574468 deriv+0.11702127659574468 been+0.11702127659574468 properti+0.1196808510638298 measur+0.1196808510638298 possibl+0.125 includ+0.125 well+0.1276595744680851 simul+0.13031914893617022 analysi+0.13031914893617022 valu+0.13297872340425532 recent+0.13297872340425532 due+0.1356382978723404 effici+0.1356382978723404 some+0.13829787234042554 case+0.14095744680851063 paramet+0.15159574468085107 where+0.15159574468085107 through+0.15159574468085107 requir+0.1622340425531915 scale+0.1622340425531915 field+0.1622340425531915 investig+0.16489361702127658 each+0.1675531914893617 number+0.1675531914893617 relat+0.1702127659574468 howev+0.1702127659574468 predict+0.1702127659574468 energi+0.17819148936170212 rang+0.19414893617021275 over+0.19680851063829788 estim+0.19946808510638298 addit+0.2047872340425532 may+0.2074468085106383 limit+0.2074468085106383 strong+0.21010638297872342 previous+0.22340425531914893 obtain+0.22606382978723405 distribut+0.22872340425531915 three+0.2898936170212766 rate+0.2978723404255319 increas+0.300531914893617 other+0.324468085106383 form+0.3271276595744681 compar+0.3377659574468085 consist+0.4521276595744681 signific+0.4574468085106383 low+0.4734042553191489 most+0.5877659574468085 mass+0.5904255319148937 onli+0.6143617021276596 while+0.6622340425531915 all+0.7367021276595744
CLASS15:network+0.013483696984555038 achiev+0.016425594508457955 optim+0.019612650159352783 algorithm+0.02353518019122334 improv+0.028438342731061536 applic+0.0402059328266732 effici+0.04167688158862466 inform+0.04388330473155185 perform+0.04486393723951949 approach+0.05368962981122824 mani+0.05736700171610689 demonstr+0.05932826673204217 develop+0.06079921549399363 recent+0.06153468987496936 been+0.0627604805099289 comput+0.0649669036528561 complex+0.06594753616082373 howev+0.06643785241480755 problem+0.07550870311350821 requir+0.0777151262564354 import+0.08605050257416033 state+0.0902181907330228 while+0.09046334886001471 work+0.09438587889188527 generat+0.09487619514586909 signific+0.0953665113998529 exist+0.097818092669772 sever+0.10198578082863446 due+0.11081147340034322 appli+0.1127727384162785 process+0.11669526844814905 increas+0.12257906349595489 through+0.12674675165481736 compar+0.12895317479774454 particular+0.13115959794067172 final+0.13312086295660702 term+0.13410149546457464 predict+0.13875949987742095 most+0.14145623927433196 addit+0.14415297867124297 ani+0.1502819318460407 previous+0.15616572689384653 here+0.1600882569257171 under+0.16180436381466046 may+0.16425594508457955 low+0.16474626133856338 condit+0.16719784260848247 limit+0.16744300073547438 each+0.17210100514832066 local+0.1725913214023045 direct+0.1725913214023045 new+0.17724932581515077 theori+0.17847511645011033 rate+0.17994606521206177 dynam+0.18141701397401325 allow+0.18411375337092425 relat+0.18435891149791617 some+0.18509438587889188 analysi+0.1855847021328757 physic+0.192939445942633 over+0.19931355724442265 estim+0.19980387349840648 point+0.20446187791125275 set+0.20961019857808286 possibl+0.2103456729590586 simul+0.21206177984800195 three+0.21230693797499386 general+0.21475851924491296 onli+0.2154939936258887 investig+0.22284873743564598 space+0.22603579308654081 number+0.2275067418484923 strong+0.2277518999754842 other+0.2277518999754842 consid+0.2378033831821525 includ+0.24221622946800686 non+0.24491296886491787 case+0.25864182397646485 order+0.2591321402304486 deriv+0.26477077715126257 when+0.2713900465800441 consist+0.27261583721500365 structur+0.27433194410394707 scale+0.27923510664378526 obtain+0.27948026477077714 rang+0.2831576366756558 distribut+0.2838931110566315 well+0.28487374356459916 energi+0.28830595734248593 properti+0.304486393723952 valu+0.3084089237558225 depend+0.3113508212797254 function+0.317970090708507 where+0.3211571463594018 paramet+0.33488600147094877 measur+0.3476342240745281 field+0.3643049767099779 form+0.37215003677371905 mass+0.4089237558225055 all+0.5511154694778132
CLASS2:mass+0.015938511326860843 estim+0.06270226537216829 rate+0.06715210355987054 energi+0.0691747572815534 low+0.07686084142394822 measur+0.08211974110032362 deriv+0.08292880258899676 compar+0.08333333333333333 predict+0.08826860841423949 strong+0.0894822006472492 rang+0.09563106796116505 increas+0.09660194174757282 field+0.09886731391585761 relat+0.09911003236245955 physic+0.10517799352750809 consist+0.10614886731391586 simul+0.1087378640776699 valu+0.11067961165048544 investig+0.11124595469255663 due+0.11197411003236246 form+0.11286407766990292 local+0.11771844660194175 depend+0.11860841423948221 scale+0.11957928802588996 signific+0.12354368932038835 dynam+0.13276699029126213 paramet+0.13778317152103559 through+0.13794498381877024 here+0.14093851132686083 condit+0.14215210355987054 previous+0.14797734627831716 distribut+0.148705501618123 theori+0.148705501618123 three+0.15080906148867315 direct+0.15275080906148866 term+0.1615695792880259 limit+0.16399676375404532 may+0.1651294498381877 properti+0.16545307443365695 final+0.16779935275080907 point+0.17160194174757282 import+0.17524271844660194 appli+0.17702265372168285 generat+0.17928802588996764 space+0.1878640776699029 analysi+0.18996763754045307 demonstr+0.19093851132686085 addit+0.19279935275080906 obtain+0.1948220064724919 sever+0.1948220064724919 possibl+0.19555016181229773 effici+0.20129449838187702 process+0.20614886731391585 improv+0.2074433656957929 achiev+0.2080097087378641 allow+0.2098705501618123 function+0.21407766990291263 particular+0.21472491909385114 inform+0.22233009708737864 under+0.22419093851132685 recent+0.2244336569579288 order+0.22653721682847897 non+0.22677993527508092 structur+0.229126213592233 includ+0.23147249190938513 howev+0.23357605177993526 over+0.23454692556634305 complex+0.23576051779935275 mani+0.2377831715210356 develop+0.23843042071197412 optim+0.24579288025889967 applic+0.24749190938511326 some+0.2487864077669903 requir+0.2511326860841424 network+0.2605987055016181 ani+0.26488673139158575 consid+0.2668284789644013 state+0.2745145631067961 when+0.27637540453074433 exist+0.28252427184466017 approach+0.2853559870550162 perform+0.297411003236246 well+0.29951456310679614 while+0.2999190938511327 been+0.2999190938511327 case+0.30962783171521036 each+0.3255663430420712 comput+0.33058252427184465 number+0.3360032362459547 general+0.337621359223301 most+0.33810679611650485 work+0.34061488673139156 onli+0.34514563106796114 algorithm+0.3470873786407767 new+0.366747572815534 where+0.37281553398058254 other+0.38236245954692555 set+0.40817152103559873 problem+0.4335760517799353 all+0.4726537216828479
CLASS5:optim+0.00641025641025641 algorithm+0.00641025641025641 problem+0.008547008547008548 achiev+0.010683760683760684 improv+0.017094017094017096 network+0.019230769230769232 set+0.023504273504273504 applic+0.029914529914529916 approach+0.029914529914529916 inform+0.03418803418803419 consid+0.038461538461538464 appli+0.042735042735042736 ani+0.049145299145299144 comput+0.049145299145299144 demonstr+0.05128205128205128 work+0.05128205128205128 case+0.053418803418803416 when+0.05982905982905983 all+0.06196581196581197 exist+0.06196581196581197 mani+0.06623931623931624 general+0.06837606837606838 number+0.06837606837606838 requir+0.07051282051282051 under+0.07051282051282051 sever+0.07264957264957266 condit+0.07692307692307693 perform+0.07692307692307693 final+0.07905982905982906 term+0.08333333333333333 allow+0.08547008547008547 limit+0.08547008547008547 paramet+0.08547008547008547 each+0.08547008547008547 new+0.0876068376068376 generat+0.09188034188034189 over+0.09401709401709402 here+0.09401709401709402 valu+0.09829059829059829 develop+0.09829059829059829 recent+0.10042735042735043 theori+0.10256410256410256 some+0.10256410256410256 predict+0.1047008547008547 effici+0.10897435897435898 function+0.10897435897435898 been+0.1111111111111111 particular+0.1111111111111111 howev+0.1111111111111111 other+0.11324786324786325 deriv+0.11538461538461539 estim+0.11538461538461539 onli+0.11965811965811966 previous+0.12179487179487179 obtain+0.12393162393162394 addit+0.12393162393162394 state+0.12606837606837606 point+0.12606837606837606 space+0.1282051282051282 well+0.13034188034188035 order+0.13034188034188035 possibl+0.13247863247863248 where+0.1346153846153846 three+0.1346153846153846 measur+0.13675213675213677 analysi+0.14743589743589744 import+0.14743589743589744 includ+0.14957264957264957 direct+0.1517094017094017 complex+0.15598290598290598 signific+0.16025641025641027 rang+0.1623931623931624 through+0.17094017094017094 increas+0.17307692307692307 non+0.1752136752136752 may+0.1794871794871795 physic+0.19017094017094016 rate+0.19444444444444445 depend+0.19658119658119658 local+0.22863247863247863 due+0.2329059829059829 simul+0.23717948717948717 distribut+0.24145299145299146 process+0.26282051282051283 energi+0.2670940170940171 dynam+0.27564102564102566 compar+0.2841880341880342 strong+0.28846153846153844 consist+0.28846153846153844 investig+0.3055555555555556 while+0.3547008547008547 low+0.41025641025641024 properti+0.44017094017094016 scale+0.4423076923076923 most+0.4893162393162393 field+0.5192307692307693 mass+0.5277777777777778 form+0.6196581196581197 relat+0.6752136752136753 structur+0.7521367521367521
CLASS6:theori+0.025491237387148168 energi+0.031332979288369624 field+0.048327137546468404 mass+0.05045140732873075 dynam+0.05204460966542751 strong+0.05735528412108338 where+0.057886351566648966 depend+0.06213489113117366 onli+0.08125331917153479 physic+0.0844397238449283 here+0.088688263409453 point+0.088688263409453 may+0.09134360063728093 condit+0.09665427509293681 non+0.09771640998406797 term+0.09824747742963356 order+0.10196494954859267 possibl+0.10621348911311737 local+0.10727562400424855 state+0.10727562400424855 case+0.10833775889537971 some+0.10939989378651088 consid+0.11205523101433883 investig+0.11577270313329793 form+0.11630377057886351 particular+0.12055231014338821 through+0.12267657992565056 direct+0.12426978226234732 deriv+0.1248008497079129 due+0.13064259160913436 valu+0.13117365905469994 exist+0.13170472650026555 other+0.13382899628252787 when+0.13382899628252787 under+0.13436006372809348 ani+0.13542219861922464 mani+0.14816781731279874 paramet+0.14976101964949548 final+0.15029208709506106 general+0.15135422198619225 while+0.1534784917684546 space+0.1566648964418481 recent+0.15878916622411046 properti+0.1609134360063728 generat+0.16356877323420074 consist+0.1651619755708975 limit+0.16622411046202867 allow+0.16675517790759425 sever+0.16941051513542218 rang+0.16941051513542218 three+0.17100371747211895 import+0.17206585236325014 addit+0.17259691980881572 scale+0.17684545937334042 obtain+0.1816250663834307 process+0.18268720127456187 structur+0.18268720127456187 previous+0.18428040361125864 complex+0.18587360594795538 increas+0.186404673393521 simul+0.19543281996813594 predict+0.19543281996813594 relat+0.2012745618693574 been+0.20764737121614446 optim+0.21242697822623474 applic+0.21402018056293148 rate+0.2214551248008497 appli+0.22782793414763675 requir+0.23048327137546468 develop+0.23473181093998938 howev+0.23473181093998938 achiev+0.23685608072225173 problem+0.23951141795007966 demonstr+0.24482209240573552 low+0.24747742963356345 effici+0.2543813064259161 inform+0.25650557620817843 work+0.2580987785448752 each+0.2655337227827934 number+0.272437599575146 function+0.2745618693574084 distribut+0.275092936802974 includ+0.2766861391396707 new+0.29739776951672864 improv+0.3048327137546468 analysi+0.30801911842804036 estim+0.30801911842804036 comput+0.31226765799256506 network+0.31226765799256506 algorithm+0.3260754115772703 set+0.3266064790228359 over+0.33616569304301647 approach+0.34519383961763145 well+0.3462559745087626 signific+0.40626659585767394 compar+0.42379182156133827 most+0.43228890069038767 measur+0.45034519383961763 perform+0.5055762081784386 all+0.6425916091343601
CLASS7:mass+0.011941848390446522 form+0.05192107995846314 simul+0.05529595015576324 properti+0.05581516095534787 strong+0.06490134994807892 most+0.06593977154724819 rate+0.06619937694704049 energi+0.06671858774662513 distribut+0.07087227414330217 investig+0.07892004153686397 depend+0.08359293873312565 all+0.08541017653167186 rang+0.08592938733125649 physic+0.08878504672897196 scale+0.0893042575285566 increas+0.09319833852544133 low+0.09839044652128764 dynam+0.11370716510903427 through+0.11786085150571132 function+0.11967808930425752 process+0.12123572170301142 condit+0.1272066458982347 theori+0.13058151609553478 deriv+0.13161993769470404 here+0.13551401869158877 complex+0.13551401869158877 while+0.13681204569055036 local+0.14460020768431983 includ+0.14511941848390447 three+0.15472481827622014 structur+0.15472481827622014 point+0.1555036344755971 due+0.15913811007268952 consist+0.15965732087227413 space+0.16147455867082036 effici+0.16173416407061267 some+0.16640706126687435 ani+0.1690031152647975 import+0.16926272066458983 predict+0.17237798546209762 number+0.17289719626168223 may+0.17523364485981308 generat+0.1754932502596054 over+0.17653167185877466 possibl+0.1773104880581516 term+0.17938733125649015 final+0.1801661474558671 valu+0.18276220145379024 particular+0.18302180685358255 mani+0.18483904465212878 sever+0.18509865005192108 previous+0.1923676012461059 limit+0.1954828660436137 under+0.19574247144340604 allow+0.19911734164070613 relat+0.20249221183800623 direct+0.20301142263759087 paramet+0.2084631360332295 field+0.21625129802699897 consid+0.22092419522326065 where+0.22274143302180685 exist+0.22611630321910695 order+0.22715472481827623 optim+0.22819314641744548 requir+0.23001038421599168 addit+0.23156801661474558 recent+0.23572170301142265 well+0.2380581516095535 non+0.240134994807892 achiev+0.24143302180685358 each+0.2484423676012461 develop+0.2523364485981308 case+0.2528556593977155 demonstr+0.2538940809968847 signific+0.25597092419522327 appli+0.2562305295950156 onli+0.26583592938733125 applic+0.2749221183800623 general+0.2777777777777778 analysi+0.278816199376947 estim+0.28063343717549327 comput+0.2816718587746625 algorithm+0.2819314641744548 been+0.2842679127725857 inform+0.284527518172378 set+0.29075804776739356 improv+0.29387331256490135 when+0.29880581516095533 work+0.29880581516095533 network+0.31412253374870197 howev+0.3390446521287643 new+0.3411214953271028 other+0.3530633437175493 state+0.3598130841121495 problem+0.36993769470404986 approach+0.38317757009345793 obtain+0.3870716510903427 measur+0.40654205607476634 perform+0.45716510903426794 compar+0.4979231568016615
CLASS8:problem+0.033214709371293 algorithm+0.04285290628706999 general+0.04655990510083037 ani+0.0517497034400949 all+0.05412218268090154 optim+0.05812574139976275 some+0.05871886120996441 case+0.060498220640569395 complex+0.07132265717674971 set+0.07339857651245552 where+0.07680901542111507 each+0.07932977461447212 number+0.08718861209964412 mani+0.08763345195729537 condit+0.0908956109134045 particular+0.09549228944246738 network+0.09638196915776986 theori+0.0966785290628707 point+0.09682680901542111 form+0.10112692763938315 under+0.10290628706998814 term+0.10438908659549229 exist+0.1064650059311981 relat+0.10854092526690391 consid+0.10898576512455516 achiev+0.11195136417556346 applic+0.11610320284697509 final+0.12336892052194544 local+0.12470344009489917 appli+0.1278173190984579 space+0.12841043890865955 comput+0.12855871886120995 inform+0.12870699881376038 when+0.1291518386714116 sever+0.13256227758007116 effici+0.13641755634638197 deriv+0.1465005931198102 properti+0.1542111506524318 onli+0.1553973902728351 may+0.16340450771055753 non+0.16473902728351128 most+0.16711150652431792 generat+0.16785290628706998 structur+0.1709667852906287 improv+0.1709667852906287 direct+0.17185646500593119 requir+0.1727461447212337 possibl+0.17556346381969157 three+0.17660142348754448 import+0.17808422301304863 approach+0.1786773428232503 allow+0.17882562277580072 other+0.1797153024911032 depend+0.18104982206405695 function+0.181791221826809 develop+0.18208778173190984 valu+0.18431198102016608 addit+0.1895017793594306 obtain+0.19380189798339265 recent+0.19498813760379596 previous+0.19587781731909845 order+0.1972123368920522 state+0.19795373665480426 through+0.2013641755634638 dynam+0.20240213523131673 estim+0.20848161328588374 over+0.20951957295373666 work+0.2111506524317912 strong+0.2129300118623962 investig+0.21352313167259787 here+0.21708185053380782 physic+0.2197508896797153 distribut+0.22494068801897985 rate+0.22864768683274023 demonstr+0.23279952550415184 while+0.24822064056939502 paramet+0.2528173190984579 increas+0.25504151838671413 limit+0.2557829181494662 process+0.25771055753262156 consist+0.2587485172004745 predict+0.26008303677342826 includ+0.26631079478054565 due+0.26734875444839856 new+0.2793594306049822 been+0.28113879003558717 howev+0.2823250296559905 analysi+0.28262158956109135 perform+0.2958185053380783 well+0.29833926453143533 scale+0.30768090154211153 rang+0.3167259786476868 mass+0.31717081850533807 energi+0.31791221826809013 simul+0.3236951364175564 low+0.3306642941874259 field+0.34534400948991695 signific+0.34801304863582444 compar+0.3601720047449585 measur+0.4083629893238434
CLASS9:algorithm+0.012585812356979404 optim+0.014874141876430207 perform+0.02803203661327231 network+0.03318077803203661 effici+0.03489702517162471 achiev+0.03546910755148741 comput+0.04061784897025172 simul+0.04862700228832952 problem+0.05091533180778032 improv+0.05606407322654462 complex+0.06636155606407322 applic+0.06636155606407322 function+0.07608695652173914 rate+0.07665903890160183 term+0.08009153318077804 generat+0.08123569794050343 demonstr+0.08180778032036613 under+0.08180778032036613 compar+0.08466819221967964 condit+0.08581235697940504 increas+0.09096109839816933 approach+0.09153318077803203 appli+0.09210526315789473 develop+0.09725400457665904 number+0.09839816933638444 estim+0.10526315789473684 dynam+0.10583524027459955 inform+0.10755148741418764 each+0.10755148741418764 requir+0.11327231121281464 obtain+0.11498855835240275 where+0.11556064073226545 distribut+0.11899313501144165 point+0.12242562929061784 three+0.12299771167048056 final+0.12643020594965676 scale+0.12814645308924486 energi+0.12929061784897025 through+0.13443935926773457 local+0.13443935926773457 consid+0.13558352402745996 order+0.13615560640732266 deriv+0.13672768878718536 set+0.13844393592677345 signific+0.14130434782608695 valu+0.14187643020594964 case+0.14187643020594964 over+0.14244851258581237 depend+0.14359267734553777 theori+0.14588100686498856 low+0.14759725400457666 when+0.14874141876430205 non+0.14931350114416475 rang+0.15217391304347827 direct+0.16018306636155608 paramet+0.16533180778032036 particular+0.16590389016018306 investig+0.16704805491990846 state+0.16990846681922198 sever+0.17391304347826086 limit+0.17620137299771166 analysi+0.17963386727688788 process+0.17963386727688788 space+0.18077803203661327 ani+0.18421052631578946 addit+0.18478260869565216 due+0.19050343249427917 while+0.19107551487414187 mani+0.19221967963386727 allow+0.1956521739130435 field+0.1956521739130435 consist+0.19794050343249428 predict+0.20080091533180777 import+0.20995423340961097 structur+0.2128146453089245 exist+0.21910755148741418 work+0.2311212814645309 strong+0.2334096109839817 general+0.2334096109839817 previous+0.2391304347826087 form+0.2654462242562929 includ+0.2654462242562929 physic+0.26887871853546913 well+0.2808924485125858 here+0.29576659038901604 properti+0.3009153318077803 some+0.3094965675057208 possibl+0.32151029748283755 may+0.32379862700228834 recent+0.32379862700228834 new+0.33810068649885583 measur+0.33867276887871856 all+0.34668192219679633 mass+0.36441647597254007 onli+0.3878718535469107 howev+0.39473684210526316 other+0.4290617848970252 been+0.4462242562929062 most+0.5469107551487414 relat+0.5949656750572082
CLASS11:network+0.006801399144966964 algorithm+0.010493587252234746 all+0.02137582588418189 optim+0.031869413136416634 achiev+0.03458997279440342 inform+0.03711620676253401 improv+0.04275165176836378 complex+0.045472211426350564 effici+0.05207928488146133 perform+0.05246793626117373 structur+0.05596579867858531 applic+0.0577147298872911 problem+0.05985231247570929 mani+0.06335017489312086 develop+0.07034589972794403 most+0.07131752817722503 process+0.0783132530120482 demonstr+0.08103381267003498 comput+0.08181111542945978 each+0.08530897784687136 requir+0.08938981733385154 work+0.09152739992226973 generat+0.09211037699183833 appli+0.09832879906723668 sever+0.10143801010493587 approach+0.10240963855421686 ani+0.10240963855421686 exist+0.10454722114263505 set+0.10474154683249126 import+0.10474154683249126 some+0.11270890011659541 through+0.12320248736883016 over+0.12806062961523512 under+0.12883793237465993 three+0.1340847260007773 allow+0.1352506801399145 new+0.14263505635445006 condit+0.14263505635445006 analysi+0.14865915273999222 been+0.150408083948698 point+0.15196268946754762 previous+0.155266226195103 direct+0.15973571706179557 form+0.16167897396035755 particular+0.16342790516906336 howev+0.16556548775748153 may+0.16731441896618732 final+0.1686746987951807 term+0.17664205207928488 here+0.17703070345899727 addit+0.17780800621842208 includ+0.17936261173727167 recent+0.18111154294597745 physic+0.18324912553439565 local+0.18519238243295763 space+0.18771861640108822 signific+0.19141080450835601 estim+0.1917994558880684 possibl+0.1956859696851924 predict+0.20015546055188496 other+0.20112708900116597 investig+0.2110376991838321 dynam+0.2114263505635445 increas+0.2127866303925379 consist+0.21939370384764867 distribut+0.22444617178390983 rate+0.22541780023319083 theori+0.22794403420132142 simul+0.2308589195491644 general+0.23319082782743877 number+0.23591138748542556 properti+0.24018655266226194 compar+0.24018655266226194 due+0.24018655266226194 strong+0.24115818111154294 consid+0.2500971628449281 when+0.2565099106101827 deriv+0.25709288767975125 while+0.26195102992615626 onli+0.26778080062184223 rang+0.2679751263116984 limit+0.2683637776914108 order+0.2722502914885348 scale+0.27652545666537115 case+0.27846871356393316 measur+0.28449280994947534 state+0.2934317916828605 well+0.29828993392926545 obtain+0.2994558880684026 valu+0.3060629615235134 low+0.31636222308589196 function+0.31733385153517296 non+0.3179168286047415 energi+0.33521181500194325 depend+0.3497862417411582 field+0.3507578701904392 paramet+0.36066848037310534 where+0.3816556548775748 mass+0.4108045083560047 relat+0.5411970462495141
CLASS12:problem+0.013904982618771726 optim+0.015063731170336037 network+0.023754345307068367 applic+0.02549246813441483 algorithm+0.02607184241019699 achiev+0.02954808806488992 theori+0.03650057937427578 complex+0.046349942062572425 condit+0.04808806488991889 generat+0.04808806488991889 onli+0.051564310544611816 under+0.05272305909617613 develop+0.05388180764774044 approach+0.05504055619930475 effici+0.05735805330243337 inform+0.058516801853997685 mani+0.06141367323290846 comput+0.06199304750869061 requir+0.06199304750869061 where+0.06199304750869061 general+0.07010428736964079 demonstr+0.07937427578215528 process+0.08227114716106605 dynam+0.0828505214368482 point+0.08516801853997683 non+0.08864426419466975 state+0.08922363847045191 here+0.08980301274623406 consid+0.09038238702201622 ani+0.093279258400927 case+0.09443800695249131 when+0.09791425260718424 exist+0.0984936268829664 term+0.09907300115874855 while+0.0996523754345307 local+0.10312862108922363 appli+0.1037079953650058 particular+0.10660486674391657 sever+0.10834298957126304 through+0.11413673232908458 number+0.11471610660486674 each+0.11819235225955968 improv+0.11993047508690614 space+0.1205098493626883 direct+0.12804171494785632 function+0.12862108922363846 allow+0.13151796060254925 structur+0.1320973348783314 final+0.1361529548088065 work+0.14020857473928158 some+0.14078794901506372 form+0.14194669756662803 set+0.1425260718424102 simul+0.14426419466975665 import+0.14484356894553882 limit+0.1465816917728853 possibl+0.15237543453070684 recent+0.16222479721900349 perform+0.1657010428736964 increas+0.16628041714947855 field+0.17844727694090382 addit+0.17844727694090382 may+0.17902665121668598 depend+0.17902665121668598 physic+0.18308227114716108 order+0.18482039397450753 three+0.19061413673232908 rate+0.19119351100811124 strong+0.19582850521436848 energi+0.19640787949015065 howev+0.1981460023174971 due+0.1993047508690614 been+0.21552723059096177 scale+0.21726535341830822 investig+0.2242178447276941 predict+0.23232908458864426 over+0.23348783314020857 distribut+0.2421784472769409 includ+0.24275782155272305 valu+0.25202780996523755 well+0.25608342989571264 deriv+0.2705677867902665 estim+0.2850521436848204 other+0.287369640787949 previous+0.28794901506373116 new+0.30359212050984935 obtain+0.3041714947856315 rang+0.3122827346465817 most+0.313441483198146 analysi+0.3603707995365006 paramet+0.36210892236384706 properti+0.36558516801853996 low+0.3684820393974508 signific+0.4020857473928158 consist+0.40614136732329087 measur+0.45538818076477405 compar+0.5156431054461182 mass+0.533603707995365 all+0.5753186558516802 relat+0.6517960602549246
CLASS13:mass+0.010430839002267574 theori+0.023582766439909298 field+0.036281179138321996 physic+0.05170068027210884 deriv+0.05714285714285714 valu+0.05714285714285714 rang+0.06167800453514739 strong+0.06485260770975057 point+0.06666666666666667 energi+0.06757369614512472 condit+0.07165532879818594 all+0.07437641723356009 form+0.07482993197278912 space+0.07528344671201814 function+0.07755102040816327 depend+0.07845804988662132 obtain+0.08072562358276644 non+0.08390022675736962 measur+0.08480725623582766 here+0.08526077097505669 allow+0.08752834467120181 paramet+0.08934240362811792 local+0.09160997732426304 dynam+0.09433106575963719 order+0.10158730158730159 ani+0.10340136054421768 scale+0.1056689342403628 general+0.1056689342403628 properti+0.10748299319727891 possibl+0.10748299319727891 three+0.10839002267573696 case+0.10884353741496598 includ+0.11972789115646258 estim+0.12018140589569161 direct+0.12154195011337869 structur+0.12380952380952381 consist+0.12471655328798185 final+0.1251700680272109 well+0.1306122448979592 term+0.13741496598639455 previous+0.14467120181405896 particular+0.145578231292517 under+0.15011337868480726 some+0.15192743764172337 consid+0.1564625850340136 where+0.15918367346938775 distribut+0.16507936507936508 through+0.1655328798185941 limit+0.16643990929705216 simul+0.16780045351473924 investig+0.16825396825396827 new+0.17324263038548754 appli+0.1746031746031746 addit+0.18321995464852608 complex+0.18775510204081633 set+0.19047619047619047 may+0.19183673469387755 sever+0.1963718820861678 analysi+0.19682539682539682 predict+0.20634920634920634 mani+0.20770975056689342 generat+0.2113378684807256 number+0.22857142857142856 rate+0.23265306122448978 each+0.23401360544217686 import+0.23401360544217686 optim+0.23492063492063492 low+0.24263038548752835 state+0.25215419501133784 exist+0.2562358276643991 demonstr+0.2634920634920635 over+0.27120181405895694 applic+0.27528344671201815 requir+0.27981859410430837 develop+0.2811791383219955 when+0.28798185941043086 problem+0.2893424036281179 algorithm+0.2897959183673469 recent+0.2965986394557823 due+0.2979591836734694 process+0.3052154195011338 effici+0.30612244897959184 relat+0.31519274376417233 inform+0.32063492063492066 work+0.3306122448979592 achiev+0.34512471655328797 other+0.34784580498866213 comput+0.34965986394557824 improv+0.3687074829931973 onli+0.3709750566893424 increas+0.381859410430839 approach+0.38503401360544215 while+0.39909297052154197 been+0.39909297052154197 network+0.44580498866213153 signific+0.4485260770975057 most+0.4657596371882086 compar+0.5437641723356009 howev+0.5614512471655329 perform+0.5723356009070295
