CLASS13:mass+0.011748120300751879 theori+0.022086466165413533 field+0.03712406015037594 physic+0.05263157894736842 valu+0.0587406015037594 rang+0.06109022556390977 deriv+0.06156015037593985 point+0.06156015037593985 energi+0.06203007518796992 strong+0.06954887218045112 form+0.07048872180451128 condit+0.07283834586466166 depend+0.07330827067669173 all+0.07894736842105263 function+0.08223684210526316 obtain+0.08364661654135339 here+0.08411654135338346 space+0.08458646616541353 non+0.08552631578947369 measur+0.08834586466165413 allow+0.08928571428571429 local+0.09022556390977443 paramet+0.09351503759398497 dynam+0.09633458646616541 ani+0.09915413533834587 possibl+0.10009398496240601 properti+0.10197368421052631 three+0.10526315789473684 scale+0.106203007518797 case+0.10667293233082707 order+0.10714285714285714 general+0.10855263157894737 direct+0.1174812030075188 estim+0.11842105263157894 consist+0.1193609022556391 structur+0.11983082706766918 includ+0.12265037593984962 final+0.12734962406015038 well+0.13016917293233082 term+0.1400375939849624 particular+0.14520676691729323 previous+0.14614661654135339 under+0.15178571428571427 distribut+0.15460526315789475 where+0.1550751879699248 some+0.15601503759398497 consid+0.15836466165413535 investig+0.16024436090225563 simul+0.16588345864661655 appli+0.16964285714285715 limit+0.17058270676691728 through+0.1724624060150376 may+0.18280075187969924 new+0.1837406015037594 complex+0.18703007518796994 set+0.18796992481203006 addit+0.1912593984962406 sever+0.19736842105263158 analysi+0.19924812030075187 generat+0.20676691729323307 mani+0.20770676691729323 predict+0.20911654135338345 each+0.22603383458646617 number+0.22885338345864661 import+0.23167293233082706 rate+0.23590225563909775 optim+0.23778195488721804 low+0.2387218045112782 exist+0.2565789473684211 state+0.25892857142857145 demonstr+0.2640977443609023 over+0.2692669172932331 applic+0.2744360902255639 requir+0.27960526315789475 when+0.2800751879699248 develop+0.2824248120300752 problem+0.2866541353383459 algorithm+0.2899436090225564 recent+0.2984022556390977 due+0.3059210526315789 effici+0.3092105263157895 process+0.3125 inform+0.31625939849624063 work+0.337406015037594 relat+0.34539473684210525 comput+0.34727443609022557 other+0.3482142857142857 achiev+0.35714285714285715 onli+0.3674812030075188 improv+0.37640977443609025 approach+0.3881578947368421 increas+0.3890977443609023 while+0.399906015037594 been+0.4050751879699248 signific+0.44783834586466165 network+0.44971804511278196 most+0.46146616541353386 compar+0.5441729323308271 howev+0.568609022556391 perform+0.5704887218045113
CLASS14:optim+0.010869565217391304 problem+0.010869565217391304 theori+0.01358695652173913 applic+0.01358695652173913 network+0.016304347826086956 develop+0.019021739130434784 comput+0.03260869565217391 physic+0.03260869565217391 achiev+0.035326086956521736 condit+0.035326086956521736 approach+0.03804347826086957 complex+0.04076086956521739 particular+0.04076086956521739 algorithm+0.04076086956521739 work+0.04619565217391304 term+0.04619565217391304 general+0.04891304347826087 set+0.051630434782608696 inform+0.05434782608695652 under+0.05434782608695652 exist+0.05434782608695652 improv+0.059782608695652176 dynam+0.0625 demonstr+0.06521739130434782 process+0.06793478260869565 appli+0.06793478260869565 mani+0.06793478260869565 generat+0.07065217391304347 state+0.07336956521739131 depend+0.07608695652173914 import+0.07608695652173914 non+0.08152173913043478 allow+0.08152173913043478 space+0.08695652173913043 structur+0.08695652173913043 function+0.08967391304347826 new+0.09239130434782608 here+0.09239130434782608 perform+0.09510869565217392 point+0.09510869565217392 order+0.10054347826086957 ani+0.10326086956521739 sever+0.10597826086956522 consid+0.10597826086956522 direct+0.10869565217391304 been+0.11141304347826086 measur+0.11413043478260869 well+0.11684782608695653 includ+0.11684782608695653 deriv+0.11956521739130435 when+0.125 properti+0.125 final+0.125 local+0.12771739130434784 analysi+0.12771739130434784 valu+0.12771739130434784 recent+0.12771739130434784 possibl+0.1331521739130435 due+0.1331521739130435 some+0.1358695652173913 effici+0.1358695652173913 case+0.13858695652173914 simul+0.14130434782608695 paramet+0.14402173913043478 requir+0.15217391304347827 investig+0.15489130434782608 through+0.15489130434782608 scale+0.16032608695652173 where+0.16032608695652173 predict+0.16032608695652173 number+0.16304347826086957 each+0.16304347826086957 howev+0.16847826086956522 relat+0.1766304347826087 over+0.1766304347826087 energi+0.1766304347826087 field+0.1793478260869565 limit+0.19021739130434784 addit+0.19293478260869565 rang+0.1956521739130435 estim+0.20652173913043478 strong+0.20923913043478262 may+0.21467391304347827 obtain+0.22010869565217392 previous+0.22010869565217392 distribut+0.25271739130434784 three+0.296195652173913 rate+0.30434782608695654 increas+0.3125 form+0.31521739130434784 compar+0.328804347826087 other+0.328804347826087 consist+0.453804347826087 signific+0.46195652173913043 low+0.4673913043478261 most+0.592391304347826 mass+0.6032608695652174 onli+0.6086956521739131 while+0.657608695652174 all+0.7527173913043478
CLASS15:network+0.013539192399049882 achiev+0.018764845605700714 optim+0.021140142517814726 algorithm+0.023990498812351543 improv+0.025890736342042756 effici+0.040380047505938245 applic+0.04085510688836105 inform+0.04204275534441805 perform+0.04346793349168646 approach+0.05415676959619953 mani+0.056769596199524944 been+0.06009501187648456 demonstr+0.06152019002375297 develop+0.06175771971496437 howev+0.06199524940617577 recent+0.06318289786223277 complex+0.0655581947743468 comput+0.06817102137767221 problem+0.07719714964370546 requir+0.07885985748218527 import+0.08052256532066508 work+0.08479809976247031 while+0.08907363420427554 signific+0.08978622327790974 sever+0.09643705463182897 generat+0.09738717339667459 exist+0.10285035629453682 state+0.10641330166270783 due+0.11092636579572447 appli+0.11258907363420427 increas+0.1154394299287411 process+0.1171021377672209 most+0.12636579572446555 compar+0.12707838479809977 final+0.12945368171021376 through+0.13159144893111638 predict+0.13444180522565322 term+0.1346793349168646 particular+0.13824228028503563 ani+0.14821852731591448 previous+0.1486935866983373 addit+0.15320665083135393 relat+0.15486935866983373 here+0.15558194774346792 may+0.16318289786223278 each+0.1653206650831354 under+0.1660332541567696 low+0.17078384798099763 rate+0.17149643705463183 direct+0.17173396674584324 condit+0.17410926365795726 new+0.17814726840855108 analysi+0.17957244655581947 local+0.18004750593824229 limit+0.18076009501187648 allow+0.1847980997624703 some+0.18527315914489312 estim+0.18931116389548694 over+0.19002375296912113 dynam+0.19073634204275536 physic+0.19453681710213777 theori+0.19477434679334918 set+0.20308788598574823 point+0.20308788598574823 possibl+0.20807600950118765 three+0.21045130641330168 simul+0.21092636579572446 onli+0.21187648456057007 number+0.2161520190023753 investig+0.2180522565320665 general+0.22327790973871733 strong+0.22589073634204276 other+0.22779097387173397 space+0.234916864608076 consid+0.24014251781472684 includ+0.2491686460807601 case+0.25985748218527316 non+0.26128266033254155 when+0.2629453681710214 deriv+0.26888361045130643 distribut+0.2729216152019002 order+0.2762470308788599 rang+0.2826603325415677 consist+0.2838479809976247 scale+0.28479809976247034 obtain+0.28931116389548694 structur+0.29168646080760097 energi+0.2921615201900237 well+0.2985748218527316 valu+0.3106888361045131 depend+0.31187648456057004 properti+0.3154394299287411 where+0.3166270783847981 function+0.32375296912114016 paramet+0.3434679334916865 measur+0.34750593824228027 form+0.3631828978622328 field+0.37054631828978624 mass+0.40783847980997623 all+0.5180522565320665
CLASS2:mass+0.014767932489451477 estim+0.0620253164556962 rate+0.0660759493670886 energi+0.06784810126582279 low+0.07485232067510549 compar+0.07518987341772151 measur+0.08227848101265822 deriv+0.08481012658227848 predict+0.08827004219409283 strong+0.08894514767932489 relat+0.08962025316455696 rang+0.0939240506329114 increas+0.09662447257383966 field+0.09831223628691983 physic+0.10430379746835443 simul+0.10658227848101266 valu+0.10725738396624472 consist+0.10936708860759493 due+0.11105485232067511 form+0.11291139240506329 investig+0.11341772151898734 local+0.11392405063291139 scale+0.11696202531645569 depend+0.11932489451476794 signific+0.12548523206751055 dynam+0.12919831223628692 through+0.13628691983122362 paramet+0.1370464135021097 here+0.13772151898734178 distribut+0.14227848101265822 condit+0.14278481012658228 previous+0.15080168776371308 theori+0.15105485232067511 three+0.15240506329113923 direct+0.15358649789029535 limit+0.1620253164556962 may+0.16430379746835444 term+0.16481012658227848 final+0.16514767932489452 properti+0.16540084388185655 point+0.1719831223628692 import+0.17637130801687764 generat+0.17662447257383967 appli+0.1789873417721519 space+0.18835443037974683 demonstr+0.1888607594936709 addit+0.19097046413502108 analysi+0.1910548523206751 possibl+0.1930801687763713 sever+0.19552742616033755 obtain+0.1968776371308017 effici+0.2010126582278481 process+0.20734177215189872 allow+0.2079324894514768 achiev+0.20818565400843883 function+0.2088607594936709 improv+0.209957805907173 particular+0.21586497890295359 under+0.2170464135021097 structur+0.22312236286919832 inform+0.22312236286919832 order+0.22675105485232067 recent+0.2269198312236287 non+0.22852320675105486 includ+0.23063291139240508 over+0.23265822784810128 complex+0.23459915611814347 mani+0.23670886075949368 develop+0.23755274261603376 howev+0.2390717299578059 optim+0.24253164556962026 applic+0.25021097046413504 some+0.2508016877637131 requir+0.25156118143459916 consid+0.25991561181434597 network+0.26033755274261605 ani+0.26447257383966244 state+0.2726582278481013 when+0.27637130801687765 approach+0.2857383966244726 exist+0.28835443037974684 well+0.2974683544303797 perform+0.2981434599156118 while+0.29957805907172996 been+0.3060759493670886 case+0.30641350210970464 each+0.3254008438818565 comput+0.329873417721519 number+0.3308860759493671 general+0.33502109704641353 most+0.3428691983122363 algorithm+0.3430379746835443 work+0.3461603375527426 onli+0.34919831223628695 where+0.3667510548523207 new+0.3736708860759494 other+0.3868354430379747 set+0.4091139240506329 problem+0.4320675105485232 all+0.4722362869198312
CLASS5:optim+0.005836575875486381 algorithm+0.007782101167315175 achiev+0.009727626459143969 problem+0.01556420233463035 improv+0.01556420233463035 network+0.017509727626459144 set+0.027237354085603113 applic+0.0311284046692607 approach+0.0311284046692607 inform+0.033073929961089495 consid+0.038910505836575876 comput+0.042801556420233464 case+0.04669260700389105 ani+0.048638132295719845 appli+0.05252918287937743 work+0.058365758754863814 requir+0.06031128404669261 exist+0.06031128404669261 demonstr+0.0622568093385214 all+0.0622568093385214 number+0.06420233463035019 sever+0.06614785992217899 when+0.06614785992217899 mani+0.06809338521400778 under+0.07003891050583658 general+0.07392996108949416 perform+0.07392996108949416 limit+0.07587548638132295 term+0.07782101167315175 final+0.07976653696498054 allow+0.07976653696498054 condit+0.07976653696498054 over+0.08171206225680934 generat+0.08560311284046693 paramet+0.08560311284046693 here+0.08754863813229571 each+0.0914396887159533 new+0.09727626459143969 theori+0.09922178988326848 effici+0.09922178988326848 particular+0.10116731517509728 develop+0.10116731517509728 valu+0.10700389105058365 howev+0.10700389105058365 some+0.11089494163424124 previous+0.11867704280155641 state+0.12062256809338522 recent+0.12062256809338522 predict+0.12062256809338522 been+0.122568093385214 obtain+0.122568093385214 space+0.1245136186770428 function+0.1245136186770428 other+0.1245136186770428 addit+0.1245136186770428 deriv+0.1264591439688716 onli+0.1264591439688716 order+0.12840466926070038 point+0.12840466926070038 estim+0.13229571984435798 import+0.13424124513618677 three+0.13813229571984437 where+0.14007782101167315 possibl+0.14007782101167315 includ+0.14202334630350194 measur+0.14202334630350194 complex+0.14591439688715954 direct+0.14980544747081712 well+0.15369649805447472 non+0.1614785992217899 analysi+0.16536964980544747 signific+0.16926070038910507 rang+0.17509727626459143 increas+0.18093385214007782 may+0.18093385214007782 through+0.1867704280155642 depend+0.20038910505836577 physic+0.20038910505836577 rate+0.20428015564202334 local+0.22957198443579765 due+0.23346303501945526 simul+0.2529182879377432 distribut+0.25680933852140075 strong+0.2607003891050584 energi+0.26653696498054474 process+0.26848249027237353 consist+0.2782101167315175 dynam+0.2801556420233463 compar+0.28599221789883267 investig+0.3132295719844358 while+0.3463035019455253 low+0.4066147859922179 scale+0.4182879377431907 properti+0.4708171206225681 most+0.47470817120622566 field+0.4883268482490272 mass+0.5233463035019456 form+0.5992217898832685 structur+0.7120622568093385 relat+0.7334630350194552
CLASS6:theori+0.024264326277749097 energi+0.02839442436757873 field+0.048528652555498195 mass+0.0495611770779556 where+0.05317501290655653 depend+0.055756324212700055 strong+0.055756324212700055 dynam+0.05627258647392876 physic+0.08311822405782138 onli+0.08311822405782138 may+0.09086215797625194 point+0.09499225606608157 condit+0.09550851832731028 non+0.09602478058853897 here+0.09757356737222508 term+0.09757356737222508 order+0.10221992772328342 consid+0.10428497676819824 state+0.10686628807434176 case+0.10944759938048529 possibl+0.10944759938048529 investig+0.10944759938048529 some+0.109963861641714 local+0.11048012390294269 form+0.11254517294785751 due+0.11925658234383067 through+0.12390294269488901 particular+0.12390294269488901 deriv+0.12493546721734641 exist+0.1254517294785751 direct+0.1254517294785751 under+0.12596799173980383 valu+0.12648425400103253 when+0.13113061435209086 other+0.14042333505420754 ani+0.14093959731543623 paramet+0.14145585957666496 final+0.1481672689726381 general+0.15074858027878163 space+0.15281362932369644 mani+0.15384615384615385 while+0.15591120289106866 rang+0.1621063500258131 generat+0.1621063500258131 three+0.16313887454827053 recent+0.16365513680949922 limit+0.16468766133195664 addit+0.16985028394424367 sever+0.1713990707279298 import+0.1724315952503872 consist+0.1729478575116159 allow+0.17604543107898812 properti+0.17707795560144554 process+0.18069179143004646 increas+0.18224057821373257 scale+0.18327310273619 complex+0.18378936499741869 simul+0.18637067630356222 obtain+0.18637067630356222 structur+0.18791946308724833 previous+0.19308208569953536 predict+0.20030975735673723 optim+0.20392359318533815 relat+0.20856995353639649 rate+0.21424883840991224 applic+0.21837893649974188 been+0.2225090345895715 appli+0.22560660815694372 requir+0.22715539494062983 howev+0.23076923076923078 achiev+0.2323180175529169 low+0.23541559112028912 develop+0.2364481156427465 problem+0.23748064016520393 demonstr+0.2447083118224058 effici+0.2483221476510067 work+0.2503871966959215 inform+0.2581311306143521 includ+0.2638100154878678 each+0.2674238513164688 function+0.2798141455859577 number+0.28239545689210116 distribut+0.29117191533298914 improv+0.29788332472896234 new+0.30304594734124934 estim+0.3076923076923077 comput+0.3087248322147651 analysi+0.31078988125967993 network+0.31078988125967993 algorithm+0.321115126484254 set+0.329891584925142 approach+0.3366029943211151 well+0.3376355188435725 over+0.3422818791946309 signific+0.38874548270521425 compar+0.40991223541559113 most+0.44605059370160044 measur+0.45018069179143005 perform+0.481672689726381 all+0.6308724832214765
CLASS7:mass+0.01164294954721863 form+0.054333764553686936 properti+0.05459249676584735 simul+0.05614489003880983 most+0.0628719275549806 strong+0.0628719275549806 rate+0.0646830530401035 energi+0.06649417852522639 distribut+0.07192755498059508 investig+0.0794307891332471 depend+0.08486416558861579 physic+0.08564036222509702 rang+0.08848641655886158 increas+0.09055627425614489 all+0.09340232858990945 scale+0.09391979301423027 low+0.09624838292367399 dynam+0.11384217335058215 process+0.11824062095730918 function+0.11875808538163002 through+0.11979301423027167 condit+0.12367399741267787 theori+0.12910737386804658 deriv+0.13065976714100905 while+0.1332470892626132 complex+0.13479948253557567 here+0.13609314359637775 local+0.1459249676584735 point+0.15291073738680466 includ+0.1534282018111255 due+0.15575679172056922 structur+0.15575679172056922 space+0.15653298835705046 effici+0.1573091849935317 consist+0.15808538163001293 three+0.16248382923673999 ani+0.16739974126778784 import+0.16765847347994825 some+0.1686934023285899 number+0.1702457956015524 generat+0.17179818887451487 predict+0.17179818887451487 term+0.17335058214747737 may+0.17490297542043984 over+0.17542043984476066 possibl+0.17697283311772316 final+0.17826649417852522 particular+0.17826649417852522 sever+0.1829236739974127 valu+0.18602846054333766 limit+0.18835705045278137 mani+0.19016817593790428 allow+0.19637774902975422 relat+0.19663648124191463 previous+0.19715394566623545 under+0.19870633893919792 paramet+0.20517464424320828 direct+0.20517464424320828 exist+0.21785252263906857 consid+0.21992238033635186 field+0.22043984476067272 optim+0.22354463130659766 order+0.22457956015523933 requir+0.2258732212160414 where+0.2258732212160414 addit+0.22923673997412677 non+0.2349288486416559 recent+0.23699870633893919 well+0.23725743855109963 achiev+0.23777490297542045 demonstr+0.25097024579560157 case+0.25122897800776195 develop+0.25252263906856404 signific+0.25485122897800777 each+0.2566623544631307 appli+0.2571798188874515 onli+0.2664941785252264 applic+0.2747736093143596 analysi+0.2773609314359638 general+0.278137128072445 comput+0.27839586028460545 estim+0.27917205692108665 algorithm+0.28020698576972836 inform+0.2817593790426908 been+0.2827943078913325 set+0.2869340232858991 improv+0.29133247089262615 when+0.29702457956015527 work+0.30633893919793015 network+0.3094437257438551 new+0.33428201811125485 howev+0.3423027166882277 problem+0.3611901681759379 state+0.36170763260025873 other+0.36946959896507114 approach+0.3816300129366106 obtain+0.3873221216041397 measur+0.39922380336351876 perform+0.45304010349288487 compar+0.5166882276843467
CLASS8:problem+0.03109035177346373 algorithm+0.04291344329294994 general+0.0442271201284484 ani+0.052984965698438184 some+0.05415267844110349 optim+0.055758283462268285 all+0.06057509852576266 case+0.0627645599182601 set+0.06947890818858561 complex+0.07093854911691724 each+0.08071814333673916 where+0.08130199970807181 number+0.08407531747190192 mani+0.08655670705006568 condit+0.0935629835060575 network+0.09443876806305648 relat+0.09502262443438914 point+0.09619033717705444 theori+0.09692015764122026 particular+0.0979419062910524 exist+0.10494818274704423 under+0.10494818274704423 form+0.10494818274704423 term+0.10684571595387535 achiev+0.11049481827470442 consid+0.11370602831703401 applic+0.11779302291636258 final+0.12260983797985696 comput+0.12392351481535542 inform+0.12421544300102175 space+0.12859436578601663 appli+0.13005400671434827 when+0.13049189899284777 local+0.13063786308568093 sever+0.13282732447817835 effici+0.1366223908918406 deriv+0.14917530287549263 most+0.1509268719894906 onli+0.1528244051963217 properti+0.1591008611881477 may+0.16420960443730842 generat+0.16727485038680484 requir+0.1697562399649686 improv+0.17034009633630126 direct+0.17121588089330025 possibl+0.17209166545029922 three+0.17515691139979564 develop+0.17544883958546198 allow+0.1757407677711283 import+0.17588673186396148 structur+0.17603269595679463 other+0.17632462414246095 approach+0.1789519778134579 non+0.1812874032987885 function+0.18187125967012116 valu+0.18376879287695227 addit+0.18741789519778135 depend+0.19135892570427676 obtain+0.19384031528244053 recent+0.19398627937527368 previous+0.1955918843964385 through+0.1970515253247701 work+0.20434972996642825 order+0.2053714786162604 dynam+0.20551744270909356 state+0.20726901182309151 over+0.21004232958692162 estim+0.21179389870091958 strong+0.21573492920741497 here+0.21675667785724712 physic+0.2188001751569114 distribut+0.2204057801780762 investig+0.22259524157057364 demonstr+0.22463873887023791 rate+0.22960151802656548 paramet+0.2484308860020435 process+0.2495985987447088 limit+0.2526638446942052 increas+0.2544154138082032 predict+0.2558750547365348 consist+0.26010801342869655 while+0.26404904393519196 includ+0.266822361699022 due+0.2674062180703547 new+0.26857393081302 howev+0.27426653043351334 analysi+0.27820756094000876 been+0.2801050941468399 perform+0.29630710845132097 well+0.303459349000146 scale+0.3057947744854766 mass+0.31659611735513066 rang+0.31703400963363015 energi+0.3211210042329587 simul+0.32564589111078673 low+0.3313384907312801 signific+0.34447525908626475 field+0.34797839731426067 compar+0.36038534520507953 measur+0.40300686031236316
CLASS9:algorithm+0.012394645513138325 optim+0.012394645513138325 network+0.02478929102627665 effici+0.03173029251363411 perform+0.03272186415468518 achiev+0.033217649975210706 comput+0.0421417947446703 simul+0.0480912245909767 problem+0.05404065443728309 improv+0.05651958353991076 complex+0.061973227565691624 applic+0.06445215666831929 generat+0.07833415964303421 compar+0.07882994546355974 under+0.08031730292513634 function+0.08081308874566187 rate+0.08081308874566187 condit+0.08626673277144274 term+0.08676251859196826 approach+0.08775409023301933 demonstr+0.08924144769459594 increas+0.09271194843827467 appli+0.09271194843827467 inform+0.10014873574615767 develop+0.10064452156668319 each+0.10213187902825979 number+0.10758552305404065 where+0.11056023797719385 estim+0.11303916707982152 requir+0.11353495290034706 dynam+0.11502231036192365 distribut+0.11601388200297472 point+0.12245909766980664 final+0.12345066931085771 obtain+0.12543381259295985 signific+0.12741695587506197 consid+0.1308874566187407 through+0.1308874566187407 local+0.13138324243926625 energi+0.14030738720872582 over+0.14080317302925136 deriv+0.14080317302925136 three+0.14179474467030243 order+0.14476945959345563 non+0.14625681705503224 set+0.14675260287555775 theori+0.14774417451660882 scale+0.14774417451660882 case+0.1487357461576599 when+0.15121467526028756 low+0.1517104610808131 depend+0.1536936043629152 valu+0.15418939018344074 direct+0.16013882002974714 investig+0.16063460585027267 particular+0.16955875061973227 rang+0.17104610808130888 ani+0.1760039662865642 sever+0.17848289538919188 process+0.1789786812097174 mani+0.17997025285076848 state+0.180466038671294 analysi+0.18294496777392166 while+0.1849281110560238 limit+0.18790282597917699 paramet+0.1893901834407536 due+0.19286068418443233 space+0.19533961328705998 addit+0.19881011403073873 allow+0.20277640059494298 field+0.2072384729796728 consist+0.2107089737233515 import+0.21170054536440258 structur+0.21368368864650472 predict+0.21467526028755576 exist+0.21715418939018344 work+0.2255825483391175 strong+0.23599405057015369 form+0.23996033713435796 general+0.24095190877540903 previous+0.24739712444224096 physic+0.2746653445711453 includ+0.2811105602379772 here+0.28755577590480913 some+0.29449677739216656 properti+0.2989588497768964 well+0.3009419930589985 may+0.30639563708477935 possibl+0.315319781854239 all+0.3262270699058007 recent+0.33515121467526027 new+0.3515121467526029 measur+0.35349529003470503 onli+0.3817550818046604 howev+0.38572136836886467 mass+0.38671294000991574 other+0.4134853743182945 been+0.4407535944471988 most+0.5299950421417947 relat+0.58601883986118
CLASS10:field+0.0326508024349751 physic+0.03541781959048146 mass+0.03818483674598783 dynam+0.04537908135030437 energi+0.048699501936912006 structur+0.048699501936912006 been+0.05257332595462092 rang+0.05368013281682346 here+0.05534034311012728 predict+0.05644714997232983 scale+0.0630879911455451 strong+0.07028223574986164 simul+0.07581627006087438 due+0.07581627006087438 howev+0.0774764803541782 theori+0.07802988378527947 investig+0.08411732152739347 low+0.08467072495849474 state+0.08743774211400111 develop+0.08909795240730492 three+0.0896513558384062 direct+0.09075816270060874 demonstr+0.09352517985611511 import+0.09407858328721638 recent+0.09850581073602656 signific+0.09905921416712783 process+0.10514665190924184 includ+0.10514665190924184 may+0.10570005534034312 mani+0.10902047592695074 through+0.11289429994465966 consist+0.1200885445489762 properti+0.1200885445489762 new+0.1223021582733813 well+0.1223021582733813 possibl+0.12562257885998893 sever+0.12949640287769784 allow+0.13558384061981185 local+0.13835085777531822 generat+0.13890426120641947 increas+0.14277808522412838 previous+0.14333148865522966 applic+0.14499169894853348 improv+0.15771997786386274 limit+0.15771997786386274 while+0.16436081903707803 measur+0.16436081903707803 appli+0.16546762589928057 space+0.16823464305478694 order+0.16878804648588822 requir+0.17598229109020475 addit+0.1787493082457111 most+0.18040951853901493 effici+0.1809629219701162 complex+0.18262313226342003 exist+0.1831765356945213 network+0.18483674598782512 point+0.1892639734366353 compar+0.19092418372993913 particular+0.19479800774764802 work+0.19590481460985057 approach+0.19701162147205312 analysi+0.20088544548976203 other+0.20254565578306585 depend+0.20697288323187604 term+0.20918649695628114 non+0.21638074156059767 inform+0.2263420033204206 achiev+0.22966242390702823 condit+0.23353624792473712 perform+0.23464305478693967 final+0.23685666851134476 some+0.2562257885998893 over+0.26397343663530715 onli+0.26563364692861097 comput+0.28334255672385167 estim+0.28776978417266186 ani+0.29828444936358606 under+0.3010514665190924 rate+0.3038184836745988 form+0.3126729385722192 deriv+0.32042058660763695 all+0.32429441062534586 valu+0.3298284449363586 paramet+0.3420033204205866 obtain+0.3464305478693968 algorithm+0.350857775318207 each+0.3541781959048146 optim+0.3879358052019923 relat+0.3973436635307139 general+0.3973436635307139 number+0.43220807969009406 distribut+0.43497509684560043 case+0.4460431654676259 set+0.4477033757609297 consid+0.45987825124515774 when+0.46485888212506915 function+0.49031543995572774 problem+0.5257332595462092 where+0.5993359158826784
CLASS11:network+0.006073347348750292 algorithm+0.011445923849567857 all+0.0277972436346648 optim+0.030833917309039945 inform+0.03597290352721327 achiev+0.03597290352721327 improv+0.039243167484232656 complex+0.043447792571829014 structur+0.04438215370240598 effici+0.04882036907264658 perform+0.049521139920579306 applic+0.0539593552908199 problem+0.05909834150899323 most+0.06166783461807989 mani+0.06236860546601261 develop+0.06844195281476291 each+0.0773183835552441 process+0.07965428638168652 demonstr+0.08082223779490773 comput+0.0817565989254847 requir+0.08993225881803317 sever+0.09273534220976408 generat+0.09553842560149498 work+0.09647278673207195 set+0.09857509927587012 import+0.10137818266760103 appli+0.10207895351553375 ani+0.10488203690726466 some+0.10488203690726466 exist+0.1051156271899089 approach+0.10768512029899556 through+0.11796309273534221 under+0.12356925951880401 allow+0.1329128708245737 new+0.13431441252043916 over+0.1357159542163046 three+0.13711749591217004 been+0.1401541695865452 condit+0.14155571128241065 analysi+0.14762905863116094 point+0.15043214202289185 previous+0.1506657323055361 direct+0.15580471852370942 includ+0.1623452464377482 particular+0.1623452464377482 form+0.16398037841625787 may+0.1651483298294791 addit+0.17145526746087364 here+0.17262321887409485 howev+0.1740247605699603 recent+0.17472553141789302 final+0.17659425367904696 other+0.17776220509226817 local+0.17916374678813363 physic+0.1800981079187106 term+0.18033169820135483 space+0.18593786498481663 estim+0.1885073580939033 possibl+0.19387993459472086 signific+0.19434711516000935 predict+0.2001868722261154 investig+0.2025227750525578 dynam+0.2102312543798178 consist+0.2142022891847699 properti+0.21747255314178932 increas+0.22120999766409719 distribut+0.22728334501284747 simul+0.22751693529549172 rate+0.23218874094837655 general+0.23569259518804017 theori+0.2380284980144826 due+0.23989722027563654 strong+0.24783928988554077 compar+0.25040878299462743 consid+0.253912637234291 number+0.2585844428871759 order+0.2602195748656856 when+0.2606867554309741 deriv+0.2662929222144359 while+0.26676010277972434 rang+0.2681616444755898 limit+0.27003036673674374 measur+0.27236626956318616 onli+0.2730670404111189 case+0.27563653352020556 well+0.277038075216071 scale+0.28334501284746555 state+0.29619247839289886 obtain+0.3008642840457837 low+0.314646110721794 valu+0.3174491941135249 function+0.3246904928754964 non+0.3260920345713618 energi+0.34174258350852604 depend+0.3564587713151133 paramet+0.3611305769679981 field+0.36463443120766176 where+0.3987386124737211 mass+0.41742583508526043 relat+0.5914505956552207
