CLASS14:complex+0.008849557522123894 work+0.008849557522123894 develop+0.008849557522123894 particular+0.008849557522123894 import+0.017699115044247787 simul+0.017699115044247787 here+0.017699115044247787 problem+0.02654867256637168 condit+0.035398230088495575 optim+0.04424778761061947 depend+0.04424778761061947 physic+0.04424778761061947 been+0.04424778761061947 mani+0.04424778761061947 general+0.04424778761061947 network+0.04424778761061947 under+0.05309734513274336 point+0.05309734513274336 theori+0.05309734513274336 set+0.061946902654867256 some+0.061946902654867256 dynam+0.061946902654867256 when+0.061946902654867256 non+0.061946902654867256 demonstr+0.061946902654867256 order+0.07079646017699115 local+0.07079646017699115 properti+0.07079646017699115 algorithm+0.07079646017699115 generat+0.07079646017699115 appli+0.07964601769911504 new+0.07964601769911504 comput+0.07964601769911504 field+0.07964601769911504 process+0.07964601769911504 function+0.08849557522123894 analysi+0.08849557522123894 achiev+0.08849557522123894 effici+0.08849557522123894 energi+0.09734513274336283 perform+0.09734513274336283 structur+0.09734513274336283 sever+0.10619469026548672 well+0.10619469026548672 distribut+0.10619469026548672 inform+0.10619469026548672 paramet+0.10619469026548672 includ+0.10619469026548672 relat+0.11504424778761062 number+0.11504424778761062 deriv+0.11504424778761062 estim+0.11504424778761062 investig+0.11504424778761062 space+0.12389380530973451 approach+0.12389380530973451 previous+0.12389380530973451 possibl+0.12389380530973451 term+0.12389380530973451 recent+0.13274336283185842 howev+0.13274336283185842 valu+0.13274336283185842 ani+0.1415929203539823 allow+0.1415929203539823 rang+0.1415929203539823 measur+0.1504424778761062 consid+0.1504424778761062 due+0.1592920353982301 state+0.1592920353982301 through+0.168141592920354 direct+0.168141592920354 addit+0.18584070796460178 three+0.19469026548672566 each+0.20353982300884957 scale+0.20353982300884957 exist+0.20353982300884957 improv+0.20353982300884957 final+0.20353982300884957 may+0.21238938053097345 over+0.21238938053097345 case+0.23008849557522124 increas+0.23893805309734514 strong+0.23893805309734514 predict+0.24778761061946902 where+0.25663716814159293 limit+0.26548672566371684 most+0.2831858407079646 rate+0.2920353982300885 requir+0.30973451327433627 other+0.34513274336283184 form+0.35398230088495575 consist+0.40707964601769914 low+0.4424778761061947 mass+0.49557522123893805 signific+0.5486725663716814 compar+0.584070796460177 obtain+0.5929203539823009 all+0.6194690265486725 while+0.6283185840707964 onli+0.6460176991150443
CLASS15:network+0.010810810810810811 achiev+0.01902702702702703 algorithm+0.024648648648648647 optim+0.028324324324324326 applic+0.02918918918918919 recent+0.03502702702702703 improv+0.03805405405405406 been+0.041945945945945945 approach+0.04389189189189189 perform+0.04562162162162162 develop+0.04908108108108108 demonstr+0.05102702702702703 mani+0.05427027027027027 effici+0.05902702702702703 inform+0.05945945945945946 comput+0.06227027027027027 problem+0.0668108108108108 complex+0.07113513513513514 howev+0.07351351351351351 generat+0.07697297297297297 requir+0.07956756756756757 state+0.08 exist+0.08086486486486487 sever+0.08454054054054054 predict+0.08908108108108108 import+0.10097297297297297 appli+0.10356756756756756 process+0.10854054054054053 through+0.1094054054054054 particular+0.11805405405405406 here+0.12627027027027027 work+0.12713513513513514 low+0.1372972972972973 new+0.13772972972972972 signific+0.13859459459459458 final+0.14010810810810811 direct+0.14724324324324325 theori+0.14810810810810812 ani+0.1507027027027027 term+0.1507027027027027 addit+0.15243243243243243 condit+0.1561081081081081 local+0.15762162162162163 under+0.15783783783783784 set+0.1589189189189189 well+0.15956756756756757 structur+0.16064864864864864 physic+0.16086486486486487 dynam+0.16497297297297298 some+0.1667027027027027 limit+0.16735135135135135 allow+0.17059459459459458 previous+0.17340540540540542 may+0.1770810810810811 point+0.1783783783783784 general+0.18032432432432433 due+0.18291891891891893 possibl+0.18854054054054054 while+0.18962162162162163 increas+0.18983783783783784 each+0.19264864864864864 simul+0.19264864864864864 most+0.19524324324324324 includ+0.19848648648648648 space+0.2 compar+0.20021621621621621 investig+0.2051891891891892 three+0.21232432432432433 other+0.21535135135135136 strong+0.22227027027027027 rate+0.22918918918918918 properti+0.22918918918918918 analysi+0.23178378378378378 estim+0.23545945945945945 over+0.23589189189189189 consist+0.24908108108108107 onli+0.252972972972973 non+0.2572972972972973 energi+0.2637837837837838 deriv+0.2668108108108108 case+0.2674594594594595 scale+0.27156756756756756 consid+0.2735135135135135 relat+0.27675675675675676 form+0.28562162162162164 order+0.2877837837837838 rang+0.29102702702702704 function+0.2923243243243243 number+0.2977297297297297 distribut+0.31394594594594594 obtain+0.3202162162162162 depend+0.32713513513513515 valu+0.3321081081081081 when+0.3403243243243243 where+0.3478918918918919 field+0.3515675675675676 paramet+0.36302702702702705 measur+0.364972972972973 mass+0.3952432432432432 all+0.41924324324324325
CLASS2:mass+0.01632428466617755 energi+0.05851063829787234 due+0.06181217901687454 predict+0.06520542920029347 low+0.0741929567131328 rate+0.08244680851063829 signific+0.08648202494497433 compar+0.08822450476889215 increas+0.09198459280997799 strong+0.09253484959647836 investig+0.09482758620689655 physic+0.09537784299339692 rang+0.09840425531914894 simul+0.1045487894350697 scale+0.1078503301540719 measur+0.10995964783565663 estim+0.11060161408657374 field+0.11371973587674249 consist+0.11858033749082905 three+0.11885546588407923 deriv+0.123991195891416 here+0.12509170946441672 obtain+0.12747615553925165 through+0.1319699192956713 previous+0.13398752751283932 paramet+0.13536316947909025 valu+0.1359134262655906 howev+0.13820616287600881 form+0.13994864269992663 dynam+0.14306676449009537 limit+0.14425898752751284 depend+0.15003668378576668 import+0.15287967718268525 may+0.1537050623624358 final+0.15581438004402054 direct+0.15719002201027146 local+0.15728173147468819 theori+0.1626008804108584 demonstr+0.16736977256052823 relat+0.16883712399119588 generat+0.17067131327953045 analysi+0.1712215700660308 appli+0.17259721203228173 when+0.17534849596478358 condit+0.1773661041819516 improv+0.17993396918561996 point+0.18002567865003669 addit+0.18048422597212033 term+0.18222670579603814 sever+0.18791269258987528 possibl+0.18910491562729273 achiev+0.18956346294937637 effici+0.19057226705796038 recent+0.1938738077769626 process+0.20102714600146734 allow+0.21212399119589143 properti+0.21322450476889215 space+0.2144167278063096 particular+0.22413793103448276 requir+0.22588041085840058 inform+0.2275311812179017 non+0.22771460014673514 state+0.22808143800440206 mani+0.22964049889948643 includ+0.23367571533382245 develop+0.2371606749816581 been+0.2374358033749083 distribut+0.2374358033749083 order+0.24183785766691124 perform+0.2437637564196625 complex+0.24495597945707998 network+0.25183418928833456 applic+0.25320983125458546 most+0.25917094644167277 some+0.26210564930300806 optim+0.26366471019809246 under+0.26412325752017607 ani+0.2736610418195158 approach+0.2742112986060161 exist+0.27448642699926634 structur+0.2820983125458547 over+0.29071900220102714 consid+0.291452677916361 number+0.29732208363903156 work+0.298514306676449 comput+0.3112619222303742 case+0.31300440205429203 while+0.31392149669845926 function+0.31511371973587676 onli+0.3155722670579604 well+0.32978723404255317 each+0.3453778429933969 algorithm+0.34647835656639764 new+0.3548239178283199 general+0.37123991195891415 other+0.38371239911958915 set+0.4274578136463683 where+0.4461665443873808 problem+0.449468085106383 all+0.4693690388848129
CLASS5:algorithm+0.012844036697247707 optim+0.02018348623853211 improv+0.022018348623853212 network+0.023853211009174313 achiev+0.023853211009174313 set+0.027522935779816515 ani+0.027522935779816515 inform+0.03486238532110092 case+0.04036697247706422 problem+0.04220183486238532 applic+0.047706422018348627 consid+0.047706422018348627 each+0.04954128440366973 been+0.05321100917431193 recent+0.05688073394495413 approach+0.05871559633027523 comput+0.060550458715596334 all+0.06605504587155964 estim+0.06605504587155964 work+0.06605504587155964 perform+0.06788990825688074 onli+0.06972477064220184 appli+0.06972477064220184 number+0.07155963302752294 measur+0.07155963302752294 over+0.08073394495412844 new+0.08073394495412844 general+0.08256880733944955 when+0.08256880733944955 demonstr+0.08440366972477065 analysi+0.08623853211009175 deriv+0.08623853211009175 particular+0.08623853211009175 mani+0.08807339449541285 some+0.08990825688073395 allow+0.09174311926605505 previous+0.09357798165137615 sever+0.09357798165137615 well+0.09357798165137615 final+0.09541284403669725 exist+0.09908256880733946 requir+0.10091743119266056 paramet+0.10458715596330276 valu+0.10458715596330276 other+0.10458715596330276 addit+0.10825688073394496 limit+0.11376146788990826 obtain+0.11743119266055047 rang+0.11926605504587157 includ+0.12110091743119267 signific+0.12110091743119267 complex+0.12477064220183487 howev+0.12844036697247707 term+0.13211009174311927 space+0.13211009174311927 under+0.13394495412844037 possibl+0.13577981651376148 develop+0.13761467889908258 distribut+0.13761467889908258 point+0.13761467889908258 three+0.14128440366972478 here+0.14495412844036698 condit+0.14495412844036698 function+0.14862385321100918 generat+0.15045871559633028 effici+0.1559633027522936 direct+0.1577981651376147 predict+0.1577981651376147 state+0.1724770642201835 may+0.1798165137614679 theori+0.181651376146789 where+0.1889908256880734 import+0.1889908256880734 through+0.1963302752293578 local+0.20550458715596331 order+0.21284403669724772 rate+0.22018348623853212 physic+0.22568807339449543 process+0.22752293577981653 increas+0.24220183486238533 consist+0.24220183486238533 investig+0.24770642201834864 depend+0.25504587155963304 dynam+0.27155963302752295 simul+0.27889908256880735 compar+0.29174311926605506 while+0.3174311926605505 most+0.3486238532110092 strong+0.3577981651376147 scale+0.3577981651376147 properti+0.3651376146788991 non+0.4055045871559633 energi+0.4073394495412844 low+0.45137614678899085 form+0.5064220183486239 field+0.5192660550458715 mass+0.5211009174311927 due+0.5339449541284403 structur+0.544954128440367 relat+0.5779816513761468
CLASS6:theori+0.014297061159650517 field+0.051628276409849086 here+0.05321683876092136 other+0.05321683876092136 mass+0.056393963463065924 strong+0.061953931691818905 local+0.06354249404289118 depend+0.06513105639396347 onli+0.06513105639396347 condit+0.06910246227164417 physic+0.0698967434471803 may+0.07148530579825259 dynam+0.07307386814932486 order+0.07545671167593328 where+0.08339952343129468 valu+0.08339952343129468 when+0.0857823669579031 energi+0.08816521048451152 non+0.10087370929308975 deriv+0.10166799046862589 consid+0.10484511517077046 possibl+0.10563939634630659 under+0.10802223987291501 structur+0.11199364575059571 ani+0.11278792692613185 point+0.11517077045274027 relat+0.11675933280381255 some+0.11755361397934869 general+0.1199364575059571 properti+0.1199364575059571 term+0.12390786338363781 obtain+0.12629070691024621 direct+0.12708498808578236 case+0.12946783161239078 investig+0.12946783161239078 consist+0.13026211278792693 limit+0.1358220810166799 particular+0.13661636219221604 allow+0.1437648927720413 scale+0.1453534551231136 exist+0.14614773629864972 final+0.14694201747418587 through+0.14853057982525814 function+0.15409054805401112 rang+0.15647339158061954 mani+0.16203335980937253 previous+0.1699761715647339 form+0.17077045274027006 distribut+0.17235901509134233 complex+0.17235901509134233 addit+0.17712470214455917 appli+0.18586179507545672 space+0.18586179507545672 import+0.18903891977760126 simul+0.19142176330420968 rate+0.19142176330420968 predict+0.19221604447974583 process+0.1938046068308181 generat+0.1953931691818904 recent+0.1993645750595711 paramet+0.20413026211278792 while+0.2057188244638602 inform+0.2096902303415409 measur+0.21207307386814933 sever+0.21286735504368545 demonstr+0.21525019857029387 new+0.22637013502779985 over+0.22795869737887212 state+0.22954725972994441 develop+0.22954725972994441 optim+0.23034154090548054 three+0.23113582208101668 each+0.2414614773629865 increas+0.24622716441620335 low+0.24861000794281177 estim+0.24861000794281177 been+0.25258141382049243 compar+0.25893566322478156 howev+0.2637013502779984 applic+0.2652899126290707 problem+0.26687847498014294 requir+0.26846703733121524 achiev+0.2795869737887212 due+0.2835583796664019 analysi+0.2915011914217633 includ+0.3161239078633836 algorithm+0.3272438443208896 effici+0.3359809372517871 improv+0.33915806195393167 network+0.3439237490071485 set+0.34471803018268465 approach+0.34868943606036534 work+0.358220810166799 comput+0.3891977760127085 number+0.39555202541699763 most+0.40587768069896746 signific+0.5091342335186656 perform+0.5146942017474185 well+0.5822081016679904 all+0.596505162827641
CLASS7:mass+0.014295439074200136 form+0.057862491490810075 strong+0.06330837304288632 scale+0.08127978216473791 investig+0.085500340367597 rang+0.09026548672566372 physic+0.09081007488087134 simul+0.09380530973451327 properti+0.09598366235534377 dynam+0.10292716133424099 energi+0.10660313138189244 distribut+0.10905377808032675 consist+0.114499659632403 rate+0.11722260040844111 increas+0.1214431586113002 structur+0.12334921715452689 through+0.1277059223961879 deriv+0.1279782164737917 most+0.12879509870660313 may+0.13165418652144315 low+0.13369639210347176 depend+0.13410483321987746 condit+0.134785568413887 here+0.13641933287950986 theori+0.13641933287950986 process+0.13682777399591559 local+0.13737236215112322 field+0.13750850918992513 complex+0.14036759700476514 possibl+0.14785568413886999 includ+0.14894486044928523 relat+0.14894486044928523 three+0.15153165418652145 all+0.1528931245745405 some+0.15357385976855004 point+0.15793056501021102 valu+0.16296800544588155 final+0.16310415248468346 well+0.16337644656228728 ani+0.16786929884275018 previous+0.171000680735194 while+0.17154526889040164 mani+0.17889720898570455 predict+0.1801225323349217 effici+0.18339006126616747 direct+0.184070796460177 sever+0.18543226684819605 import+0.18570456092579987 term+0.1863852961198094 space+0.18842750170183797 allow+0.1888359428182437 particular+0.1906058543226685 under+0.20176991150442478 paramet+0.20476514635806672 over+0.20517358747447242 addit+0.20558202859087815 recent+0.20789652825051055 each+0.20953029271613344 generat+0.21007488087134105 order+0.2137508509189925 number+0.21484002722940776 estim+0.2182437031994554 where+0.21960517358747447 analysi+0.22750170183798502 develop+0.23349217154526888 requir+0.2339006126616746 signific+0.23798502382573178 appli+0.23852961198093942 general+0.24206943498978897 case+0.24411164057181756 consid+0.2452008168822328 non+0.24574540503744044 function+0.24778761061946902 been+0.25119128658951667 optim+0.25119128658951667 exist+0.2518720217835262 achiev+0.2633083730428863 applic+0.2656228727025187 inform+0.2664397549353302 due+0.2746085772634445 limit+0.27910142954390743 demonstr+0.28264125255275696 comput+0.2830496936691627 algorithm+0.285500340367597 improv+0.29475833900612664 network+0.29557522123893804 other+0.29829816201497616 set+0.2992511912865895 work+0.31763104152484684 onli+0.34744724302246427 compar+0.3488087134104833 new+0.34976174268209664 approach+0.35888359428182437 measur+0.36609938733832537 problem+0.3662355343771273 howev+0.38243703199455414 when+0.38488767869298846 obtain+0.3930565010211028 state+0.42341729067392786 perform+0.457998638529612
CLASS8:algorithm+0.02804583835946924 optim+0.030759951749095297 problem+0.031061519903498192 all+0.0367913148371532 network+0.050361881785283474 complex+0.05367913148371532 condit+0.05850422195416164 consid+0.062123039806996384 each+0.06302774427020506 general+0.06393244873341375 ani+0.06905910735826297 case+0.07056694813027745 applic+0.07659831121833534 theori+0.07689987937273823 term+0.07991556091676719 comput+0.08021712907117008 under+0.08293124246079614 when+0.08293124246079614 where+0.08594692400482509 mani+0.08956574185765984 set+0.09016887816646563 achiev+0.09227985524728588 form+0.09408926417370325 some+0.09650180940892641 effici+0.09981905910735826 particular+0.10283474065138722 point+0.10615199034981906 inform+0.10856453558504221 final+0.109167671893848 three+0.109167671893848 local+0.1094692400482509 appli+0.1097708082026538 state+0.11188178528347406 function+0.11248492159227985 number+0.12032569360675513 exist+0.1218335343787696 onli+0.13238841978287094 structur+0.13419782870928829 properti+0.13600723763570566 relat+0.13630880579010857 deriv+0.1411338962605549 order+0.14234016887816647 non+0.1477683956574186 generat+0.14897466827503017 obtain+0.14897466827503017 approach+0.15349819059107359 sever+0.1589264173703257 depend+0.16073582629674307 develop+0.16314837153196624 dynam+0.1649577804583836 perform+0.1649577804583836 distribut+0.18154402895054284 strong+0.18184559710494572 requir+0.1830518697225573 investig+0.18486127864897467 direct+0.18486127864897467 space+0.18606755126658625 addit+0.1881785283474065 valu+0.1884800965018094 improv+0.1942098914354644 through+0.1957177322074789 demonstr+0.1963208685162847 here+0.2059710494571773 possibl+0.20898673100120627 allow+0.21200241254523522 physic+0.21622436670687575 import+0.21863691194209892 while+0.22014475271411338 process+0.22285886610373945 may+0.22617611580217128 simul+0.23582629674306393 rate+0.23914354644149577 increas+0.24246079613992763 most+0.24758745476477684 analysi+0.24758745476477684 estim+0.25392038600723765 previous+0.2560313630880579 consist+0.2569360675512666 been+0.26145958986731 includ+0.264475271411339 predict+0.2647768395657419 work+0.267189384800965 well+0.2686972255729795 other+0.27020506634499397 recent+0.2747285886610374 paramet+0.2849819059107358 energi+0.2855850422195416 howev+0.29191797346200243 due+0.2928226779252111 low+0.29583835946924003 compar+0.310313630880579 field+0.3121230398069964 over+0.31574185765983115 limit+0.32569360675512665 rang+0.3293124246079614 scale+0.3471049457177322 new+0.3914354644149578 mass+0.39505428226779254 signific+0.4086248492159228 measur+0.4674306393244873
CLASS9:algorithm+0.014616321559074299 simul+0.018270401948842874 effici+0.018270401948842874 perform+0.020706455542021926 optim+0.028014616321559074 improv+0.029232643118148598 applic+0.037758830694275276 achiev+0.04141291108404385 function+0.04263093788063337 network+0.0438489646772229 comput+0.048721071863580996 demonstr+0.05115712545676005 rate+0.057247259439707675 estim+0.06090133982947625 distribut+0.0682095006090134 dynam+0.07064555420219244 approach+0.07429963459196103 problem+0.07551766138855055 condit+0.07673568818514007 depend+0.0779537149817296 rang+0.0779537149817296 complex+0.08160779537149818 generat+0.08404384896467722 appli+0.0876979293544458 under+0.0876979293544458 requir+0.08891595615103533 scale+0.08891595615103533 develop+0.09013398294762484 paramet+0.0925700365408039 term+0.0925700365408039 energi+0.09622411693057248 low+0.09866017052375152 increas+0.10109622411693057 each+0.10962241169305725 obtain+0.1120584652862363 over+0.11449451887941535 inform+0.11449451887941535 valu+0.11814859926918392 direct+0.11936662606577345 deriv+0.12058465286236297 number+0.12302070645554203 signific+0.12423873325213154 through+0.12423873325213154 analysi+0.12667478684531058 local+0.12667478684531058 point+0.13032886723507917 process+0.13276492082825822 limit+0.13520097442143728 where+0.1364190012180268 space+0.14007308160779536 set+0.146163215590743 measur+0.146163215590743 addit+0.14981729598051158 compar+0.1510353227771011 allow+0.15347137637028013 final+0.1559074299634592 structur+0.15712545676004872 non+0.15956151035322777 when+0.1668696711327649 consid+0.1705237515225335 order+0.1705237515225335 consist+0.17174177831912302 three+0.17174177831912302 predict+0.17904993909866018 particular+0.18026796589524968 investig+0.18757612667478685 theori+0.1900121802679659 case+0.19123020706455543 state+0.19244823386114496 import+0.1961023142509135 ani+0.19853836784409257 properti+0.20219244823386115 due+0.2046285018270402 sever+0.2046285018270402 field+0.2046285018270402 mani+0.20584652862362973 includ+0.20584652862362973 work+0.2192448233861145 strong+0.22777101096224117 physic+0.23020706455542023 exist+0.23995127892813642 while+0.2545676004872107 well+0.2570036540803898 mass+0.26431181485992694 previous+0.26552984165651644 possibl+0.2838002436053593 form+0.292326431181486 here+0.30572472594397077 general+0.3166869671132765 recent+0.31790499390986604 some+0.3373934226552984 may+0.34957369062119364 new+0.3507917174177832 onli+0.37758830694275275 other+0.4336175395858709 been+0.4725943970767357 howev+0.47990255785627284 all+0.49573690621193667 most+0.5895249695493301 relat+0.6199756394640682
CLASS11:algorithm+0.00862976215533572 network+0.011997474215954537 optim+0.017890970322037465 achiev+0.02504735845085245 effici+0.02883603451904862 inform+0.03620290465165228 improv+0.03704483266680699 problem+0.04167543675015786 complex+0.04546411281835403 perform+0.050515680909282254 each+0.050936644916859605 applic+0.051357608924436964 requir+0.07156388128814986 mani+0.07303725531467059 develop+0.07850978741317617 generat+0.08166701747000632 demonstr+0.08314039149652705 comput+0.08777099557987791 over+0.09745316775415702 ani+0.1001894338034098 appli+0.10039991580719848 approach+0.10166280782993053 set+0.10313618185645128 all+0.10524100189433803 import+0.10524100189433803 under+0.10734582193222479 work+0.11092401599663229 exist+0.11239739002315302 sever+0.1126078720269417 most+0.11639654809513787 process+0.11681751210271522 condit+0.12186908019364344 three+0.12607872026941697 howev+0.13218269837928856 due+0.13597137444748475 point+0.13954956851189224 term+0.14186487055356767 allow+0.14207535255735634 new+0.14228583456114502 number+0.1450221006103978 analysi+0.1458640286255525 through+0.14607451062934118 some+0.1479688486634393 increas+0.14860029467480532 final+0.15407282677331088 when+0.15723005683014102 previous+0.1620711429172806 may+0.1654388549778994 particular+0.16585981898547675 space+0.17027994106503894 direct+0.17091138707640496 addit+0.17217427909913702 estim+0.18269837928857083 local+0.18269837928857083 rate+0.19153862344769523 while+0.19427488949694802 structur+0.19659019153862345 includ+0.20164175962955166 order+0.20648284571669123 consid+0.2077457377394233 other+0.2077457377394233 non+0.2083771837507893 signific+0.21006103978109872 compar+0.2111134498000421 physic+0.21174489581140812 here+0.21300778783414018 possibl+0.21553357187960429 distribut+0.2199536939591665 general+0.2277415280993475 theori+0.22879393811829088 limit+0.23153020416754366 state+0.2393180383077247 dynam+0.24226478636076615 deriv+0.24310671437592085 case+0.24394864239107555 been+0.24479057040623026 strong+0.25278888655019993 obtain+0.2567880446221848 investig+0.26162913070932436 recent+0.26226057672069036 consist+0.267733108819196 form+0.27046937486844874 rang+0.27909913702378447 scale+0.28372974110713534 where+0.2860450431488108 properti+0.28793938118290885 measur+0.291728057251105 energi+0.2950957693117238 predict+0.3026731214481162 simul+0.30288360345190485 valu+0.30898758156177647 field+0.3140391496527047 onli+0.31803830772468955 function+0.328141443906546 depend+0.3317196379709535 low+0.3563460324142286 paramet+0.35781940644074933 mass+0.4773731845927173 well+0.48684487476320776 relat+0.5137865712481583
CLASS12:optim+0.013548150860490663 problem+0.015378982057854266 algorithm+0.023434639326254118 network+0.03478579274990846 theori+0.039545953863053825 achiev+0.04503844745514463 under+0.046136946173562794 general+0.04723544489198096 applic+0.048700109849871845 where+0.055657268399853535 complex+0.05712193335774442 mani+0.0585865983156353 approach+0.0604174295129989 case+0.06261442694983523 state+0.06298059318930795 comput+0.06407909190772611 consid+0.06444525814719883 condit+0.06444525814719883 develop+0.06810692054192603 inform+0.07359941413401684 dynam+0.07396558037348956 exist+0.07506407909190772 term+0.07616257781032588 point+0.0765287440497986 generat+0.07689491028927133 ani+0.07726107652874405 effici+0.07982424020505309 requir+0.08055657268399853 work+0.08092273892347125 particular+0.08202123764188941 when+0.08238740388136213 onli+0.08568290003661662 set+0.08678139875503478 improv+0.09740021969974369 number+0.09923105089710729 non+0.10545587696814354 space+0.10801904064445259 some+0.1083852068839253 through+0.11021603808128891 sever+0.11827169534968876 appli+0.11973636030757964 demonstr+0.12449652142072501 here+0.1259611863786159 each+0.1263273526180886 process+0.12925668253387038 import+0.1332845111680703 allow+0.13365067740754302 final+0.13401684364701574 local+0.1369461735627975 function+0.13987550347857927 possibl+0.1439033321127792 limit+0.1457341633101428 recent+0.14610032954961552 direct+0.15562065177590625 may+0.16404247528377883 over+0.1706334675942878 addit+0.18088612229952397 physic+0.1812522885389967 depend+0.1830831197363603 energi+0.18418161845477846 form+0.18528011717319662 simul+0.190040278286342 due+0.19040644452581473 while+0.19113877700476017 structur+0.1915049432442329 rate+0.19443427316001466 other+0.19589893811790554 increas+0.19626510435737826 valu+0.19956060051263275 predict+0.2076162577810326 investig+0.21347491761259613 includ+0.21567191504943245 strong+0.2182350787257415 well+0.22262907359941414 scale+0.23214939582570487 three+0.23947272061515928 order+0.2413035518125229 obtain+0.2467960454046137 previous+0.24826071036250458 deriv+0.2596118637861589 estim+0.26730135481508605 paramet+0.26913218601244965 been+0.27132918344928597 howev+0.27242768216770413 most+0.27975100695715854 field+0.2808495056755767 rang+0.28560966678872207 new+0.2863419992676675 distribut+0.2874404979860857 perform+0.2984254851702673 analysi+0.3412669351885756 signific+0.355181252288539 properti+0.38227755400952035 consist+0.38227755400952035 low+0.4221896741120469 compar+0.46649578908824607 measur+0.46759428780666423 mass+0.486268766019773 all+0.48956426217502746 relat+0.5239838886854632
CLASS13:mass+0.01564644523744167 theori+0.027724402964589626 field+0.04693933571232501 deriv+0.04831183090859182 space+0.05160581937963217 obtain+0.052154817458138894 function+0.05709580016469942 valu+0.06203678287125995 point+0.06450727422454021 energi+0.07191874828438101 paramet+0.07960472138347516 physic+0.07987922042272852 condit+0.0925061762283832 general+0.09772165797419709 form+0.0990941531704639 non+0.10046664836673072 term+0.1012901454844908 local+0.10321163875926434 rang+0.10458413395553115 strong+0.10485863299478451 allow+0.10568213011254461 depend+0.10842712050507823 ani+0.11172110897611859 dynam+0.11666209168267912 three+0.11803458687894593 new+0.12050507823222618 estim+0.12160307438923963 order+0.12434806478177327 particular+0.12517156189953335 includ+0.12572055997804008 previous+0.12599505901729344 consist+0.1284655503705737 properti+0.12874004940982706 measur+0.12928904748833378 final+0.13450452923414769 scale+0.13477902827340105 case+0.13917101290145484 here+0.14219050233324185 relat+0.14411199560801538 possibl+0.14713148503980236 direct+0.14932747735382926 limit+0.15015097447158934 some+0.15673895141367006 appli+0.15701345045292342 addit+0.1600329398847104 set+0.1636014273950041 consid+0.1652484216305243 sever+0.1652484216305243 structur+0.16634641778753775 all+0.17018940433708482 through+0.17018940433708482 distribut+0.18226736206423277 generat+0.18254186110348614 under+0.18309085918199286 analysi+0.18391435629975295 where+0.19571781498764754 complex+0.1973648092231677 predict+0.20230579192972825 mani+0.20285479000823498 investig+0.20422728520450179 exist+0.20422728520450179 well+0.20834477079330221 optim+0.20834477079330221 state+0.2165797419709031 rate+0.22152072467746362 import+0.22152072467746362 over+0.23030469393357123 low+0.2385396651111721 number+0.2385396651111721 may+0.24650013724951964 applic+0.246774636288773 demonstr+0.2574800988196541 algorithm+0.26351907768322813 develop+0.2665385671150151 problem+0.26708756519352184 requir+0.2673620642327752 each+0.2679110623112819 effici+0.2703815536645622 inform+0.2725775459785891 simul+0.2725775459785891 due+0.27340104309634916 achiev+0.28218501235245674 recent+0.2852045017842438 work+0.2986549547076585 improv+0.3030469393357123 comput+0.3121054076310733 when+0.3129289047488334 increas+0.3258303595937414 approach+0.3272028547900082 process+0.32912434806478175 onli+0.3326928355750755 while+0.37469118858083994 other+0.39171012901454844 network+0.3919846280538018 signific+0.4002195992314027 most+0.40269009058468297 been+0.4081800713697502 compar+0.5144111995608015 perform+0.522371671699149 howev+0.5363711227010706
