CLASS0:method+0.03864734299516908 paper+0.03864734299516908 more+0.043478260869565216 have+0.04830917874396135 than+0.057971014492753624 one+0.06280193236714976 show+0.06280193236714976 our+0.0821256038647343 result+0.0966183574879227 base+0.1111111111111111 differ+0.12077294685990338 first+0.12077294685990338 data+0.13526570048309178 two+0.13526570048309178 propos+0.14009661835748793 present+0.1497584541062802 time+0.1497584541062802 also+0.1497584541062802 provid+0.1932367149758454 has+0.20772946859903382 find+0.2222222222222222 both+0.2318840579710145 larg+0.28502415458937197 high+0.3140096618357488 studi+0.34782608695652173 system+0.4444444444444444 between+0.45410628019323673 can+0.4975845410628019 model+0.5410628019323671 observ+0.7004830917874396 effect+0.7004830917874396 it+0.9227053140096618
CLASS1:method+0.016483516483516484 show+0.027472527472527472 propos+0.03296703296703297 result+0.0521978021978022 our+0.07692307692307693 effect+0.08241758241758242 base+0.09340659340659341 model+0.09615384615384616 paper+0.0989010989010989 both+0.11538461538461539 time+0.12087912087912088 first+0.12637362637362637 can+0.12637362637362637 more+0.1620879120879121 data+0.17857142857142858 differ+0.21428571428571427 larg+0.23626373626373626 find+0.24175824175824176 studi+0.25824175824175827 two+0.2802197802197802 than+0.3021978021978022 present+0.35714285714285715 high+0.3626373626373626 provid+0.40384615384615385 between+0.41208791208791207 one+0.4423076923076923 observ+0.4725274725274725 has+0.4725274725274725 have+0.5082417582417582 also+0.6758241758241759 it+0.6785714285714286 system+0.6785714285714286
CLASS10:can+0.02208835341365462 have+0.024096385542168676 two+0.024096385542168676 studi+0.04417670682730924 find+0.10642570281124498 has+0.10642570281124498 one+0.11847389558232932 between+0.13253012048192772 differ+0.1746987951807229 our+0.1827309236947791 more+0.18674698795180722 both+0.18875502008032127 it+0.19879518072289157 paper+0.19879518072289157 model+0.21084337349397592 first+0.21285140562248997 also+0.27309236947791166 method+0.2751004016064257 propos+0.3132530120481928 present+0.3393574297188755 system+0.3473895582329317 show+0.3674698795180723 than+0.3795180722891566 larg+0.40562248995983935 data+0.42168674698795183 effect+0.43775100401606426 base+0.5040160642570282 provid+0.5321285140562249 observ+0.5522088353413654 high+0.6285140562248996 time+0.6586345381526104 result+0.6847389558232931
CLASS2:it+0.033004552352048556 propos+0.03717754172989378 paper+0.054628224582701064 first+0.07663125948406677 method+0.09559939301972686 has+0.09787556904400607 data+0.12291350531107739 two+0.1282245827010622 base+0.13581183611532624 one+0.18399089529590287 time+0.22040971168437026 present+0.2336874051593323 have+0.23937784522003036 result+0.24430955993930198 model+0.248103186646434 more+0.26517450682852806 our+0.28034901365705617 both+0.33915022761760244 larg+0.37063732928679816 than+0.37594840667678303 provid+0.3937784522003035 differ+0.3983308042488619 find+0.40591805766312594 also+0.4654779969650986 studi+0.47344461305007585 system+0.5034142640364189 high+0.503793626707132 between+0.5349013657056145 observ+0.5599393019726859 can+0.5728376327769348 effect+0.5823216995447648 show+0.6286039453717754
CLASS3:time+0.03276955602536998 it+0.09883720930232558 also+0.10095137420718817 show+0.10491543340380549 find+0.12684989429175475 observ+0.1331923890063425 than+0.13345665961945033 more+0.226215644820296 one+0.23282241014799154 can+0.2452431289640592 first+0.2653276955602537 studi+0.3057610993657505 paper+0.3239957716701903 has+0.3514799154334038 data+0.3549154334038055 between+0.35914376321353064 both+0.36125792811839325 larg+0.36839323467230445 present+0.3747357293868922 differ+0.38609936575052856 propos+0.40036997885835096 our+0.4045983086680761 model+0.40988372093023256 effect+0.4186046511627907 method+0.42653276955602537 provid+0.4421247357293869 two+0.4540169133192389 high+0.4582452431289641 have+0.46485200845665964 base+0.5554968287526427 result+0.5819238900634249 system+0.6495771670190275
CLASS4:show+0.02372034956304619 observ+0.062421972534332085 find+0.062421972534332085 result+0.08614232209737828 our+0.08739076154806492 than+0.09612983770287141 more+0.12234706616729088 model+0.1285892634207241 studi+0.12983770287141075 data+0.17103620474406991 between+0.18601747815230962 also+0.20724094881398253 first+0.25218476903870163 larg+0.2534332084893883 have+0.25593008739076156 differ+0.2571785268414482 both+0.2746566791510612 method+0.28963795255930086 high+0.2958801498127341 effect+0.299625468164794 paper+0.3096129837702871 present+0.32459425717852686 can+0.3358302122347066 provid+0.3408239700374532 two+0.3545568039950062 one+0.35580524344569286 propos+0.35830212234706615 has+0.4282147315855181 base+0.5480649188514357 it+0.602996254681648 time+0.7615480649188514 system+0.8789013732833958
CLASS5:it+0.04908338261383797 paper+0.05499704316972206 propos+0.06771141336487285 show+0.0706682436428149 method+0.10467179183914843 one+0.17356593731519812 base+0.17593140153755174 provid+0.180662329982259 first+0.19367238320520402 differ+0.19722057953873448 can+0.20727380248373745 has+0.20756948551153165 result+0.22146658781785925 both+0.22797161442933175 between+0.2309284447072738 more+0.2646363098758131 also+0.29450029568302777 data+0.29657007687758724 two+0.33944411590774687 studi+0.35570668243642817 present+0.3917800118273211 than+0.39976345357776466 our+0.4068598462448256 larg+0.42844470727380246 effect+0.4541691306918983 find+0.4742755765819042 system+0.4863985807214666 have+0.5041395623891188 time+0.5585452395032525 model+0.5952099349497338 high+0.6055588409225311 observ+0.7054997043169722
CLASS6:two+0.026798598227169654 between+0.04926819212533498 observ+0.10307153164296022 studi+0.12121212121212122 differ+0.12780869923727067 find+0.13481756338899195 both+0.15398886827458255 it+0.1805813234384663 one+0.20408163265306123 first+0.2088229231086374 than+0.21562564419707278 more+0.2663368377654092 present+0.2803545660688518 time+0.30406101834673266 larg+0.3189033189033189 effect+0.3219954648526077 show+0.32838589981447125 has+0.3593073593073593 paper+0.3714698000412286 also+0.3953823953823954 data+0.3986806843949701 have+0.3999175427746856 result+0.4017728303442589 method+0.4174397031539889 propos+0.4627911770768914 high+0.4733044733044733 provid+0.48072562358276644 our+0.48608534322820035 model+0.5497835497835498 base+0.6046176046176046 system+0.621727478870336 can+0.8303442589156875
CLASS7:system+0.19623141469159427 effect+0.22817606359487708 high+0.24422199322832328 larg+0.24863830413661123 propos+0.2751607046469405 provid+0.27599489670739485 method+0.29128023946219145 than+0.2951322439766426 more+0.2953775945826586 find+0.2963099268855194 paper+0.2972177241277786 both+0.2983708719760538 observ+0.3044064968840473 present+0.30762058982285684 data+0.30845478188331127 it+0.31024584130722804 first+0.3282300407282006 base+0.3500662446636243 has+0.35271603120859707 differ+0.36544972766082734 one+0.3826242700819471 have+0.3952107561705677 between+0.3983512439275725 time+0.4225182786201482 studi+0.42622307277098975 two+0.4475440404337799 also+0.4595907551891653 model+0.5087344815741695 show+0.5273811276313852 our+0.5321654644486972 can+0.5617056774130232 result+0.5849894499239413
CLASS8:paper+0.07729468599033816 propos+0.07890499194847021 two+0.08856682769726248 method+0.09178743961352658 between+0.0998389694041868 result+0.10950080515297907 model+0.12077294685990338 also+0.12560386473429952 first+0.1288244766505636 differ+0.1320450885668277 find+0.15619967793880837 provid+0.1706924315619968 one+0.1723027375201288 our+0.18035426731078905 base+0.19001610305958133 data+0.1932367149758454 studi+0.20772946859903382 both+0.2318840579710145 present+0.24154589371980675 time+0.26247987117552335 can+0.2721417069243156 more+0.3027375201288245 system+0.32367149758454106 effect+0.3864734299516908 larg+0.47342995169082125 than+0.5104669887278583 has+0.5475040257648953 have+0.6376811594202898 it+0.6634460547504025 observ+0.6698872785829307 show+0.6763285024154589 high+0.7423510466988728
CLASS9:data+0.030612244897959183 more+0.04591836734693878 model+0.061224489795918366 find+0.0663265306122449 our+0.0663265306122449 method+0.07142857142857142 observ+0.09183673469387756 have+0.09183673469387756 differ+0.09693877551020408 present+0.11224489795918367 between+0.11734693877551021 high+0.11734693877551021 base+0.12244897959183673 studi+0.12755102040816327 than+0.1326530612244898 larg+0.14285714285714285 paper+0.14285714285714285 time+0.14795918367346939 provid+0.21428571428571427 first+0.22448979591836735 propos+0.22448979591836735 both+0.23469387755102042 also+0.23979591836734693 has+0.2602040816326531 result+0.3520408163265306 one+0.41836734693877553 effect+0.46938775510204084 can+0.5204081632653061 it+0.5255102040816326 two+0.5663265306122449 show+0.8979591836734694 system+0.9540816326530612
