CLASS0:it+0.10389778007227672 effect+0.10712441920495612 observ+0.11222250903458957 find+0.19953536396489416 between+0.22754259163655136 model+0.2548399586990191 larg+0.26316468766133194 both+0.2706504904491482 studi+0.2980769230769231 data+0.3087248322147651 high+0.3155653071760454 propos+0.32027620030975734 method+0.3412493546721735 first+0.3433789364997419 differ+0.34454052658750645 present+0.3532524522457408 more+0.3606091894682499 provid+0.36551368094992254 than+0.37241868869385647 paper+0.38461538461538464 system+0.3847444501806918 has+0.40816985028394426 base+0.43404749612803306 time+0.4526329375322664 two+0.45844088797108934 can+0.46044140423335056 one+0.4692823954568921 also+0.5217475477542591 our+0.5318146618482189 have+0.5331053175012906 result+0.6187403200826019 show+0.6240965410428497
CLASS1:also+0.12375315137564398 find+0.1859037597281596 than+0.19061712156089006 one+0.19204209141729695 have+0.19346706127370383 it+0.2004822974898608 has+0.22097994080894443 provid+0.22130878000657678 present+0.22141839307245423 observ+0.22328181519237092 more+0.23369505645072894 between+0.2494793379370821 system+0.2680039460703716 differ+0.29496876027622493 larg+0.30987613723555846 data+0.31875479557163217 high+0.3198509262304067 paper+0.32566041872191165 first+0.32818151923709304 studi+0.3348679162556177 two+0.3503233585443385 both+0.36961525813877016 method+0.4342869670064672 propos+0.4612517812123205 time+0.49632796229310533 base+0.5056450728926888 effect+0.5551901786692974 our+0.5589170229091308 model+0.6435383097665242 result+0.6562534254083087 show+0.6942891592677847 can+0.741093938397457
CLASS10:data+0.1117572233327276 method+0.13011084862802108 time+0.14137743049245866 high+0.14701072142467744 base+0.14755587861166636 provid+0.14937306923496274 propos+0.15100854079592949 than+0.15755042703979646 result+0.164819189532982 observ+0.20298019262220607 paper+0.20570597855715064 larg+0.20606941668180992 present+0.22078866073051062 more+0.2311466472833 first+0.2518626203888788 effect+0.2754860984917318 both+0.29856441940759587 find+0.3260039978193712 differ+0.3565328002907505 show+0.3839723787025259 our+0.3912411411957114 also+0.39178629838270035 between+0.45393421769943665 one+0.4724695620570598 system+0.4910049064146829 has+0.5040886789024168 model+0.5077230601490096 it+0.5193530801381064 studi+0.5542431401053971 have+0.5851353807014356 two+0.5925858622569508 can+0.7910230783209159
CLASS2:show+0.06186440677966102 between+0.06694915254237288 find+0.07372881355932204 studi+0.11186440677966102 differ+0.11186440677966102 than+0.11694915254237288 observ+0.13135593220338984 effect+0.13813559322033897 more+0.1669491525423729 also+0.17288135593220338 both+0.17457627118644067 provid+0.18135593220338983 high+0.19915254237288135 larg+0.2059322033898305 can+0.21949152542372882 our+0.3042372881355932 present+0.32033898305084746 method+0.3220338983050847 have+0.35084745762711866 data+0.3686440677966102 one+0.3898305084745763 paper+0.40084745762711865 system+0.4288135593220339 first+0.4423728813559322 propos+0.4449152542372881 time+0.45677966101694917 model+0.46779661016949153 result+0.4788135593220339 two+0.4872881355932203 base+0.5152542372881356 has+0.5915254237288136 it+0.9457627118644067
CLASS3:method+0.034013605442176874 propos+0.0728862973760933 paper+0.0826044703595724 base+0.08551992225461613 result+0.11078717201166181 two+0.12342079689018465 data+0.13896987366375121 differ+0.13994169096209913 both+0.1477162293488824 provid+0.16132167152575316 more+0.17201166180758018 have+0.17395529640427598 present+0.19630709426627793 between+0.2118561710398445 first+0.2118561710398445 larg+0.2196307094266278 our+0.2206025267249757 high+0.239067055393586 studi+0.26141885325558795 system+0.2653061224489796 has+0.27016520894071916 effect+0.28085519922254615 one+0.3362487852283771 find+0.33819241982507287 model+0.358600583090379 than+0.4062196307094266 can+0.6025267249757046 observ+0.6229348882410107 also+0.6870748299319728 it+0.7317784256559767 show+0.7366375121477162 time+0.8610301263362488
CLASS4:time+0.053714285714285714 propos+0.06876190476190476 paper+0.09561904761904762 base+0.1019047619047619 method+0.10742857142857143 system+0.11942857142857143 first+0.17809523809523808 it+0.2017142857142857 has+0.20647619047619048 both+0.24114285714285713 present+0.244 one+0.2443809523809524 provid+0.2521904761904762 data+0.2801904761904762 differ+0.28495238095238096 more+0.28895238095238096 two+0.29904761904761906 larg+0.31695238095238093 have+0.35504761904761906 high+0.3822857142857143 effect+0.39676190476190476 than+0.40723809523809523 find+0.4504761904761905 between+0.4664761904761905 studi+0.5 also+0.5278095238095238 can+0.5291428571428571 our+0.5476190476190477 model+0.5994285714285714 result+0.6571428571428571 observ+0.6946666666666667 show+0.8118095238095238
CLASS5:find+0.050222504767959315 observ+0.06293706293706294 model+0.1010807374443738 time+0.11061665607120152 have+0.12205975842339478 high+0.12269548633184997 than+0.12396694214876033 larg+0.12396694214876033 more+0.14049586776859505 data+0.16083916083916083 present+0.18054672600127145 effect+0.20788302606484424 studi+0.2231404958677686 our+0.23394787031150668 both+0.2364907819453274 two+0.24094087730451366 differ+0.28862047043865224 first+0.2917991099809282 method+0.2917991099809282 system+0.3305785123966942 between+0.36999364272091545 one+0.371900826446281 propos+0.38334392879847423 base+0.43420216147488877 paper+0.4418308963763509 also+0.44755244755244755 has+0.46217418944691674 provid+0.4996821360457724 result+0.593134138588684 can+0.6732358550540368 show+0.7323585505403687 it+0.916083916083916
CLASS6:can+0.02962962962962963 propos+0.037037037037037035 paper+0.04656084656084656 base+0.04656084656084656 method+0.056084656084656084 data+0.09841269841269841 model+0.11851851851851852 our+0.11957671957671957 provid+0.1291005291005291 more+0.15767195767195769 have+0.1693121693121693 has+0.23809523809523808 also+0.24126984126984127 first+0.24973544973544973 than+0.25502645502645505 high+0.2656084656084656 larg+0.2804232804232804 find+0.2931216931216931 present+0.30052910052910053 result+0.30793650793650795 system+0.32275132275132273 effect+0.3873015873015873 one+0.38941798941798944 differ+0.4095238095238095 both+0.4211640211640212 show+0.4275132275132275 studi+0.4582010582010582 time+0.4656084656084656 it+0.6423280423280423 between+0.6486772486772486 observ+0.6645502645502646 two+0.780952380952381
CLASS7:our+0.015873015873015872 paper+0.031746031746031744 one+0.031746031746031744 first+0.047619047619047616 result+0.047619047619047616 studi+0.047619047619047616 time+0.047619047619047616 between+0.047619047619047616 propos+0.06349206349206349 more+0.06349206349206349 find+0.07936507936507936 differ+0.07936507936507936 method+0.07936507936507936 can+0.09523809523809523 data+0.09523809523809523 model+0.1111111111111111 than+0.1111111111111111 also+0.1111111111111111 show+0.12698412698412698 have+0.14285714285714285 both+0.15873015873015872 present+0.19047619047619047 base+0.19047619047619047 has+0.23809523809523808 observ+0.3492063492063492 it+0.3492063492063492 provid+0.3492063492063492 larg+0.4444444444444444 high+0.5714285714285714 effect+0.6031746031746031 system+0.9841269841269841
CLASS8:than+0.0651030249890399 high+0.0659798334064007 have+0.07036387549320473 show+0.08921525646646208 more+0.12757562472599737 has+0.1308636562911004 larg+0.1328364752301622 observ+0.13985094256904868 it+0.18128014028934678 data+0.2516440157825515 find+0.25734327049539674 both+0.28496273564226215 method+0.29943007452871545 paper+0.30447172292854013 effect+0.31323980710214816 present+0.316308636562911 first+0.32704953967558087 propos+0.34655852696185885 differ+0.3623410784743534 time+0.3708899605436212 studi+0.3800964489259097 base+0.40070144673388863 one+0.41538798772468216 our+0.41582639193336257 provid+0.43796580447172295 between+0.5418676019289785 also+0.5611573871109162 two+0.5635686102586585 can+0.5683910565541429 system+0.5944761069706269 model+0.6082858395440596 result+0.6196843489697501
CLASS9:show+0.0762673844773441 system+0.1446089427246897 two+0.19784656796769853 one+0.20053835800807537 paper+0.20083744579033946 propos+0.20136084940930163 first+0.23844773441004935 effect+0.2651413189771198 it+0.26626289816061016 both+0.27074921489457154 method+0.27987139225362645 more+0.32884701659937193 provid+0.3468670554807836 has+0.3493345296844624 than+0.3621205323762524 differ+0.3684013758037984 larg+0.38186032600568265 can+0.3864961866307761 base+0.3885150291610588 result+0.39688948706445343 find+0.39741289068341557 also+0.40436668162105577 present+0.4057125766412442 studi+0.4294152833856737 between+0.4376401973979363 data+0.44010767160161507 time+0.46052041274113953 have+0.4922984896066996 our+0.5003738597278301 high+0.5013458950201884 observ+0.5702108568864962 model+0.6226259907282787
