CLASS0:method+0.025252525252525252 have+0.030303030303030304 paper+0.04040404040404041 more+0.050505050505050504 than+0.050505050505050504 one+0.06060606060606061 show+0.06565656565656566 result+0.08080808080808081 our+0.08585858585858586 base+0.08585858585858586 propos+0.11616161616161616 two+0.12626262626262627 differ+0.12626262626262627 data+0.13131313131313133 first+0.13636363636363635 time+0.17676767676767677 has+0.18686868686868688 provid+0.18686868686868688 present+0.1919191919191919 also+0.1919191919191919 both+0.19696969696969696 find+0.2474747474747475 larg+0.29797979797979796 studi+0.3282828282828283 high+0.3383838383838384 can+0.398989898989899 system+0.4393939393939394 between+0.4898989898989899 model+0.5707070707070707 observ+0.6464646464646465 effect+0.6464646464646465 it+0.9646464646464646
CLASS1:method+0.020905923344947737 propos+0.024390243902439025 show+0.03484320557491289 effect+0.04878048780487805 model+0.0627177700348432 base+0.06620209059233449 result+0.06620209059233449 can+0.08013937282229965 time+0.08710801393728224 our+0.08710801393728224 paper+0.10801393728222997 first+0.12195121951219512 more+0.14982578397212543 data+0.15331010452961671 both+0.16376306620209058 differ+0.1951219512195122 find+0.24738675958188153 studi+0.2578397212543554 larg+0.2787456445993031 than+0.31010452961672474 present+0.3170731707317073 two+0.33797909407665505 provid+0.3588850174216028 high+0.3693379790940767 between+0.3797909407665505 one+0.40069686411149824 observ+0.4076655052264808 have+0.4564459930313589 has+0.5156794425087108 it+0.6794425087108014 also+0.7142857142857143 system+0.7491289198606271
CLASS10:have+0.013377926421404682 can+0.013377926421404682 two+0.016722408026755852 studi+0.06020066889632107 one+0.06354515050167224 between+0.0802675585284281 find+0.09364548494983277 has+0.12709030100334448 paper+0.12709030100334448 differ+0.13377926421404682 our+0.13377926421404682 model+0.13712374581939799 both+0.16722408026755853 more+0.16722408026755853 first+0.21070234113712374 also+0.22408026755852842 it+0.23411371237458195 method+0.24414715719063546 show+0.28762541806020064 propos+0.29431438127090304 than+0.34448160535117056 present+0.35451505016722407 system+0.38127090301003347 larg+0.4080267558528428 effect+0.4180602006688963 data+0.4414715719063545 base+0.4782608695652174 provid+0.5183946488294314 observ+0.5484949832775919 time+0.6755852842809364 high+0.7123745819397993 result+0.745819397993311
CLASS2:propos+0.02795275590551181 it+0.04015748031496063 paper+0.05196850393700787 first+0.07834645669291339 method+0.08740157480314961 has+0.11299212598425197 base+0.11535433070866141 data+0.12086614173228347 two+0.13346456692913386 one+0.13503937007874015 time+0.17716535433070865 more+0.2137795275590551 present+0.2326771653543307 result+0.255511811023622 have+0.2610236220472441 model+0.2732283464566929 our+0.27913385826771653 both+0.3047244094488189 than+0.3228346456692913 differ+0.3637795275590551 find+0.39330708661417324 provid+0.39448818897637794 larg+0.4086614173228346 studi+0.45433070866141734 also+0.4704724409448819 between+0.5011811023622047 system+0.5019685039370079 high+0.537007874015748 can+0.5488188976377952 observ+0.587007874015748 effect+0.6007874015748031 show+0.6307086614173228
CLASS3:time+0.017783291976840365 also+0.08312655086848635 show+0.09222497932175351 observ+0.10049627791563276 than+0.10090984284532671 it+0.11703887510339123 find+0.11703887510339123 can+0.18527708850289495 more+0.19933829611248965 one+0.2022332506203474 first+0.24400330851943755 paper+0.3002481389578164 studi+0.3027295285359802 data+0.31679073614557485 has+0.33829611248966085 our+0.34325889164598844 propos+0.35814722911497104 model+0.358560794044665 between+0.36352357320099254 both+0.369727047146402 differ+0.37675765095119934 present+0.37675765095119934 larg+0.3771712158808933 have+0.3904052936311001 effect+0.42100909842845324 provid+0.4226633581472291 method+0.4251447477253929 two+0.4557485525227461 high+0.4826302729528536 base+0.5177832919768404 result+0.5905707196029777 system+0.73904052936311
CLASS4:show+0.023383768913342505 find+0.052269601100412656 observ+0.059147180192572216 than+0.09353507565337002 result+0.09766162310866575 our+0.09903713892709766 more+0.11691884456671252 studi+0.12379642365887207 model+0.13067400275103164 between+0.14442916093535077 also+0.18707015130674004 data+0.18982118294360384 first+0.22696011004126548 differ+0.23658872077028886 have+0.2627235213204952 larg+0.27097661623108665 effect+0.2737276478679505 both+0.28060522696011003 can+0.29573590096286106 one+0.2984869325997249 two+0.312242090784044 method+0.312242090784044 high+0.31911966987620355 provid+0.32737276478679506 present+0.3356258596973865 paper+0.3493810178817056 propos+0.36451169188445665 has+0.4484181568088033 base+0.5433287482806052 it+0.6162310866574966 time+0.7386519944979367 system+0.8858321870701513
CLASS5:paper+0.044948453608247424 it+0.04865979381443299 propos+0.06391752577319587 show+0.06762886597938145 method+0.0997938144329897 can+0.14597938144329897 provid+0.1509278350515464 one+0.16041237113402063 result+0.16329896907216496 base+0.17443298969072166 first+0.17443298969072166 differ+0.1934020618556701 has+0.20536082474226805 also+0.23587628865979382 both+0.23876288659793815 between+0.2445360824742268 more+0.2647422680412371 data+0.2894845360824742 two+0.2948453608247423 studi+0.33855670103092783 than+0.37030927835051547 our+0.38268041237113404 present+0.3958762886597938 effect+0.4507216494845361 larg+0.45649484536082474 find+0.4672164948453608 have+0.4758762886597938 system+0.5261855670103093 time+0.528659793814433 high+0.6012371134020619 model+0.6272164948453608 observ+0.6936082474226805
CLASS6:two+0.01620699459766847 between+0.04719931760022747 observ+0.09240830253056583 find+0.12197895934034689 studi+0.12794995735001422 differ+0.13420528859823713 both+0.14330395223201592 one+0.15467728177423942 it+0.17116860961046346 first+0.17600227466590845 than+0.17799260733579755 time+0.22291725902758033 more+0.24623258458913846 present+0.26585157804947396 show+0.28603923798692066 larg+0.34432755189081604 effect+0.3468865510378163 paper+0.3650838783053739 result+0.3693488768837077 has+0.37503554165481945 data+0.3844185385271538 also+0.3869775376741541 method+0.40176286607904466 have+0.4293431902189366 propos+0.451805516064828 our+0.45663918112027296 high+0.4714245095251635 provid+0.48507250497583165 model+0.5524594825135059 base+0.6044924651691783 system+0.7116860961046346 can+0.7753767415410862
CLASS7:system+0.21798504964855517 effect+0.2415485886421957 larg+0.2509427646993194 high+0.26323775521588755 propos+0.2840789914091264 provid+0.2899921901149169 find+0.2915318531741604 it+0.2920004462791476 both+0.29536985384357917 paper+0.2959723306928484 method+0.29617315630927143 more+0.2972442262635278 than+0.3001450407229722 observ+0.30581278589757893 present+0.3109673100524378 data+0.3149838223808992 first+0.32317304473948455 has+0.3461564208412362 differ+0.3572687716166462 base+0.3641637844471717 one+0.3780207519803637 between+0.3845364275354234 have+0.40033470936070514 studi+0.4110230949458887 time+0.42267098069842685 two+0.43398415709025995 also+0.4473279036037041 show+0.5011045408903269 model+0.5059912975566216 our+0.5275465803860314 can+0.5645654356800178 result+0.5738257279928596
CLASS8:propos+0.0625 paper+0.08575581395348837 two+0.08575581395348837 method+0.09883720930232558 between+0.09883720930232558 model+0.11627906976744186 also+0.13372093023255813 result+0.13517441860465115 differ+0.14098837209302326 first+0.15406976744186046 provid+0.15843023255813954 one+0.1613372093023256 find+0.1816860465116279 can+0.19622093023255813 base+0.20203488372093023 our+0.20930232558139536 data+0.22093023255813954 studi+0.23401162790697674 both+0.23546511627906977 time+0.23546511627906977 present+0.2688953488372093 more+0.27180232558139533 system+0.29651162790697677 effect+0.3648255813953488 than+0.4680232558139535 larg+0.5319767441860465 has+0.5450581395348837 have+0.5973837209302325 observ+0.6366279069767442 show+0.6540697674418605 it+0.6976744186046512 high+0.7369186046511628
CLASS9:data+0.03804347826086957 more+0.043478260869565216 find+0.06521739130434782 our+0.06521739130434782 observ+0.07065217391304347 differ+0.07065217391304347 model+0.07608695652173914 have+0.07608695652173914 method+0.07608695652173914 base+0.09782608695652174 between+0.11956521739130435 high+0.11956521739130435 present+0.11956521739130435 than+0.125 studi+0.15760869565217392 time+0.1793478260869565 paper+0.18478260869565216 larg+0.19021739130434784 propos+0.22282608695652173 provid+0.22826086956521738 both+0.2391304347826087 also+0.24456521739130435 first+0.24456521739130435 has+0.2826086956521739 result+0.3423913043478261 one+0.3532608695652174 can+0.44021739130434784 effect+0.45108695652173914 two+0.5 it+0.5869565217391305 show+0.9456521739130435 system+0.9456521739130435
