CLASS0:it+0.0695739684669574 observ+0.11707480711170748 effect+0.12988929889298892 find+0.17993961757799395 between+0.18456893659845688 model+0.23616236162361623 larg+0.26132170412613215 both+0.3048641395504864 high+0.31150620597115064 studi+0.32049647769204964 present+0.32405233143240525 data+0.32499161355249917 differ+0.34095940959409593 first+0.34176450855417645 more+0.34256960751425697 propos+0.34545454545454546 than+0.35431063401543106 method+0.3641730962764173 provid+0.3648440120764844 paper+0.3861791345186179 system+0.40630660852063066 has+0.43394833948339484 one+0.44374371016437436 time+0.4465615565246562 two+0.4508554176450855 base+0.4536061724253606 can+0.48775578664877556 also+0.49835625628983565 have+0.5267359946326736 our+0.5295538409929554 show+0.5902046293190205 result+0.6574303924857431
CLASS1:also+0.09390329362298529 has+0.1779957953749124 one+0.1885073580939033 find+0.19726699369306236 it+0.1979677645409951 than+0.1991357159542163 have+0.20392431674842326 system+0.22483064704508293 more+0.2408315814062135 provid+0.2535622518103247 two+0.2592852137351086 between+0.2631394533987386 present+0.27003036673674374 observ+0.2724830647045083 both+0.3017986451763607 differ+0.3049521139920579 paper+0.31160943704741884 first+0.32305536089698667 larg+0.3242233123102079 studi+0.3347348750291988 data+0.35178696566222845 high+0.35949544498948843 method+0.41859378649848167 propos+0.42805419294557345 base+0.5068909133380052 effect+0.5455501051156272 time+0.5466012613875263 our+0.5495211399205793 show+0.6711048820369072 result+0.67180565288484 model+0.6742583508526045 can+0.7147862648913805
CLASS10:high+0.10244023287501548 data+0.1409637061810975 time+0.1414591849374458 result+0.1534745447788926 provid+0.1699492134274743 than+0.18357487922705315 observ+0.18852966679053634 method+0.1913786696395392 base+0.20995912300260125 larg+0.21466617118791032 propos+0.21937321937321938 present+0.22445187662578966 more+0.25343738387216647 first+0.26000247739378174 paper+0.2722655766134027 effect+0.303480738263347 find+0.3157438374829679 both+0.31871671002105784 differ+0.39192369627152235 also+0.42351046698872785 system+0.4288368636194723 our+0.44122383252818037 one+0.4527437136132788 it+0.45410628019323673 has+0.46847516412733803 show+0.48148148148148145 between+0.4939923200792766 studi+0.5041496345844172 have+0.5421776291341509 two+0.5748792270531401 model+0.5970519013997275 can+0.7139848878979314
CLASS2:show+0.06896551724137931 find+0.08784893267651889 between+0.09770114942528736 observ+0.10098522167487685 effect+0.10919540229885058 differ+0.13136288998357964 can+0.15270935960591134 also+0.1535303776683087 studi+0.16009852216748768 than+0.17405582922824303 both+0.18883415435139572 high+0.19293924466338258 more+0.2044334975369458 provid+0.20525451559934318 larg+0.21264367816091953 have+0.3103448275862069 method+0.34564860426929395 present+0.35139573070607555 our+0.3555008210180624 data+0.3579638752052545 one+0.3957307060755337 paper+0.41133004926108374 propos+0.43267651888341546 first+0.4466338259441708 system+0.44991789819376027 two+0.451559934318555 result+0.458128078817734 model+0.4885057471264368 time+0.5287356321839081 base+0.5492610837438424 has+0.5509031198686372 it+0.9638752052545156
CLASS3:method+0.03664495114006515 paper+0.07084690553745929 propos+0.09283387622149837 base+0.0985342019543974 two+0.0985342019543974 result+0.10830618892508144 differ+0.13192182410423453 both+0.14413680781758959 data+0.18485342019543974 provid+0.18485342019543974 system+0.19136807817589577 between+0.19299674267100977 more+0.20521172638436483 first+0.21579804560260588 present+0.21579804560260588 high+0.2304560260586319 effect+0.23452768729641693 larg+0.25 studi+0.253257328990228 have+0.26221498371335505 our+0.2890879478827362 one+0.2923452768729642 has+0.30374592833876224 find+0.38273615635179153 model+0.41286644951140067 than+0.41286644951140067 can+0.6001628664495114 observ+0.6245928338762216 it+0.6767100977198697 also+0.7247557003257329 show+0.7280130293159609 time+0.8802931596091205
CLASS4:time+0.05500397140587768 propos+0.06254964257347101 paper+0.08141382049245433 base+0.09630659253375695 method+0.10087370929308975 system+0.12231930103256553 has+0.18328038125496426 it+0.19042891183478952 first+0.19559173947577443 both+0.2545671167593328 present+0.2565528196981732 data+0.2571485305798253 one+0.25774424146147734 provid+0.2658856235107228 differ+0.2936854646544877 more+0.2962668784749801 have+0.29864972200158857 larg+0.33955520254169974 two+0.34630659253375695 high+0.38959491660047657 effect+0.4096505162827641 than+0.4158061953931692 can+0.4654487688641779 find+0.4680301826846704 studi+0.5140984908657665 between+0.5180698967434472 our+0.5476568705321684 also+0.5583796664019063 model+0.5647339158061954 observ+0.6600476568705321 result+0.7027402700555997 show+0.7829626687847498
CLASS5:observ+0.06003223207091055 find+0.07332796132151491 model+0.09307010475423046 than+0.128928283642224 more+0.14786462530217567 larg+0.14786462530217567 have+0.15592264302981468 high+0.16599516518936341 data+0.18211120064464142 effect+0.1909750201450443 time+0.19218372280419016 present+0.1998388396454472 both+0.22441579371474618 differ+0.24858984689766317 studi+0.25624496373892025 method+0.29250604351329573 system+0.29935535858178886 two+0.30942788074133765 between+0.3315874294923449 our+0.33924254633360196 first+0.34206285253827556 one+0.35737308622078967 propos+0.3726833199033038 base+0.4016921837228042 has+0.410958904109589 paper+0.43271555197421435 provid+0.48509266720386784 also+0.5229653505237711 show+0.6482675261885577 can+0.669621273166801 result+0.7163577759871071 it+0.9174053182917002
CLASS6:propos+0.03713527851458886 can+0.03801945181255526 base+0.04420866489832007 method+0.05128205128205128 paper+0.07692307692307693 data+0.10963748894783377 provid+0.11317418213969938 have+0.1237842617152962 model+0.14588859416445624 our+0.14765694076038904 more+0.16976127320954906 has+0.21220159151193635 system+0.21839080459770116 also+0.23076923076923078 larg+0.2572944297082228 high+0.2723253757736516 than+0.27674624226348365 effect+0.27851458885941643 find+0.3112290008841733 present+0.3138815207780725 first+0.3209549071618037 differ+0.35190097259062775 show+0.3775419982316534 both+0.39610963748894784 one+0.40318302387267907 result+0.41290893015030944 studi+0.46949602122015915 between+0.5915119363395226 observ+0.6056587091069849 time+0.6242263483642794 it+0.7091069849690539 two+0.7338638373121131
CLASS7:propos+0.014925373134328358 paper+0.029850746268656716 can+0.029850746268656716 first+0.04477611940298507 than+0.04477611940298507 more+0.04477611940298507 two+0.04477611940298507 time+0.04477611940298507 method+0.05970149253731343 result+0.05970149253731343 studi+0.05970149253731343 one+0.05970149253731343 between+0.07462686567164178 find+0.08955223880597014 differ+0.08955223880597014 data+0.1044776119402985 model+0.1044776119402985 base+0.13432835820895522 have+0.14925373134328357 also+0.1791044776119403 present+0.19402985074626866 both+0.208955223880597 show+0.2537313432835821 provid+0.2835820895522388 has+0.31343283582089554 observ+0.3582089552238806 larg+0.47761194029850745 it+0.5373134328358209 effect+0.5671641791044776 high+0.6417910447761194 system+0.9850746268656716
CLASS8:high+0.06258322237017311 have+0.06324900133155792 than+0.07423435419440745 show+0.08488681757656458 has+0.0952063914780293 larg+0.105525965379494 it+0.12549933422103862 more+0.13581890812250333 observ+0.14414114513981358 data+0.22869507323568575 find+0.229693741677763 both+0.2809587217043941 paper+0.2809587217043941 method+0.2919440745672437 present+0.29227696404793607 first+0.2956058588548602 studi+0.3119174434087883 effect+0.32123834886817576 differ+0.3258988015978695 propos+0.3428761651131824 our+0.36684420772303594 one+0.3681757656458056 base+0.41644474034620504 provid+0.4540612516644474 time+0.4717043941411451 two+0.5346205059920106 also+0.5482689747003995 between+0.5619174434087882 can+0.5865512649800266 result+0.611185086551265 model+0.6284953395472703 system+0.7273635153129161
CLASS9:show+0.04381859264041317 system+0.15857004519044546 paper+0.18657198192382182 propos+0.18883150419625566 one+0.22353131052291803 it+0.22829244673983215 first+0.23394125242091673 two+0.23918657198192383 effect+0.25411555842479017 both+0.2647675919948354 method+0.2723531310522918 more+0.3276307295029051 has+0.33110071013557135 provid+0.34409296320206584 than+0.3642672692059393 differ+0.3657198192382182 larg+0.37814719173660427 base+0.3846836668818593 result+0.39283408650742413 can+0.3930761781794706 studi+0.41139444803098774 find+0.4154293092317624 also+0.4197062621045836 present+0.43076178179470626 time+0.43673337637185283 between+0.4379438347320852 data+0.44544867656552617 have+0.4893479664299548 our+0.5009683666881859 high+0.5335700451904455 observ+0.5845706907682375 model+0.6223369916074887
