CLASS0:it+0.06218779410700065 observ+0.11945268949540289 effect+0.1274885976978209 between+0.1696228190834721 find+0.1744009266632882 model+0.21689712589589516 larg+0.2575834358937233 both+0.2916817490769565 high+0.3168030116556867 data+0.3265040179541012 present+0.3291102584521827 studi+0.3320060812278289 more+0.3333092014768696 differ+0.3398248027220734 propos+0.3482226887714472 than+0.350973720408311 provid+0.3613986824006371 first+0.3615434735394194 method+0.36965177731122856 paper+0.38731629624266994 system+0.41207558097444436 has+0.44226453341055527 one+0.44371244479837835 base+0.44957648591906174 time+0.450155650474191 two+0.4558749004560921 also+0.49909505538261056 can+0.5019908781582567 our+0.520089770506045 have+0.5272569318757692 show+0.5770650836168827 result+0.673134004198943
CLASS1:also+0.0774367535636317 has+0.1634775908565558 one+0.18351097983819187 it+0.18376781815846924 find+0.2021317580583023 have+0.2036727879799666 than+0.20470014126107616 system+0.21741363811480674 two+0.22383459612174136 more+0.23487864389366894 provid+0.2543983562347502 between+0.25940670348015926 present+0.26826762552972905 observ+0.2722486194940285 both+0.29497881083857713 differ+0.30846282265313985 first+0.3115448824964685 paper+0.31347116989854884 studi+0.3281109541543598 larg+0.3283677924746372 data+0.3608578399897265 high+0.3796070373699756 propos+0.41517914472839346 method+0.4230127134968537 base+0.5013484011814563 effect+0.514832412996019 our+0.5584949274431745 time+0.5629895980480287 model+0.6706048542442532 result+0.6843457043790934 show+0.6867856684217285 can+0.7136252728907153
CLASS10:high+0.10270795123530047 time+0.13302405869025785 result+0.14251807098931923 data+0.1688423778185349 provid+0.18308339626712697 observ+0.1948430251375553 than+0.19710864170892223 larg+0.2213831049735678 present+0.22408026755852842 method+0.232603301327004 propos+0.25687776459164957 first+0.2606537922105945 more+0.2720897615708275 base+0.27964181680871725 paper+0.2870859855432085 find+0.3111446758010573 effect+0.32441471571906355 both+0.3268961052972273 system+0.3881756392275326 differ+0.4047901607508901 it+0.4104002589276082 our+0.43089869457330887 also+0.43596936023303484 one+0.4429819829539325 has+0.453015427769986 studi+0.48031071312978746 show+0.48548926529291186 between+0.49692523465314486 have+0.5260545905707196 two+0.5874420110044234 model+0.62671269824145 can+0.7016938181033553
CLASS2:show+0.07321899736147758 find+0.10158311345646438 effect+0.11015831134564644 between+0.11345646437994723 observ+0.12005277044854881 also+0.14445910290237468 differ+0.1470976253298153 can+0.1616094986807388 studi+0.16820580474934038 than+0.195910290237467 high+0.19722955145118734 both+0.21569920844327176 larg+0.22559366754617413 provid+0.22889182058047494 more+0.23482849604221637 have+0.33641160949868076 method+0.35686015831134565 data+0.37005277044854884 present+0.37005277044854884 our+0.3766490765171504 one+0.3858839050131926 paper+0.40897097625329815 two+0.4234828496042216 first+0.42480211081794195 propos+0.4254617414248021 result+0.45910290237467016 system+0.47691292875989444 has+0.5362796833773087 model+0.5488126649076517 time+0.5514511873350924 base+0.5567282321899736 it+0.9353562005277045
CLASS3:method+0.034529451591062965 paper+0.07853757616790792 propos+0.08733920108327692 two+0.0974949221394719 base+0.10765064319566689 result+0.12254570074475288 differ+0.13947190250507785 both+0.16113744075829384 system+0.1855111712931618 data+0.2024373730534868 between+0.2051455653351388 provid+0.21123899796885579 first+0.2166553825321598 present+0.22004062288422477 more+0.22951929587000677 high+0.23019634394041977 effect+0.23967501692620177 larg+0.26134055517941773 studi+0.27217332430602575 one+0.2728503723764387 have+0.2911306702775897 our+0.3188896411645227 has+0.3222748815165877 find+0.3967501692620176 than+0.42383209207853756 model+0.46242383209207855 can+0.6025727826675694 observ+0.6283006093432634 it+0.6621530128639134 also+0.7176709546377793 show+0.7224102911306702 time+0.8909952606635071
CLASS4:time+0.05627626530239357 propos+0.0610268591266216 paper+0.08514525854193312 base+0.09501187648456057 method+0.10871551251598757 system+0.1443449661976978 has+0.17832998355563676 it+0.18161885620317925 first+0.20062123150009137 data+0.2495888909190572 one+0.2525123332724283 provid+0.2629270966563128 both+0.26712954503928377 present+0.26786040562762653 more+0.2927096656312808 have+0.29453681710213775 differ+0.31810707107619224 larg+0.3330897131372191 two+0.3813265119678421 high+0.3842499543212132 effect+0.39777087520555454 than+0.4136670930020099 can+0.44746939521286316 find+0.47177050977526036 studi+0.5055728119861137 between+0.5223826055179974 also+0.5523478896400512 model+0.5532614653754796 our+0.5660515256714782 observ+0.6504659236250685 result+0.7370729033436872 show+0.7513246848163713
CLASS5:observ+0.06244087038789026 find+0.08672343109429202 model+0.11069063386944182 than+0.13024282560706402 more+0.14758751182592242 larg+0.15957111321349732 high+0.16461684011352887 effect+0.1813308104698833 have+0.1813308104698833 data+0.1870072532324188 present+0.217281614632608 both+0.22011983601387575 time+0.228319142226427 differ+0.25922421948912017 studi+0.2686849574266793 system+0.2835067801955219 method+0.2913907284768212 two+0.30715862503941976 between+0.325764742983286 first+0.3434247871333964 one+0.3566698202459792 propos+0.3651844843897824 base+0.38631346578366443 has+0.38820561337117626 our+0.40081993062125515 paper+0.42541784925890885 provid+0.4575843582466099 also+0.543677073478398 show+0.6130558183538316 can+0.662882371491643 result+0.7574897508672344 it+0.8994008199306213
CLASS6:propos+0.03672316384180791 base+0.04896421845574388 method+0.05555555555555555 can+0.05649717514124294 paper+0.07721280602636535 provid+0.10922787193973635 data+0.1120527306967985 have+0.1327683615819209 more+0.15819209039548024 our+0.1694915254237288 model+0.1713747645951036 has+0.1902071563088512 system+0.20056497175141244 also+0.211864406779661 larg+0.24105461393596986 effect+0.2448210922787194 high+0.2645951035781544 than+0.2749529190207156 present+0.3229755178907721 find+0.3248587570621469 show+0.3295668549905838 first+0.3408662900188324 differ+0.3493408662900188 both+0.3983050847457627 one+0.4011299435028249 result+0.4378531073446328 studi+0.4595103578154426 observ+0.5941619585687382 between+0.60075329566855 time+0.7015065913370998 it+0.7269303201506592 two+0.731638418079096
CLASS7:our+0.014925373134328358 propos+0.014925373134328358 can+0.014925373134328358 paper+0.029850746268656716 studi+0.04477611940298507 first+0.04477611940298507 more+0.04477611940298507 two+0.04477611940298507 method+0.05970149253731343 result+0.05970149253731343 one+0.05970149253731343 time+0.07462686567164178 data+0.08955223880597014 base+0.08955223880597014 between+0.1044776119402985 than+0.1044776119402985 differ+0.1044776119402985 model+0.1044776119402985 find+0.11940298507462686 present+0.16417910447761194 have+0.16417910447761194 also+0.19402985074626866 both+0.23880597014925373 provid+0.26865671641791045 has+0.3283582089552239 show+0.3283582089552239 observ+0.40298507462686567 larg+0.4626865671641791 effect+0.5223880597014925 it+0.6268656716417911 high+0.7164179104477612 system+0.9850746268656716
CLASS8:high+0.07013081395348837 have+0.07521802325581395 than+0.08103197674418605 has+0.09302325581395349 show+0.09992732558139535 it+0.1028343023255814 larg+0.11482558139534883 more+0.1373546511627907 observ+0.16351744186046513 find+0.2311046511627907 data+0.23619186046511628 paper+0.27361918604651164 method+0.2819767441860465 first+0.2856104651162791 studi+0.2877906976744186 present+0.295421511627907 both+0.3092296511627907 effect+0.32049418604651164 differ+0.3226744186046512 propos+0.3346656976744186 one+0.3430232558139535 our+0.35901162790697677 base+0.4175145348837209 provid+0.45421511627906974 also+0.49055232558139533 time+0.5032703488372093 two+0.528343023255814 between+0.5581395348837209 can+0.5763081395348837 result+0.6293604651162791 model+0.657703488372093 system+0.8066860465116279
CLASS9:show+0.04286568183758859 system+0.16053283237981386 paper+0.17923319955597303 propos+0.19024848433097089 it+0.19212706002903254 two+0.2220988813935616 first+0.22346511826487916 one+0.23106481086158312 method+0.261719750661771 both+0.27008795149859105 effect+0.2779438135086671 has+0.3290923063786184 more+0.33882674408675606 differ+0.3487319614038084 provid+0.35633165400051237 than+0.36401673640167365 can+0.3785330031594228 base+0.3828878831867475 result+0.3851934079070959 larg+0.38818205106310305 find+0.4080778755016651 also+0.41046879002647085 studi+0.41516522927162497 between+0.43138929211852106 present+0.4354026129280164 data+0.44940654085902143 time+0.4560669456066946 have+0.48996669797626163 our+0.5053368627785843 high+0.5568269148663649 observ+0.580394500896593 model+0.6098539834343779
