CLASS0:also+0.03680981595092025 have+0.049079754601226995 more+0.06441717791411043 present+0.08588957055214724 larg+0.09969325153374232 paper+0.11196319018404909 our+0.11503067484662577 method+0.13496932515337423 two+0.14263803680981596 data+0.15184049079754602 differ+0.15337423312883436 first+0.1579754601226994 one+0.16717791411042945 propos+0.17484662576687116 than+0.17791411042944785 high+0.19478527607361965 base+0.19631901840490798 time+0.19938650306748465 between+0.2085889570552147 provid+0.2147239263803681 show+0.24846625766871167 has+0.25 find+0.40337423312883436 system+0.4156441717791411 studi+0.4677914110429448 observ+0.5368098159509203 result+0.5414110429447853 effect+0.5521472392638037 model+0.5766871165644172 can+0.6334355828220859 both+0.6533742331288344 it+0.656441717791411
CLASS1:effect+0.07375537799631224 propos+0.07959434542102028 method+0.09096496619545175 our+0.11370620774431468 both+0.14290104486785496 more+0.14382298709280886 time+0.14535955746773202 first+0.1576521204671174 paper+0.16564228641671788 two+0.1889981561155501 than+0.19145666871542716 base+0.20036877688998156 high+0.20282728948985865 data+0.20928088506453596 show+0.21665642286416717 provid+0.2784265519360787 differ+0.30270436385986477 has+0.35894283958205286 find+0.36078672403196066 system+0.36877688998156116 larg+0.3693915181315304 present+0.3693915181315304 studi+0.40104486785494775 model+0.42347879532882604 result+0.42778119237861095 observ+0.4437615242778119 can+0.5239704978488015 have+0.5301167793484942 also+0.5709895513214506 it+0.5928088506453596 between+0.5940381069452981 one+0.607559926244622
CLASS10:studi+0.09515655577299413 two+0.11986301369863013 have+0.18468688845401174 first+0.18811154598825833 present+0.19324853228962818 larg+0.20596868884540118 our+0.20768101761252447 it+0.20865949119373778 high+0.21012720156555773 both+0.2502446183953033 can+0.2688356164383562 differ+0.2705479452054795 has+0.27495107632093935 system+0.2837573385518591 find+0.31066536203522505 propos+0.31800391389432486 than+0.3321917808219178 effect+0.35738747553816047 paper+0.3975048923679061 more+0.40533268101761255 base+0.4070450097847358 method+0.4278375733855186 model+0.4481409001956947 observ+0.4500978473581213 data+0.4552348336594912 between+0.45670254403131116 also+0.4635518590998043 provid+0.4794520547945205 one+0.4809197651663405 show+0.5543052837573386 time+0.6291585127201565 result+0.6558219178082192
CLASS2:data+0.13230074217489513 present+0.13843175217812198 propos+0.1419812842852533 first+0.14617618586640851 model+0.15779283639883834 method+0.15843820587286223 paper+0.16360116166505323 larg+0.18263956114875765 it+0.21458535011293967 base+0.21523071958696355 high+0.21652145853501129 two+0.22942884801548888 provid+0.23943207486285897 our+0.23975475959987091 have+0.24265892223297839 time+0.24298160696999033 has+0.2520167796063246 observ+0.2610519522426589 effect+0.26427879961277834 one+0.29493384962891256 result+0.3204259438528558 system+0.3946434333656018 find+0.45756695708293 also+0.5088738302678283 more+0.5117779929009358 than+0.5453372055501775 both+0.5472733139722491 studi+0.553081639238464 can+0.6237495966440787 between+0.6318167150693772 differ+0.6424653113907712 show+0.6553727008712488
CLASS3:find+0.16937645167053778 observ+0.18009648025728067 time+0.18801739026859626 also+0.21630635459472336 it+0.22833660889762372 than+0.23500684890715265 more+0.24626287892323268 provid+0.2872372104103389 both+0.29515812042165446 one+0.312905723304151 between+0.3158239533083199 show+0.3217199690310285 paper+0.32767554046810793 has+0.33911023762730036 larg+0.34464891906378414 system+0.35471383479244833 effect+0.36001429337144897 data+0.3616222976594604 present+0.3785361205407659 first+0.39306771484723957 high+0.40456196772080283 studi+0.4075993091537133 propos+0.43356560061937943 two+0.4473825263534036 differ+0.4757310463939015 method+0.4938359835626228 model+0.49865999642665715 have+0.5087249121553213 can+0.509677803585254 our+0.5220653921743791 base+0.6164611994520874 result+0.6577333095110476
CLASS4:studi+0.06791171477079797 observ+0.07809847198641766 our+0.07979626485568761 larg+0.08488964346349745 find+0.09507640067911714 model+0.11035653650254669 effect+0.11205432937181664 more+0.11544991511035653 high+0.11884550084889643 than+0.12224108658743633 present+0.1307300509337861 also+0.1307300509337861 data+0.1307300509337861 have+0.13242784380305603 method+0.1799660441426146 result+0.19015280135823429 between+0.23089983022071306 provid+0.23429541595925296 show+0.24787775891341257 paper+0.27843803056027167 both+0.2937181663837012 has+0.3140916808149406 it+0.3633276740237691 propos+0.366723259762309 one+0.3921901528013582 first+0.47198641765704585 differ+0.47877758913412566 two+0.5789473684210527 system+0.5959252971137521 can+0.7113752122241087 base+0.7436332767402377 time+0.8132427843803056
CLASS5:propos+0.099034198860038 paper+0.1208043065231159 method+0.12531665611146295 base+0.1503324889170361 first+0.1588822039265358 it+0.17613996200126664 provid+0.20891386953768207 more+0.2248258391386954 both+0.2305256491450285 data+0.2325839138695377 has+0.23480050664977833 one+0.23559214692843572 differ+0.23630462317922735 between+0.2693951868271058 show+0.29512349588347053 than+0.32615579480683976 system+0.3283723875870804 high+0.3356554781507283 larg+0.3704084863837872 present+0.3742875237492084 effect+0.39494933502216595 two+0.4275649145028499 can+0.4572514249525016 find+0.47102596580114 studi+0.4843255224825839 model+0.525965801139962 result+0.5333280557314756 have+0.5425110829639012 also+0.547419252691577 observ+0.5566814439518682 our+0.5701393286890437 time+0.6136795440151995
CLASS6:studi+0.1192368839427663 effect+0.15924748277689454 find+0.16242713301536832 differ+0.1724960254372019 present+0.17739798622151565 observ+0.18640699523052465 between+0.18958664546899842 first+0.21104928457869634 larg+0.21422893481717012 time+0.2425808161102279 have+0.24483306836248012 method+0.2847111817700053 both+0.2863010068892422 data+0.29504504504504503 it+0.3073661897191309 than+0.3086910439851616 has+0.3130630630630631 one+0.33187599364069953 two+0.3455219925808161 result+0.3930842607313196 base+0.402888182299947 propos+0.4099099099099099 system+0.4112347641759406 high+0.44872813990461047 also+0.4593269740328564 more+0.47125066242713304 paper+0.49258081611022786 provid+0.5543190249072601 model+0.6316905140434552 our+0.6388447270800212 show+0.6393746687864335 can+0.7497350291467939
CLASS7:system+0.05465116279069768 effect+0.1377906976744186 larg+0.1644186046511628 high+0.16767441860465115 more+0.19046511627906976 method+0.19988372093023254 propos+0.2077906976744186 have+0.22441860465116278 find+0.22697674418604652 observ+0.23732558139534884 provid+0.24593023255813953 base+0.24767441860465117 paper+0.25046511627906975 than+0.2525581395348837 differ+0.27348837209302324 both+0.28 it+0.3253488372093023 present+0.3395348837209302 one+0.35848837209302326 data+0.37930232558139537 result+0.40732558139534886 model+0.47790697674418603 two+0.4791860465116279 studi+0.4875581395348837 between+0.4975581395348837 also+0.502093023255814 first+0.5025581395348837 can+0.5412790697674419 has+0.5437209302325582 our+0.5927906976744186 time+0.5995348837209302 show+0.7296511627906976
CLASS8:model+0.045531197301854974 system+0.05902192242833052 also+0.07419898819561552 our+0.08431703204047218 find+0.1045531197301855 method+0.11467116357504216 differ+0.12984822934232715 effect+0.1315345699831366 between+0.13659359190556492 paper+0.13827993254637436 first+0.1467116357504216 propos+0.14839797639123103 result+0.15008431703204048 present+0.1551433389544688 provid+0.16694772344013492 two+0.17200674536256325 data+0.17706576728499157 larg+0.209106239460371 one+0.21922428330522767 base+0.23608768971332209 time+0.2917369308600337 studi+0.32040472175379425 than+0.35075885328836426 has+0.38785834738617203 more+0.3979763912310287 both+0.45868465430016864 high+0.5632377740303541 observ+0.5649241146711635 can+0.5801011804384486 it+0.5851602023608768 have+0.7116357504215851 show+0.7470489038785835
CLASS9:our+0.011904761904761904 high+0.031746031746031744 more+0.03968253968253968 data+0.03968253968253968 studi+0.06349206349206349 find+0.06746031746031746 time+0.07539682539682539 than+0.07539682539682539 observ+0.08333333333333333 differ+0.0873015873015873 larg+0.10714285714285714 first+0.11904761904761904 present+0.11904761904761904 provid+0.11904761904761904 method+0.11904761904761904 have+0.12698412698412698 base+0.1388888888888889 effect+0.14682539682539683 between+0.16666666666666666 both+0.16666666666666666 paper+0.19444444444444445 propos+0.1984126984126984 has+0.24206349206349206 it+0.2777777777777778 one+0.3968253968253968 result+0.40476190476190477 system+0.5158730158730159 also+0.6031746031746031 two+0.6865079365079365 can+0.7936507936507936 show+0.8650793650793651
