CLASS0:method+0.038181818181818185 paper+0.04727272727272727 propos+0.07818181818181819 have+0.08 more+0.08545454545454545 one+0.0890909090909091 first+0.1 result+0.10545454545454545 than+0.11090909090909092 base+0.12 has+0.1509090909090909 data+0.15636363636363637 our+0.18545454545454546 differ+0.1890909090909091 two+0.19636363636363635 show+0.21272727272727274 provid+0.21818181818181817 present+0.22727272727272727 also+0.24181818181818182 both+0.25636363636363635 time+0.29454545454545455 studi+0.30363636363636365 larg+0.3109090909090909 system+0.36363636363636365 can+0.36727272727272725 find+0.3690909090909091 high+0.38 effect+0.5436363636363636 between+0.5927272727272728 observ+0.6618181818181819 model+0.7490909090909091 it+0.9763636363636363
CLASS1:method+0.05012224938875306 propos+0.061124694376528114 base+0.0843520782396088 show+0.09290953545232274 paper+0.09902200488997555 result+0.09902200488997555 model+0.11858190709046455 effect+0.1295843520782396 data+0.13202933985330073 can+0.1393643031784841 our+0.14547677261613692 time+0.16748166259168704 more+0.20904645476772615 first+0.2139364303178484 find+0.2237163814180929 larg+0.24327628361858192 differ+0.25183374083129584 high+0.2530562347188264 than+0.2713936430317848 both+0.30073349633251834 present+0.31907090464547677 studi+0.33251833740831294 provid+0.33251833740831294 one+0.4315403422982885 observ+0.4388753056234719 between+0.4572127139364303 have+0.49144254278728605 has+0.5024449877750611 two+0.5647921760391198 it+0.6809290953545232 system+0.7090464547677262 also+0.7506112469437652
CLASS10:two+0.05697445972495088 can+0.09037328094302555 paper+0.09823182711198428 one+0.10019646365422397 propos+0.10019646365422397 differ+0.11198428290766209 have+0.11394891944990176 model+0.11591355599214145 more+0.12770137524557956 between+0.13359528487229863 method+0.14145383104125736 find+0.14931237721021612 both+0.18467583497053044 studi+0.18664047151277013 base+0.18860510805500982 has+0.206286836935167 show+0.2220039292730845 effect+0.2475442043222004 also+0.26522593320235754 our+0.2691552062868369 first+0.275049115913556 than+0.2966601178781925 larg+0.3555992141453831 data+0.3575638506876228 present+0.41453831041257366 provid+0.4204322200392927 it+0.449901768172888 system+0.5776031434184676 observ+0.5795677799607073 high+0.7544204322200393 time+0.8192534381139489 result+0.8781925343811395
CLASS2:propos+0.022651933701657457 it+0.045303867403314914 paper+0.045303867403314914 method+0.06740331491712707 base+0.07237569060773481 first+0.07624309392265194 data+0.10718232044198896 has+0.12099447513812155 one+0.1397790055248619 more+0.15193370165745856 time+0.1734806629834254 model+0.1861878453038674 present+0.18839779005524862 two+0.19281767955801105 our+0.24917127071823206 have+0.2613259668508287 than+0.261878453038674 provid+0.28011049723756903 both+0.3154696132596685 result+0.32265193370165746 system+0.36629834254143645 differ+0.36629834254143645 larg+0.39447513812154694 find+0.4138121546961326 studi+0.4325966850828729 effect+0.5270718232044199 can+0.5353591160220994 between+0.5640883977900553 also+0.5685082872928177 high+0.6392265193370166 observ+0.6392265193370166 show+0.7154696132596685
CLASS3:time+0.017985611510791366 than+0.07074340527577938 also+0.07673860911270983 find+0.10731414868105515 observ+0.11990407673860912 show+0.12829736211031176 can+0.1396882494004796 more+0.1486810551558753 data+0.23201438848920863 one+0.2422062350119904 it+0.24700239808153476 has+0.25239808153477217 first+0.2697841726618705 our+0.2715827338129496 model+0.2751798561151079 have+0.28477218225419665 paper+0.2871702637889688 provid+0.302757793764988 studi+0.31414868105515587 propos+0.3459232613908873 larg+0.3513189448441247 present+0.36031175059952036 effect+0.3657074340527578 method+0.40347721822541965 differ+0.407673860911271 both+0.42206235011990406 between+0.43285371702637887 base+0.4520383693045564 high+0.5569544364508393 two+0.580335731414868 result+0.6396882494004796 system+0.7727817745803357
CLASS4:find+0.054567022538552785 show+0.054567022538552785 result+0.05931198102016608 than+0.09489916963226572 observ+0.09489916963226572 our+0.10201660735468565 studi+0.13048635824436536 more+0.13997627520759193 between+0.14116251482799524 also+0.20166073546856464 differ+0.20166073546856464 data+0.2158956109134045 two+0.232502965599051 effect+0.23606168446026096 model+0.25029655990510086 larg+0.2538552787663108 first+0.2597864768683274 both+0.265717674970344 present+0.27283511269276395 provid+0.3084223013048636 one+0.3202846975088968 have+0.3238434163701068 method+0.3262158956109134 can+0.3487544483985765 paper+0.3570581257413998 propos+0.3819691577698695 high+0.398576512455516 has+0.49110320284697506 base+0.5776986951364176 it+0.6856465005931198 system+0.8066429418742586 time+0.8268090154211151
CLASS5:it+0.028112449799196786 paper+0.04417670682730924 propos+0.05622489959839357 method+0.07329317269076305 result+0.08283132530120482 can+0.13805220883534136 first+0.1566265060240964 provid+0.15913654618473896 base+0.16817269076305222 also+0.17971887550200802 one+0.1827309236947791 show+0.18825301204819278 differ+0.25 has+0.25100401606425704 our+0.2700803212851406 data+0.2720883534136546 more+0.2761044176706827 both+0.3057228915662651 two+0.3142570281124498 studi+0.3428714859437751 present+0.3589357429718876 between+0.3729919678714859 than+0.3790160642570281 effect+0.4106425702811245 have+0.42570281124497994 larg+0.44929718875502006 find+0.4563253012048193 time+0.49146586345381527 system+0.5331325301204819 high+0.6531124497991968 model+0.6942771084337349 observ+0.7520080321285141
CLASS6:two+0.059367013957145665 time+0.10517004128169845 between+0.12600747002162374 find+0.13681934342441518 first+0.14920385295852173 studi+0.16375073717318656 observ+0.16394731668960094 one+0.1802634165519953 than+0.18675054059367013 both+0.18694712011008452 differ+0.20188716335757814 it+0.22704934145862002 more+0.24297228228818557 present+0.24356202083742873 paper+0.3351680754865343 data+0.3546294476115589 result+0.3648515824651071 effect+0.36642421859642227 method+0.36897975230980934 larg+0.3762531944171417 propos+0.39728720267348144 has+0.4430902299980342 also+0.44603892274425005 provid+0.4485944564576371 show+0.4580302732455278 our+0.45940632986042856 have+0.4865343031256143 base+0.5095341065460979 high+0.5443286809514448 model+0.5557302929034794 can+0.6799685472773737 system+0.7241989384706113
CLASS7:system+0.21241460541813897 high+0.2337809187279152 it+0.24256772673733804 larg+0.24661955241460543 effect+0.25705535924617195 propos+0.2915665488810365 observ+0.2926972909305065 both+0.2936631330977621 find+0.2986572438162544 paper+0.30094228504122494 provid+0.30431095406360426 more+0.3055359246171967 than+0.3065017667844523 method+0.307962308598351 present+0.3224734982332155 data+0.324640753828033 has+0.32593639575971733 first+0.32888103651354533 differ+0.36 one+0.37547703180212016 between+0.37997644287396937 base+0.3820494699646643 have+0.39674911660777384 studi+0.4194110718492344 also+0.43404004711425204 two+0.43646643109540634 time+0.43985865724381623 show+0.4706478209658422 model+0.5143227326266195 our+0.5441931684334511 can+0.5795288574793875 result+0.5901531213191991
CLASS8:system+0.09240573552841211 propos+0.09612320764737121 method+0.11417950079660116 paper+0.12373871481678173 provid+0.15294742432288902 between+0.1656930430164631 two+0.17259691980881572 base+0.17472118959107807 can+0.18906001062134892 model+0.20021242697822622 both+0.20658523632501327 result+0.20711630377057885 first+0.20711630377057885 differ+0.21295804567180032 time+0.23154540626659587 data+0.24429102496016994 effect+0.24694636218799787 one+0.25172596919808815 find+0.2549123738714817 more+0.2825278810408922 also+0.28890069038767924 present+0.2915560276155072 our+0.33882103027084437 studi+0.34466277217206587 than+0.4158258098778545 larg+0.5034519383961763 has+0.5469994689325545 have+0.5517790759426447 observ+0.5772703133297928 show+0.6330323951141795 high+0.7137546468401487 it+0.7371216144450345
CLASS9:data+0.03278688524590164 more+0.05122950819672131 high+0.06352459016393443 find+0.06762295081967214 have+0.08196721311475409 than+0.10040983606557377 observ+0.10245901639344263 method+0.11475409836065574 present+0.11885245901639344 our+0.1290983606557377 model+0.13729508196721313 base+0.13934426229508196 larg+0.1680327868852459 provid+0.19057377049180327 studi+0.19262295081967212 differ+0.20901639344262296 propos+0.21311475409836064 between+0.23155737704918034 time+0.23770491803278687 paper+0.24385245901639344 effect+0.26434426229508196 has+0.2827868852459016 both+0.2848360655737705 also+0.3155737704918033 first+0.319672131147541 one+0.35040983606557374 can+0.4344262295081967 result+0.4569672131147541 two+0.5614754098360656 it+0.8032786885245902 system+0.8299180327868853 show+0.9528688524590164
