CLASS0:it+0.025306964101602776 observ+0.09719748804948918 effect+0.1331896147717687 find+0.13440809822851252 model+0.14584309682257007 between+0.16308932421032898 larg+0.2654419345768113 both+0.2877495547848908 data+0.299746930358984 high+0.3078076670728278 present+0.3276783203674196 differ+0.3316149592276689 than+0.33217733620770457 studi+0.3361139750679539 more+0.34211266285500047 provid+0.34379979379510733 propos+0.37501171618708407 method+0.3793232730340238 first+0.391320648608117 paper+0.4133470803261787 system+0.42412597244352795 time+0.430968225700628 base+0.4517761739619458 one+0.45440059986877873 has+0.4571187552722842 two+0.4661167869528541 also+0.48495641578404725 can+0.5058580935420377 our+0.5188864935795294 have+0.5299465741868966 show+0.5448495641578405 result+0.6831005717499297
CLASS1:also+0.09226639825532629 it+0.16373091763126993 one+0.16876363026337862 two+0.17111222949169602 has+0.1922496225465526 have+0.1969468210031874 than+0.20214729072303306 find+0.2055024324777722 more+0.2190907565844657 observ+0.22496225465525918 system+0.22580104009394397 between+0.2326790806911592 provid+0.2551585304479114 both+0.26119778560644186 present+0.26404965609797015 first+0.27495386680087236 studi+0.2945814460660963 differ+0.29978191578594193 larg+0.3291394061399094 paper+0.35430296930045296 data+0.3905385002516356 propos+0.4400268411340379 method+0.4479114242576749 effect+0.4479114242576749 high+0.45009226639825534 base+0.5505787619526925 time+0.5566180171112229 our+0.5782586814292904 can+0.7039087401442711 model+0.7124643516188559 result+0.7216909914443885 show+0.7533970810266734
CLASS10:result+0.07672176308539945 time+0.09449035812672177 high+0.11721763085399449 observ+0.16942148760330578 data+0.18691460055096418 present+0.19476584022038568 provid+0.20013774104683196 than+0.20013774104683196 larg+0.2381542699724518 first+0.25413223140495866 method+0.2633608815426997 more+0.28760330578512394 find+0.29022038567493114 paper+0.30757575757575756 system+0.3128099173553719 propos+0.3181818181818182 it+0.3247933884297521 effect+0.3432506887052342 both+0.35619834710743803 base+0.3608815426997245 our+0.38333333333333336 also+0.42052341597796145 has+0.4236914600550964 studi+0.43980716253443525 differ+0.4505509641873278 one+0.4696969696969697 show+0.5071625344352617 have+0.5099173553719009 between+0.5183195592286501 two+0.6107438016528925 model+0.6318181818181818 can+0.7150137741046831
CLASS2:show+0.11543889359300029 find+0.11600338696020322 effect+0.14366356195314706 observ+0.14394580863674852 between+0.14535704205475586 also+0.17753316398532318 high+0.18374259102455545 differ+0.21366073948631104 than+0.2218458933107536 studi+0.22495060683036974 larg+0.24442562799887102 both+0.24499012136607395 more+0.2698278295230031 can+0.28111769686706184 provid+0.292125317527519 method+0.37228337567033587 data+0.3863957098504093 present+0.3920406435224386 paper+0.397121083827265 one+0.4058707310189105 have+0.41433813152695453 our+0.4242167654530059 first+0.42675698560541914 propos+0.4329664126446514 result+0.44594976009031895 two+0.46683601467682756 has+0.49731865650578605 system+0.5108664973186565 base+0.5373976855771945 time+0.5379621789443974 model+0.6539655659046006 it+0.8134349421394299
CLASS3:method+0.06768134715025907 propos+0.07901554404145078 paper+0.12176165803108809 base+0.12338082901554404 two+0.12694300518134716 differ+0.15867875647668395 result+0.15965025906735753 both+0.16321243523316062 system+0.18652849740932642 high+0.20595854922279794 between+0.22085492227979275 present+0.22279792746113988 effect+0.23121761658031087 first+0.23348445595854922 data+0.23510362694300518 provid+0.2496761658031088 larg+0.25129533678756477 more+0.2645725388601036 one+0.3089378238341969 studi+0.3325777202072539 have+0.3432642487046632 our+0.3863341968911917 find+0.3869818652849741 has+0.39281088082901555 than+0.4323186528497409 model+0.4896373056994819 it+0.5459844559585493 observ+0.5874352331606217 can+0.6463730569948186 also+0.6777849740932642 show+0.7205310880829016 time+0.8286917098445595
CLASS4:propos+0.07371247254088358 time+0.0814010251403466 paper+0.10495484500854284 base+0.11203319502074689 method+0.12716621918476934 system+0.170612643397608 it+0.18635587014888944 has+0.1870881132536002 first+0.22516475469855993 provid+0.25469855992189405 data+0.2556748840615084 one+0.26751281425433243 more+0.2844764461801318 present+0.2927752013668538 both+0.29594825482060044 have+0.32609226263119356 larg+0.3269465462533561 high+0.328777154015133 effect+0.35489382474981696 differ+0.36636563339028555 than+0.3721015377105199 two+0.44666829387356605 find+0.4494752257749573 can+0.4621674395899439 also+0.5195264827922871 studi+0.5228215767634855 model+0.5266048328044911 between+0.53197461557237 observ+0.5798144984134733 our+0.5923846717110081 show+0.7119843788137662 result+0.7609226263119355
CLASS5:observ+0.053929121725731895 find+0.10785824345146379 than+0.1322547508988187 model+0.13662044170518747 larg+0.16076014381099127 more+0.16538263995891114 high+0.1679506933744222 effect+0.19594247560349257 data+0.19748330765279917 both+0.2300975860297894 present+0.23061119671289163 have+0.2347200821777093 time+0.2544940934771443 differ+0.28556753980482796 system+0.29121725731895226 between+0.29892141756548535 studi+0.31587057010785824 method+0.3189522342064715 two+0.3197226502311248 first+0.33975346687211094 propos+0.3610683102208526 one+0.36466358500256807 base+0.3810991268618387 has+0.3872624550590652 provid+0.41987673343605547 paper+0.42475603492552644 our+0.4640472521828454 also+0.5726759116589625 show+0.6160760143810992 can+0.6833590138674884 result+0.7650231124807396 it+0.8931689779147406
CLASS6:propos+0.05107252298263534 method+0.06537282941777324 base+0.0735444330949949 paper+0.07865168539325842 can+0.09601634320735444 provid+0.10929519918283963 data+0.12461695607763024 have+0.13278855975485188 our+0.1644535240040858 more+0.17160367722165476 model+0.17466802860061287 system+0.18794688457609807 has+0.195097037793667 also+0.20326864147088866 high+0.22880490296220635 larg+0.236976506639428 effect+0.2512768130745659 than+0.27170582226762 show+0.27987742594484166 present+0.33401430030643514 find+0.355464759959142 first+0.36567926455566907 differ+0.3687436159346272 result+0.3891726251276813 one+0.4044943820224719 both+0.41062308478038817 studi+0.4821246169560776 observ+0.5812053115423902 between+0.6353421859039836 it+0.6608784473953013 two+0.7660878447395302 time+0.8069458631256384
CLASS7:our+0.013888888888888888 propos+0.013888888888888888 time+0.027777777777777776 more+0.027777777777777776 result+0.041666666666666664 can+0.041666666666666664 method+0.041666666666666664 data+0.05555555555555555 paper+0.05555555555555555 first+0.06944444444444445 than+0.08333333333333333 one+0.08333333333333333 base+0.08333333333333333 two+0.08333333333333333 find+0.09722222222222222 differ+0.09722222222222222 studi+0.1111111111111111 present+0.125 model+0.16666666666666666 have+0.18055555555555555 also+0.20833333333333334 between+0.2222222222222222 both+0.2222222222222222 provid+0.2638888888888889 has+0.3194444444444444 show+0.3333333333333333 effect+0.4027777777777778 larg+0.4305555555555556 observ+0.4722222222222222 it+0.7083333333333334 high+0.7916666666666666 system+0.9861111111111112
CLASS8:it+0.06726044226044225 high+0.08722358722358722 than+0.09029484029484029 larg+0.11916461916461916 have+0.11947174447174447 has+0.12254299754299754 more+0.14035626535626536 show+0.15018427518427518 observ+0.1732186732186732 data+0.22727272727272727 find+0.23095823095823095 paper+0.2757985257985258 first+0.2761056511056511 present+0.30651105651105653 method+0.30804668304668303 one+0.31111793611793614 studi+0.31756756756756754 propos+0.324017199017199 our+0.33783783783783783 differ+0.34367321867321865 both+0.3495085995085995 effect+0.3707002457002457 base+0.39864864864864863 also+0.4342751842751843 provid+0.4394963144963145 two+0.5218058968058968 time+0.5457616707616708 between+0.5605036855036855 result+0.6176289926289926 can+0.620085995085995 model+0.6286855036855037 system+0.8445945945945946
CLASS9:show+0.05025934537649794 it+0.1421033804328385 paper+0.17063137184761223 system+0.17733857986049006 propos+0.18341978179216598 two+0.20872831336075837 first+0.2175818279377571 one+0.229118225719907 method+0.2736540869254159 both+0.2747272402074763 effect+0.31505991772491504 has+0.32936862815238777 differ+0.33500268288320517 more+0.3414416025755679 provid+0.3620998032552316 result+0.3705956000715436 than+0.3756930781613307 larg+0.38025397961008767 also+0.38857091754605616 base+0.3899123591486317 can+0.3953675549991057 between+0.4020747630119835 studi+0.4137900196744768 find+0.41584689679842607 present+0.43167590770881775 data+0.4501878018243606 time+0.46512251833303525 our+0.5043820425684136 have+0.5180647469146843 observ+0.5624217492398498 high+0.5878197102486138 model+0.6050795922017528
