CLASS0:paper+0.04834254143646409 method+0.05110497237569061 propos+0.07458563535911603 more+0.09116022099447514 have+0.10082872928176796 first+0.106353591160221 base+0.11464088397790055 one+0.11740331491712708 result+0.11740331491712708 than+0.1477900552486188 has+0.1671270718232044 data+0.18093922651933703 our+0.1878453038674033 two+0.19613259668508287 differ+0.20027624309392264 provid+0.22790055248618785 also+0.25 present+0.25 show+0.2638121546961326 both+0.28314917127071826 time+0.31077348066298344 larg+0.31353591160220995 studi+0.3314917127071823 system+0.3674033149171271 find+0.3756906077348066 can+0.38950276243093923 high+0.4102209944751381 effect+0.5193370165745856 between+0.6077348066298343 observ+0.675414364640884 model+0.7665745856353591 it+0.9613259668508287
CLASS1:method+0.05357142857142857 propos+0.054563492063492064 base+0.07837301587301587 result+0.09027777777777778 paper+0.09325396825396826 show+0.09523809523809523 model+0.12003968253968254 data+0.12400793650793651 effect+0.1498015873015873 our+0.1527777777777778 can+0.1597222222222222 time+0.16964285714285715 more+0.20932539682539683 first+0.21726190476190477 find+0.23313492063492064 high+0.23809523809523808 larg+0.24801587301587302 differ+0.25297619047619047 than+0.28174603174603174 present+0.29563492063492064 both+0.2996031746031746 provid+0.33134920634920634 studi+0.37202380952380953 one+0.43452380952380953 observ+0.47023809523809523 between+0.4781746031746032 have+0.48412698412698413 has+0.49007936507936506 two+0.5793650793650794 it+0.6537698412698413 system+0.6716269841269841 also+0.7033730158730159
CLASS10:two+0.07871720116618076 propos+0.08454810495626822 paper+0.10058309037900874 differ+0.10204081632653061 one+0.11370262390670553 can+0.12536443148688048 have+0.13556851311953352 model+0.1457725947521866 between+0.14723032069970846 more+0.14868804664723032 method+0.14868804664723032 base+0.16326530612244897 find+0.17638483965014579 both+0.18950437317784258 studi+0.21428571428571427 has+0.22740524781341107 effect+0.2478134110787172 show+0.2521865889212828 also+0.2565597667638484 first+0.2565597667638484 than+0.3075801749271137 our+0.31341107871720114 data+0.3338192419825073 larg+0.3760932944606414 present+0.39067055393586003 provid+0.40816326530612246 it+0.45918367346938777 observ+0.5918367346938775 system+0.6005830903790087 high+0.7623906705539358 time+0.8075801749271136 result+0.8600583090379009
CLASS2:propos+0.02702702702702703 paper+0.03767403767403767 it+0.04095004095004095 method+0.05814905814905815 base+0.06306306306306306 first+0.07862407862407862 data+0.10155610155610155 one+0.11302211302211303 more+0.12203112203112203 has+0.12366912366912367 model+0.13267813267813267 time+0.15561015561015562 two+0.17362817362817362 present+0.19164619164619165 have+0.2194922194922195 our+0.2285012285012285 than+0.24078624078624078 provid+0.25634725634725636 both+0.31695331695331697 result+0.3226863226863227 system+0.33742833742833744 differ+0.33824733824733827 larg+0.38001638001638 find+0.4135954135954136 studi+0.45045045045045046 can+0.5094185094185094 effect+0.5184275184275184 also+0.5683865683865684 between+0.6142506142506142 observ+0.6543816543816544 high+0.678951678951679 show+0.714987714987715
CLASS3:time+0.013718411552346571 than+0.059927797833935016 also+0.07292418772563176 show+0.10902527075812274 find+0.11263537906137185 can+0.1256317689530686 observ+0.13068592057761733 more+0.13068592057761733 data+0.2259927797833935 one+0.23032490974729242 has+0.2339350180505415 our+0.24765342960288808 have+0.2584837545126354 it+0.26498194945848375 model+0.27075812274368233 paper+0.2743682310469314 first+0.275812274368231 provid+0.30902527075812275 studi+0.3155234657039711 larg+0.33574007220216606 propos+0.3386281588447653 effect+0.35090252707581226 present+0.35306859205776175 method+0.39061371841155235 differ+0.41660649819494583 both+0.4411552346570397 base+0.45776173285198557 between+0.4736462093862816 high+0.5667870036101083 two+0.5819494584837546 result+0.6216606498194945 system+0.771841155234657
CLASS4:show+0.048600883652430045 result+0.050073637702503684 find+0.053019145802650956 our+0.07363770250368189 than+0.10014727540500737 observ+0.101620029455081 between+0.1251840942562592 studi+0.12960235640648013 more+0.13402061855670103 differ+0.18851251840942562 also+0.19440353460972018 two+0.2106038291605302 data+0.22238586156111928 effect+0.2268041237113402 larg+0.23564064801178203 model+0.2503681885125184 both+0.2547864506627393 present+0.25625920471281294 first+0.2621502209131075 provid+0.2960235640648012 have+0.3078055964653903 one+0.3078055964653903 method+0.3240058910162003 paper+0.3549337260677467 can+0.3637702503681885 propos+0.39322533136966126 high+0.4418262150220913 has+0.5036818851251841 base+0.5994108983799705 it+0.6745213549337261 system+0.8203240058910162 time+0.845360824742268
CLASS5:it+0.018609742747673783 paper+0.038314176245210725 propos+0.05309250136836344 method+0.06513409961685823 result+0.06787082649151614 can+0.1499726327312534 provid+0.1592775041050903 first+0.16420361247947454 base+0.16912972085385877 also+0.1718664477285167 one+0.18171866447728516 show+0.1959496442255063 our+0.23590585659551178 has+0.23864258347016967 differ+0.2512315270935961 data+0.2534209085933224 more+0.26436781609195403 both+0.3070607553366174 two+0.3097974822112753 present+0.3464696223316913 studi+0.3590585659551177 than+0.38149972632731255 effect+0.3935413245758073 between+0.41488779419813904 have+0.41707717569786534 larg+0.4395183360700602 find+0.45320197044334976 time+0.4570333880678708 system+0.5347564313081554 high+0.6661193212917351 model+0.6885604816639299 observ+0.7673782156540777
CLASS6:two+0.06512566501559347 time+0.08237020730141259 between+0.13300311869381765 find+0.13997431663914878 first+0.14474408365437536 observ+0.18015043111355714 studi+0.1849201981287837 one+0.18510365070629242 than+0.18913960741148414 both+0.1964777105118327 differ+0.20124747752705927 more+0.24160704457897633 present+0.2438084755090809 it+0.24582645386167676 paper+0.3313153549807375 data+0.336085121995964 effect+0.3423225096312603 method+0.3615850302696753 larg+0.3698403962575674 propos+0.37937993028802053 result+0.38873601174096495 has+0.43166391487800404 also+0.43569987158319573 provid+0.44890845716382316 our+0.46083287470188955 show+0.46725371491469453 base+0.48413135204549623 have+0.48725004586314435 model+0.5499908273711246 high+0.5602641717116126 can+0.6677673821317189 system+0.7253714914694551
CLASS7:system+0.2136634678095593 high+0.235698313612224 it+0.23618745923786452 larg+0.2520730457467623 effect+0.2656060747228175 propos+0.29153079288176653 observ+0.2918568899655269 both+0.29353396068200877 find+0.29912419640361504 paper+0.300009317059536 provid+0.30215224075281844 more+0.30583247926954255 than+0.3059955278114227 method+0.30820832945122517 present+0.3233951364949222 data+0.324979036616044 first+0.3260504984626852 has+0.3264697661418057 differ+0.3629227615764465 one+0.3730317711730178 between+0.37636261995714154 base+0.3831174881207491 have+0.3987701481412466 studi+0.41512158762694495 also+0.4337324140501258 two+0.43573558185036804 time+0.44316593683033634 show+0.47093077424764745 model+0.5110174229013323 our+0.5429982297586882 can+0.5763765955464455 result+0.5851812168079754
CLASS8:system+0.07425441265976872 propos+0.09129640900791236 method+0.10042604990870359 paper+0.11442483262325015 provid+0.1472915398660986 base+0.16981132075471697 between+0.17285453438831405 two+0.17407181984175288 can+0.17650639074863056 model+0.19172245891661593 result+0.19537431527693244 both+0.2014607425441266 time+0.20450395617772368 differ+0.2130249543517955 first+0.2215459525258673 effect+0.23371880706025563 data+0.24650030432136336 one+0.2550213024954352 find+0.26536822884966527 present+0.2830188679245283 more+0.2878880097382836 also+0.3000608642726719 our+0.3225806451612903 studi+0.35118685331710287 than+0.4169202678027998 larg+0.4996956786366403 has+0.5331710286062081 have+0.5502130249543518 observ+0.5800365185636032 show+0.6378575776019476 high+0.7236762020693853 it+0.7321972002434571
CLASS9:data+0.03136531365313653 more+0.06273062730627306 find+0.07011070110701106 high+0.07011070110701106 have+0.07011070110701106 than+0.10516605166051661 method+0.1088560885608856 our+0.11623616236162361 observ+0.11808118081180811 present+0.11808118081180811 model+0.12730627306273062 base+0.14391143911439114 larg+0.16051660516605165 provid+0.1900369003690037 propos+0.2066420664206642 studi+0.21033210332103322 differ+0.21217712177121772 time+0.2140221402214022 between+0.23985239852398524 paper+0.23985239852398524 effect+0.25830258302583026 has+0.26199261992619927 both+0.29704797047970477 also+0.3007380073800738 first+0.3247232472324723 one+0.37453874538745385 result+0.4261992619926199 can+0.44280442804428044 two+0.5756457564575646 it+0.7767527675276753 system+0.7915129151291513 show+0.948339483394834
