CLASS0:it+0.004777504777504778 observ+0.08094458094458094 model+0.088998088998089 find+0.12244062244062244 effect+0.12394212394212394 between+0.13786513786513788 larg+0.2588042588042588 data+0.276003276003276 both+0.2809172809172809 high+0.30644280644280647 present+0.31285831285831284 differ+0.3247338247338247 than+0.32664482664482664 studi+0.32992082992082994 provid+0.3361998361998362 more+0.3464373464373464 method+0.37564837564837567 propos+0.38738738738738737 first+0.4044499044499045 time+0.41236691236691236 system+0.4374829374829375 paper+0.4404859404859405 base+0.4651924651924652 one+0.4656019656019656 has+0.4737919737919738 two+0.4799344799344799 also+0.4825279825279825 can+0.4873054873054873 our+0.5140595140595141 show+0.5423150423150424 have+0.5567840567840567 result+0.6796341796341796
CLASS1:also+0.11181130716600649 it+0.14277997839395032 two+0.16456607850198054 one+0.16996759092545913 find+0.19247389268995319 observ+0.19499459848757653 has+0.19643500180050413 have+0.204537270435722 than+0.20813827871804105 between+0.21353979114151964 more+0.22488296723082463 system+0.2344256391789701 provid+0.24972992437882607 both+0.27061577241627655 present+0.27673748649621893 studi+0.27781778898091464 first+0.2821389989196975 differ+0.3075261073100468 larg+0.32859200576161324 paper+0.36820309686712277 data+0.401512423478574 effect+0.41681670867842996 propos+0.46543032048973715 method+0.47011163125675187 high+0.49243788260713 time+0.5543752250630176 base+0.5725603168887289 our+0.5736406193734246 model+0.6877925819229385 can+0.7011163125675189 result+0.7220021606049694 show+0.7904213179690314
CLASS10:result+0.04699886749716874 time+0.07304643261608154 high+0.10815402038505097 observ+0.14080785201963006 data+0.18384295960739902 provid+0.185919214798037 than+0.1896942242355606 present+0.19309173272933183 larg+0.2164967912419781 first+0.2667044167610419 method+0.26727066817667045 find+0.2734994337485844 more+0.2793506983767459 it+0.282559456398641 system+0.28746696866742166 paper+0.32521706304265763 our+0.3271045677614194 propos+0.33673084182710455 effect+0.3491883729709324 both+0.3616459041147603 base+0.3956209890524726 has+0.4182710456776142 studi+0.4282748206870517 also+0.4297848244620612 differ+0.47432993582483957 one+0.4805587013967535 show+0.5079275198187996 have+0.5181200453001132 between+0.5341638354095886 model+0.599848999622499 two+0.6247640619101548 can+0.7212155530388826
CLASS2:find+0.12336914811972371 between+0.1427475057559478 observ+0.14639293937068304 show+0.1508058326937836 effect+0.15195702225633154 high+0.16634689178818113 also+0.1958940905602456 studi+0.238296239447429 differ+0.24328472755180353 than+0.24597083653108212 larg+0.2538372985418266 both+0.261703760552571 provid+0.3018035303146585 more+0.30717574827321564 can+0.3455487336914812 present+0.37490406753645433 method+0.3797006907137375 data+0.3967766692248657 paper+0.3983115886415963 first+0.4230621642363776 propos+0.4307367613200307 one+0.43188795088257864 have+0.44359171143514964 our+0.4474290099769762 result+0.44858019953952416 two+0.4932847275518035 has+0.4944359171143515 system+0.5028779739063699 time+0.5153491941673062 base+0.5364543361473523 model+0.6855333844973139 it+0.7118188795088258
CLASS3:method+0.0760693015701137 propos+0.08852192744991878 base+0.13075257173795343 two+0.13752030319436925 paper+0.13752030319436925 both+0.15240931239848401 differ+0.15998917162966975 result+0.17379534380075798 system+0.17920952896589062 high+0.2081754195993503 between+0.20952896589063347 present+0.21277747698971305 data+0.22523010286951814 first+0.2265836491608013 effect+0.2390362750406064 provid+0.24011911207363293 larg+0.26150514347590686 more+0.29047103410936653 one+0.33216025988088793 studi+0.3456957227937195 have+0.37384948565240933 find+0.38088792636708174 our+0.40092041147807256 has+0.42122360584732 than+0.43773687060097455 it+0.481591770438549 model+0.4818624796968056 observ+0.5465619924201408 also+0.6689225771521387 can+0.6800216567406605 show+0.7374120194910666 time+0.8015701136978884
CLASS4:propos+0.08131911145904687 time+0.09032194931010862 paper+0.12065759859086016 base+0.12075545552402388 method+0.13807613269400137 system+0.1723260593013015 it+0.18044818475388982 has+0.19649672179273903 first+0.23563949505822487 data+0.2529601722282024 provid+0.2612780115471181 more+0.28681867110284764 one+0.2933750856248165 present+0.29836578921616597 both+0.3040414913396614 high+0.30707505626773657 larg+0.3259614443683335 effect+0.346707114199041 have+0.34739211273118703 than+0.3621685096389079 differ+0.3747920540170271 find+0.43252764458361875 two+0.4642332909286623 can+0.4683432821215383 also+0.4992660730012721 model+0.5081710539191702 studi+0.5217731676289266 between+0.5262745865544574 observ+0.5402681279968686 our+0.5981015754966239 show+0.7039827771797632 result+0.7250220178099618
CLASS5:observ+0.05101569713758079 find+0.10872576177285319 model+0.12511542012927054 than+0.13504155124653738 high+0.16412742382271467 larg+0.16435826408125578 more+0.16920590951061865 data+0.19759926131117267 effect+0.20175438596491227 have+0.23153277931671284 present+0.23361034164358263 both+0.23753462603878117 time+0.2610803324099723 system+0.2786241920590951 between+0.2839335180055402 differ+0.2869344413665743 studi+0.32409972299168976 two+0.32825484764542934 first+0.33564173591874424 method+0.33748845798707294 propos+0.3702677746999077 one+0.37303785780240073 base+0.38134810710988 has+0.4005078485687904 provid+0.42359187442289936 paper+0.4372114496768236 our+0.48984302862419205 also+0.5840258541089566 show+0.646814404432133 can+0.6904432132963989 result+0.7543859649122807 it+0.8331024930747922
CLASS6:propos+0.04942528735632184 paper+0.07011494252873564 method+0.0735632183908046 base+0.0896551724137931 provid+0.09655172413793103 can+0.10114942528735632 have+0.12298850574712644 our+0.12758620689655173 data+0.1310344827586207 model+0.16091954022988506 system+0.17011494252873563 more+0.1850574712643678 also+0.20114942528735633 has+0.21149425287356322 high+0.23218390804597702 larg+0.23333333333333334 effect+0.26436781609195403 show+0.2850574712643678 than+0.28735632183908044 result+0.31494252873563217 present+0.3218390804597701 find+0.3528735632183908 differ+0.37701149425287356 first+0.3781609195402299 one+0.39770114942528734 both+0.4160919540229885 studi+0.48735632183908045 observ+0.5632183908045977 it+0.6068965517241379 between+0.6413793103448275 two+0.7758620689655172 time+0.832183908045977
CLASS7:our+0.013157894736842105 propos+0.02631578947368421 data+0.02631578947368421 result+0.02631578947368421 time+0.039473684210526314 method+0.039473684210526314 more+0.05263157894736842 can+0.05263157894736842 paper+0.05263157894736842 first+0.06578947368421052 differ+0.09210526315789473 than+0.10526315789473684 base+0.10526315789473684 find+0.11842105263157894 one+0.11842105263157894 present+0.13157894736842105 studi+0.13157894736842105 model+0.13157894736842105 two+0.13157894736842105 have+0.18421052631578946 both+0.21052631578947367 also+0.21052631578947367 provid+0.25 between+0.2631578947368421 has+0.32894736842105265 show+0.3815789473684211 effect+0.40789473684210525 larg+0.4473684210526316 observ+0.5131578947368421 it+0.6973684210526315 high+0.7763157894736842 system+0.9868421052631579
CLASS8:it+0.06040268456375839 high+0.10116828237633607 than+0.10265970668655232 larg+0.13397961720109372 has+0.13621675366641808 have+0.1372110365398956 more+0.15262242107879692 observ+0.16380810340541885 show+0.18419090231170768 find+0.2182450907283122 data+0.22073079791200598 first+0.26671638081034055 paper+0.28511061396967435 present+0.307979120059657 method+0.32065622669649513 one+0.32910763112105396 studi+0.3315933383047477 propos+0.337061894108874 our+0.3407904548844146 differ+0.35520755654983843 effect+0.3584389758886403 both+0.36763609246830725 base+0.409147402435993 also+0.4220730797912006 provid+0.4332587621178225 two+0.5297042008451405 time+0.5458612975391499 between+0.5563012677106637 model+0.5906040268456376 result+0.600795426298782 can+0.6631866766094954 system+0.8319661943823018
CLASS9:show+0.05428919436227597 it+0.13850704715503742 paper+0.17583086827910213 system+0.1911432051505133 propos+0.1969723333913346 two+0.20584652862362973 first+0.21759178701931442 one+0.22385592483034628 both+0.2729250043500957 method+0.2872803201670437 effect+0.3144249173481817 more+0.3352183748042457 differ+0.33878545327997217 has+0.3480076561684357 provid+0.35931790499390986 than+0.3692361231947103 result+0.38150339307464765 larg+0.38254741604315295 also+0.3926396380720376 base+0.39707673568818513 between+0.40029580650774316 can+0.40247085435879587 find+0.407342961545154 studi+0.4143031146685227 present+0.42082825822168085 data+0.44988689751174527 time+0.46841830520271444 our+0.5054811205846529 have+0.5298416565164433 observ+0.540716895771707 model+0.5914390116582565 high+0.5990081781799199
