CLASS0:it+0.0060931026078479165 model+0.0160857908847185 observ+0.06361199122593224 between+0.11333170850597124 effect+0.11357543261028516 find+0.12113087984401658 data+0.2064343163538874 differ+0.24494272483548624 larg+0.2795515476480624 present+0.29612478674140874 than+0.31001706068730195 studi+0.3102607847916159 both+0.32000974896417256 high+0.32585912746770657 more+0.33438947111869366 method+0.33804533268340237 provid+0.3395076773092859 propos+0.37972215452108216 time+0.403607116743846 first+0.4077504265171826 can+0.4462588349987814 paper+0.45259566171094323 base+0.45771386790153545 our+0.46039483304898854 also+0.46210090177918595 show+0.47672434803802094 has+0.4923226907141116 one+0.5003655861564709 system+0.5288813063611991 two+0.5517913721667073 have+0.5985864001949793 result+0.6356324640506946
CLASS1:it+0.14154887517419867 find+0.1552856858451125 one+0.16384630698785585 also+0.1640453912004778 two+0.1728050965558431 observ+0.17897670714712324 between+0.1951025283695003 has+0.2144136969938284 than+0.22854867608998605 have+0.2307386024288274 studi+0.2323312761298029 more+0.24686442365120445 provid+0.24785984471431416 system+0.25084610790364326 present+0.28508859247461676 both+0.2954409715309576 first+0.3117658769659566 differ+0.3129603822416882 larg+0.33286880350388215 effect+0.3450129404738204 paper+0.39000597252637864 data+0.428230141349791 method+0.4951224367907625 propos+0.5138363527772247 high+0.53593470037826 time+0.5369301214413696 our+0.5707744375870993 model+0.6117857853872188 base+0.6462273541708142 can+0.6655385227951424 result+0.689627712522397 show+0.8952817041608601
CLASS10:result+0.026740237691001697 time+0.07555178268251274 observ+0.08870967741935484 high+0.12181663837011884 present+0.1264855687606112 than+0.15619694397283532 our+0.1566213921901528 provid+0.16808149405772496 data+0.17062818336162988 find+0.17869269949066213 larg+0.18293718166383702 first+0.2194397283531409 it+0.2533955857385399 more+0.2720713073005093 system+0.28183361629881154 method+0.28480475382003395 effect+0.3132427843803056 paper+0.3293718166383701 studi+0.3442275042444822 both+0.3463497453310696 propos+0.37563667232597625 base+0.4227504244482173 also+0.4388794567062818 model+0.44524617996604415 has+0.4893887945670628 show+0.5127334465195246 one+0.5144312393887945 differ+0.516553480475382 have+0.5696095076400679 between+0.6269100169779287 two+0.6693548387096774 can+0.7686757215619694
CLASS2:find+0.11590535239782361 between+0.13134252815386563 observ+0.14121219789953182 high+0.16689864608376564 show+0.18233582183980768 effect+0.2011894217385803 also+0.22763507528786536 than+0.24193344299633052 larg+0.24598253827660382 studi+0.24750094900670633 both+0.2683790965456156 differ+0.29697583196254584 provid+0.2977350373275971 more+0.3100088573959256 present+0.3598633430342908 data+0.3830191066683538 method+0.3999746931544983 first+0.4065544729849424 paper+0.41275465013286095 propos+0.43553081108439834 can+0.4443882070099962 time+0.4514741237504745 result+0.4523598633430343 have+0.4565354928508161 our+0.4575477666708845 one+0.47589522965962294 system+0.48487915981272933 has+0.4914589396431735 base+0.5192964696950525 two+0.5263823864355308 it+0.6191319751992914 model+0.6731620903454384
CLASS3:method+0.08702368692070031 propos+0.09397528321318228 two+0.10865087538619979 base+0.13748712667353244 differ+0.14366632337796087 both+0.14727085478887744 paper+0.15885684860968075 between+0.164778578784758 system+0.16658084449021626 present+0.17147270854788876 first+0.20751802265705457 result+0.2139546858908342 high+0.21421215242018538 data+0.21472708547888775 provid+0.23223480947476827 effect+0.23249227600411945 larg+0.2870751802265705 more+0.30895983522142123 one+0.3434603501544799 studi+0.37899073120494337 find+0.38105046343975285 it+0.4111740473738414 model+0.43666323377960864 than+0.43692070030895985 have+0.4376930998970134 our+0.4474768280123584 observ+0.4572605561277034 has+0.4817198764160659 can+0.6570545829042225 also+0.6763645726055613 show+0.768280123583934 time+0.8035530381050463
CLASS4:propos+0.10273779283093423 time+0.10845328817386396 base+0.12891617273497036 paper+0.15643522438611346 method+0.15798758114592154 system+0.16130397967823878 it+0.20526390064916739 has+0.21083827265029637 data+0.2544453852667231 first+0.26841659610499574 high+0.2720152413209145 provid+0.2755433248659328 more+0.28958509737510585 larg+0.2939599209709286 both+0.3099774202653119 present+0.32112616426756985 effect+0.32648885125599775 than+0.3440587073101891 one+0.35076206604572396 have+0.3574654247812588 differ+0.3884419983065199 find+0.4062235393734124 also+0.4766440869319786 observ+0.4827123906294101 can+0.49435506632797066 two+0.4967541631385831 between+0.507126728760937 studi+0.5114309906858594 model+0.513830087496472 our+0.5792407564211121 result+0.6536127575500987 show+0.680567315834039
CLASS5:observ+0.04608853850818678 model+0.06822316555488174 than+0.09460278956943602 find+0.10400242571255307 high+0.12704669496664645 more+0.12704669496664645 larg+0.1564584596725288 effect+0.16949666464523955 data+0.171922377198302 have+0.18162522741055184 both+0.20891449363250456 present+0.21649484536082475 system+0.25318374772589447 between+0.2604608853850819 differ+0.26288659793814434 two+0.2713765918738629 time+0.2859308671922377 method+0.3177683444511825 first+0.3395997574287447 studi+0.34505761067313523 one+0.3544572468162523 propos+0.3547604608853851 base+0.38841722255912675 provid+0.4172225591267435 has+0.4366282595512432 paper+0.45936931473620374 our+0.484232868405094 also+0.6458459672528806 can+0.667070952092177 show+0.7031534263189813 result+0.7164948453608248 it+0.7647058823529411
CLASS6:propos+0.03684210526315789 method+0.05789473684210526 paper+0.06491228070175438 our+0.07017543859649122 provid+0.07894736842105263 model+0.09824561403508772 can+0.10350877192982456 base+0.11052631578947368 have+0.11578947368421053 data+0.12280701754385964 result+0.15964912280701754 system+0.17192982456140352 more+0.20701754385964913 show+0.21403508771929824 also+0.21754385964912282 effect+0.23333333333333334 larg+0.23684210526315788 has+0.24912280701754386 present+0.2754385964912281 than+0.2912280701754386 high+0.2982456140350877 differ+0.3105263157894737 first+0.34385964912280703 find+0.36666666666666664 one+0.37543859649122807 both+0.44035087719298244 studi+0.4421052631578947 it+0.5684210526315789 observ+0.5684210526315789 between+0.5947368421052631 two+0.7964912280701755 time+0.8842105263157894
CLASS7:our+0.021052631578947368 time+0.031578947368421054 propos+0.031578947368421054 result+0.031578947368421054 paper+0.05263157894736842 data+0.05263157894736842 method+0.05263157894736842 first+0.06315789473684211 more+0.07368421052631578 one+0.09473684210526316 can+0.10526315789473684 model+0.11578947368421053 find+0.12631578947368421 than+0.12631578947368421 differ+0.12631578947368421 provid+0.12631578947368421 base+0.14736842105263157 present+0.15789473684210525 studi+0.17894736842105263 two+0.17894736842105263 have+0.2 both+0.21052631578947367 has+0.23157894736842105 also+0.2736842105263158 between+0.3684210526315789 larg+0.37894736842105264 effect+0.43157894736842106 show+0.4421052631578947 observ+0.5894736842105263 it+0.7578947368421053 high+0.8631578947368421 system+0.8947368421052632
CLASS8:it+0.08668668668668669 than+0.10810810810810811 have+0.12372372372372373 high+0.12832832832832833 has+0.13393393393393394 more+0.14594594594594595 larg+0.14674674674674676 observ+0.16396396396396395 data+0.20980980980980982 find+0.23863863863863863 show+0.24424424424424424 first+0.24984984984984984 paper+0.27627627627627627 present+0.2798798798798799 one+0.3075075075075075 method+0.3215215215215215 propos+0.33813813813813814 studi+0.35155155155155154 both+0.3675675675675676 differ+0.372972972972973 our+0.375975975975976 effect+0.3927927927927928 base+0.42202202202202205 provid+0.426026026026026 also+0.44364364364364367 two+0.5271271271271272 model+0.5655655655655656 time+0.5681681681681682 between+0.6016016016016016 result+0.6104104104104104 can+0.6824824824824824 system+0.7507507507507507
CLASS9:show+0.0656466364646551 it+0.13676382596803147 two+0.15702196768954613 one+0.18488759723053252 paper+0.19779468330626548 system+0.2069407641678776 first+0.22275408154543122 propos+0.23155825284212325 both+0.25976579194802973 method+0.3073766988631507 effect+0.3188306692879733 more+0.3382340370971878 provid+0.34370459013590904 differ+0.34763655013248995 has+0.3543037866484315 than+0.37191212924181555 larg+0.38276775792802803 also+0.387041627489529 between+0.3884092657492093 find+0.39533293443884093 result+0.3985810753055817 present+0.40422258312676296 studi+0.4208906744166168 can+0.42978032310453884 base+0.4354218309257201 data+0.44320027352765196 time+0.4658517822036071 our+0.4974784169587144 observ+0.5039746986921959 have+0.5415847508334045 model+0.552098469954697 high+0.5946662107872468
