CLASS0:paper+0.05170157068062827 propos+0.0831151832460733 method+0.0968586387434555 have+0.10929319371727748 first+0.11910994764397906 more+0.1256544502617801 one+0.12696335078534032 base+0.14201570680628273 result+0.149869109947644 two+0.17866492146596857 provid+0.1793193717277487 system+0.18586387434554974 has+0.18782722513089006 than+0.19109947643979058 our+0.24083769633507854 both+0.24738219895287958 present+0.2513089005235602 larg+0.262434554973822 data+0.2650523560209424 time+0.3193717277486911 also+0.35013089005235604 differ+0.3606020942408377 studi+0.39070680628272253 high+0.3920157068062827 find+0.40706806282722513 show+0.41950261780104714 can+0.4895287958115183 effect+0.4967277486910995 between+0.6649214659685864 observ+0.7002617801047121 model+0.7892670157068062 it+0.8180628272251309
CLASS1:propos+0.03811659192825112 method+0.043348281016442454 show+0.07100149476831091 base+0.07473841554559044 paper+0.09342301943198804 data+0.09715994020926756 result+0.11958146487294469 model+0.13079222720478326 our+0.156203288490284 first+0.1898355754857997 high+0.19133034379671152 more+0.2040358744394619 time+0.2055306427503737 larg+0.23617339312406577 effect+0.2406576980568012 can+0.24588938714499253 than+0.24887892376681614 present+0.2526158445440957 both+0.2615844544095665 differ+0.2615844544095665 provid+0.2765321375186846 find+0.3086696562032885 one+0.4618834080717489 has+0.4618834080717489 have+0.47234678624813153 studi+0.476831091180867 observ+0.48878923766816146 between+0.5351270553064275 system+0.546337817638266 two+0.6195814648729447 it+0.6345291479820628 also+0.6786248131539612
CLASS10:propos+0.07620967741935483 paper+0.11129032258064517 differ+0.12016129032258065 one+0.1254032258064516 two+0.1282258064516129 method+0.13991935483870968 can+0.14274193548387096 have+0.15766129032258064 between+0.16169354838709676 more+0.17661290322580644 base+0.1810483870967742 has+0.1870967741935484 both+0.21935483870967742 effect+0.26653225806451614 first+0.2907258064516129 model+0.29354838709677417 data+0.31129032258064515 also+0.3125 show+0.33145161290322583 find+0.33991935483870966 than+0.34153225806451615 provid+0.34516129032258064 studi+0.36774193548387096 larg+0.4096774193548387 system+0.43629032258064515 present+0.43951612903225806 it+0.4762096774193548 our+0.5334677419354839 observ+0.6673387096774194 time+0.6862903225806452 high+0.6879032258064516 result+0.714516129032258
CLASS2:propos+0.022636484687083888 model+0.03462050599201065 paper+0.03595206391478029 method+0.04660452729693742 it+0.047936085219707054 one+0.09187749667110519 base+0.09320905459387484 first+0.0985352862849534 data+0.11717709720372836 has+0.118508655126498 more+0.13448735019973368 two+0.18641810918774968 present+0.19573901464713714 have+0.20639147802929428 our+0.20905459387483355 provid+0.2170439414114514 system+0.22503328894806923 time+0.237017310252996 than+0.2396804260985353 result+0.29161118508655126 differ+0.2996005326231691 both+0.3195739014647137 larg+0.3209054593874834 effect+0.40745672436750996 can+0.4540612516644474 find+0.48202396804260983 studi+0.4966711051930759 also+0.6138482023968043 observ+0.6591211717709721 high+0.681757656458056 between+0.7190412782956058 show+0.810918774966711
CLASS3:time+0.03502747252747253 than+0.07280219780219781 also+0.09409340659340659 find+0.11126373626373626 show+0.11675824175824176 more+0.12843406593406592 can+0.1771978021978022 has+0.1820054945054945 have+0.18681318681318682 our+0.19642857142857142 observ+0.20673076923076922 data+0.23351648351648352 one+0.260989010989011 paper+0.2657967032967033 larg+0.26854395604395603 provid+0.2706043956043956 model+0.2733516483516483 studi+0.2918956043956044 first+0.3159340659340659 effect+0.33722527472527475 propos+0.3516483516483517 it+0.35233516483516486 method+0.39217032967032966 present+0.40865384615384615 both+0.4581043956043956 differ+0.47046703296703296 base+0.4883241758241758 high+0.5322802197802198 result+0.5521978021978022 between+0.6037087912087912 system+0.6758241758241759 two+0.7122252747252747
CLASS4:result+0.035443037974683546 show+0.05063291139240506 our+0.053164556962025315 find+0.06329113924050633 observ+0.11139240506329114 than+0.11392405063291139 studi+0.12151898734177215 more+0.1341772151898734 between+0.14177215189873418 model+0.1518987341772152 present+0.1569620253164557 differ+0.17974683544303796 two+0.20506329113924052 first+0.21265822784810126 data+0.21518987341772153 provid+0.22025316455696203 one+0.22784810126582278 both+0.23291139240506328 effect+0.24050632911392406 also+0.2607594936708861 larg+0.2810126582278481 paper+0.31645569620253167 method+0.33164556962025316 have+0.3341772151898734 can+0.3721518987341772 propos+0.4050632911392405 high+0.5392405063291139 has+0.549367088607595 it+0.6253164556962025 base+0.7240506329113924 system+0.8075949367088607 time+0.9468354430379747
CLASS5:paper+0.0487565445026178 it+0.05301047120418848 propos+0.07395287958115183 method+0.09489528795811518 result+0.09947643979057591 provid+0.13448952879581152 first+0.16917539267015708 also+0.19208115183246074 base+0.20157068062827224 show+0.21138743455497383 one+0.22774869109947643 can+0.2280759162303665 has+0.22905759162303665 our+0.24967277486910994 data+0.2768324607329843 differ+0.3131544502617801 more+0.3298429319371728 both+0.3324607329842932 present+0.34424083769633507 studi+0.3517670157068063 effect+0.3923429319371728 larg+0.4132853403141361 time+0.4237565445026178 two+0.43651832460732987 system+0.44829842931937175 find+0.45909685863874344 than+0.4643324607329843 between+0.4793848167539267 have+0.5016361256544503 model+0.6518324607329843 high+0.6717931937172775 observ+0.7398560209424084
CLASS6:time+0.0760774394396342 two+0.10069072867010409 find+0.1632454518922074 first+0.16791516684502383 both+0.19282031326004476 than+0.20245160035022863 between+0.21208288744041248 one+0.2151960307422901 observ+0.21772545967506568 more+0.2481758925965561 studi+0.25741803677400527 differ+0.2612121801731686 present+0.2652008950286993 it+0.2826150403735772 data+0.32007004572429226 paper+0.33427376203910886 larg+0.33505204786457826 method+0.35168790738398675 effect+0.36229205175600737 has+0.3626811946687421 propos+0.3765930537990077 provid+0.37990076855725263 also+0.46152349450335634 base+0.469111781301683 have+0.47942406848915264 high+0.5043292149041736 our+0.5171709310244187 result+0.5194085027726433 model+0.546162078023154 show+0.5735966533709504 system+0.5948049421149917 can+0.6669909524272789
CLASS7:system+0.18600682593856654 high+0.1861774744027304 it+0.20867463026166097 effect+0.2443401592718999 larg+0.24607508532423208 observ+0.2546928327645051 find+0.2965301478953356 propos+0.29937428896473267 than+0.30833333333333335 both+0.30870307167235495 paper+0.3145051194539249 more+0.31487485779294655 provid+0.3159556313993174 method+0.3186575654152446 present+0.31976678043230944 data+0.32727531285551764 has+0.34911831626848694 first+0.3492320819112628 between+0.3687997724687144 differ+0.37016496018202505 base+0.3870022753128555 one+0.3994027303754266 have+0.4003128555176337 studi+0.4206484641638225 also+0.4310011376564278 show+0.45546075085324234 two+0.4670932878270762 time+0.4839874857792947 model+0.5024744027303755 our+0.5471558589306029 can+0.5859499431171786 result+0.5908703071672355
CLASS8:system+0.047524752475247525 propos+0.09603960396039604 provid+0.09702970297029703 method+0.10693069306930693 result+0.12673267326732673 model+0.12772277227722773 paper+0.13960396039603962 between+0.1504950495049505 can+0.1613861386138614 time+0.1782178217821782 effect+0.1792079207920792 base+0.1910891089108911 both+0.20297029702970298 differ+0.2188118811881188 two+0.2207920792079208 find+0.2396039603960396 data+0.2514851485148515 our+0.26534653465346536 first+0.26633663366336635 present+0.3089108910891089 more+0.3089108910891089 one+0.3188118811881188 also+0.32475247524752476 studi+0.35544554455445543 larg+0.43663366336633663 than+0.4376237623762376 observ+0.5762376237623762 has+0.5891089108910891 have+0.6405940594059406 show+0.6673267326732674 high+0.6841584158415842 it+0.7158415841584158
CLASS9:data+0.03875968992248062 have+0.05736434108527132 more+0.07906976744186046 find+0.08682170542635659 high+0.08682170542635659 method+0.09922480620155039 model+0.10387596899224806 than+0.10542635658914729 present+0.10852713178294573 base+0.11472868217054263 our+0.11782945736434108 observ+0.14573643410852713 larg+0.15038759689922482 propos+0.15968992248062017 provid+0.16899224806201552 differ+0.20465116279069767 paper+0.21085271317829457 studi+0.23410852713178296 effect+0.2372093023255814 time+0.2372093023255814 has+0.2682170542635659 first+0.2930232558139535 between+0.3054263565891473 both+0.31937984496124033 also+0.351937984496124 result+0.3550387596899225 can+0.4124031007751938 one+0.4806201550387597 system+0.6310077519379845 two+0.7348837209302326 it+0.7441860465116279 show+0.9534883720930233
