CLASS0:paper+0.0605875152998776 propos+0.094859241126071 have+0.10526315789473684 method+0.10771113831089352 first+0.1175030599755202 one+0.13219094247246022 more+0.1438188494492044 two+0.14443084455324356 base+0.14687882496940025 result+0.15177478580171358 system+0.17319461444308445 provid+0.19216646266829865 has+0.21358629130966952 present+0.2160342717258262 than+0.21909424724602203 both+0.23561811505507957 our+0.23929008567931456 data+0.24908200734394126 larg+0.2668298653610771 time+0.3323133414932681 also+0.3525091799265606 studi+0.35924112607099146 high+0.3714810281517748 differ+0.3763769889840881 find+0.41921664626682986 show+0.46572827417380663 effect+0.49020807833537333 can+0.5789473684210527 between+0.6701346389228886 observ+0.6799265605875153 model+0.7607099143206855 it+0.8108935128518971
CLASS1:propos+0.03290529695024077 method+0.038523274478330656 show+0.06019261637239166 base+0.06982343499197431 data+0.0826645264847512 paper+0.09550561797752809 result+0.14125200642054575 model+0.14847512038523275 our+0.15890850722311398 high+0.17495987158908508 more+0.1797752808988764 first+0.1797752808988764 time+0.21990369181380418 than+0.22070626003210272 larg+0.22873194221508827 both+0.24077046548956663 can+0.2576243980738363 present+0.2592295345104334 effect+0.26324237560192615 differ+0.2712680577849117 provid+0.2913322632423756 find+0.3274478330658106 have+0.42536115569823435 has+0.42857142857142855 one+0.4622792937399679 observ+0.47913322632423755 studi+0.5224719101123596 system+0.5513643659711075 between+0.5529695024077047 two+0.5930979133226324 it+0.6500802568218299 also+0.7038523274478331
CLASS10:propos+0.0690271816881259 paper+0.11444921316165951 differ+0.11659513590844063 can+0.12660944206008584 one+0.12732474964234622 two+0.13376251788268956 method+0.14914163090128754 between+0.16022889842632332 have+0.16917024320457796 more+0.17203147353361944 has+0.17310443490701002 base+0.1888412017167382 both+0.23283261802575106 effect+0.27360515021459225 show+0.30793991416309013 first+0.3104434907010014 data+0.3143776824034335 than+0.3236766809728183 provid+0.32439198855507867 also+0.33905579399141633 system+0.3601573676680973 model+0.3834048640915594 find+0.3844778254649499 larg+0.4216738197424893 studi+0.4220314735336195 present+0.44635193133047213 it+0.4874821173104435 our+0.59620886981402 time+0.6097997138769671 observ+0.6806151645207439 result+0.703862660944206 high+0.7045779685264664
CLASS2:propos+0.028985507246376812 it+0.03162055335968379 model+0.04479578392621871 paper+0.0461133069828722 method+0.048748353096179184 one+0.08168642951251646 first+0.10013175230566534 base+0.10144927536231885 has+0.12121212121212122 more+0.1370223978919631 data+0.13965744400527008 two+0.17786561264822134 our+0.20816864295125165 have+0.2160737812911726 present+0.22002635046113306 provid+0.22266139657444006 system+0.24769433465085638 than+0.2608695652173913 time+0.26877470355731226 result+0.2859025032938076 differ+0.2872200263504611 both+0.30566534914361 larg+0.308300395256917 effect+0.3583662714097497 can+0.4453227931488801 find+0.47035573122529645 studi+0.4756258234519104 also+0.6389986824769434 observ+0.6548089591567853 high+0.7009222661396575 between+0.7246376811594203 show+0.8511198945981555
CLASS3:time+0.0328125 than+0.06484375 show+0.09921875 find+0.10234375 also+0.10625 more+0.13515625 have+0.1578125 our+0.17890625 has+0.18203125 can+0.18984375 observ+0.1921875 data+0.23984375 larg+0.24375 studi+0.25234375 paper+0.25703125 one+0.2640625 model+0.27578125 provid+0.2859375 effect+0.309375 first+0.32421875 propos+0.35859375 method+0.3859375 it+0.403125 present+0.42734375 both+0.45390625 differ+0.4625 base+0.5 result+0.51796875 high+0.5390625 between+0.6109375 system+0.66640625 two+0.71015625
CLASS4:result+0.035623409669211195 show+0.058524173027989825 our+0.058524173027989825 find+0.06615776081424936 studi+0.11959287531806616 than+0.11959287531806616 observ+0.1297709923664122 more+0.13486005089058525 model+0.13994910941475827 between+0.1450381679389313 differ+0.15776081424936386 present+0.178117048346056 two+0.19338422391857507 first+0.20610687022900764 one+0.21374045801526717 both+0.22391857506361323 data+0.23155216284987276 effect+0.23918575063613232 provid+0.24173027989821882 larg+0.24681933842239187 also+0.2697201017811705 paper+0.29770992366412213 method+0.3231552162849873 have+0.33587786259541985 can+0.3842239185750636 propos+0.4122137404580153 has+0.5419847328244275 high+0.5928753180661578 it+0.6208651399491094 base+0.72264631043257 system+0.8244274809160306 time+0.9465648854961832
CLASS5:paper+0.05260416666666667 it+0.06380208333333333 propos+0.07838541666666667 method+0.11510416666666666 result+0.1203125 provid+0.14635416666666667 first+0.16848958333333333 also+0.18020833333333333 base+0.20234375 show+0.20885416666666667 one+0.23359375 has+0.23880208333333333 can+0.2604166666666667 our+0.27421875 data+0.29375 both+0.3302083333333333 more+0.3328125 differ+0.33567708333333335 present+0.34869791666666666 studi+0.35078125 time+0.37421875 effect+0.39348958333333334 larg+0.41041666666666665 system+0.43333333333333335 find+0.45260416666666664 two+0.4546875 than+0.45546875 between+0.5044270833333333 have+0.52109375 model+0.6265625 high+0.66640625 observ+0.7122395833333334
CLASS6:time+0.07076275433497044 two+0.1010323744612609 find+0.15295178911496443 first+0.17209582038688984 than+0.18211887340884034 both+0.19494838127693695 one+0.20577327854064348 observ+0.20898065550766765 between+0.20918111656810665 more+0.22972837526310513 present+0.25458554675754236 studi+0.2641074471283953 differ+0.27072266212288265 it+0.28816277438107646 data+0.31231833216397714 larg+0.3249473789716348 effect+0.3491029367545354 paper+0.349604089405633 method+0.3529116969028766 has+0.36123083091109554 propos+0.3796732484714844 provid+0.38257993384785005 also+0.44652701212789414 have+0.47088303097123385 base+0.4721860278640874 high+0.4777989375563797 our+0.5097724766964017 model+0.5306204269820587 result+0.556880825899569 show+0.595770271624737 system+0.6012829507868097 can+0.670241555577829
CLASS7:high+0.18350533344896366 system+0.18969155609516375 it+0.2048969444685341 effect+0.2464082328794843 observ+0.24678403145144973 larg+0.2476223513427572 find+0.2899141444800971 propos+0.3050617176885497 both+0.3079235683519787 than+0.310958864510161 paper+0.3170583644089845 provid+0.31717399473882 more+0.3194576937530714 present+0.3198623999074957 method+0.32220391408666493 data+0.3286792125574538 first+0.34981065533489436 has+0.35406006995634953 between+0.36270343711155434 differ+0.3670684820628451 base+0.3919579105599399 have+0.40328968288382044 one+0.405775734975284 studi+0.41661607839736364 also+0.43760298326250974 show+0.4542826583412829 two+0.4698060301217009 time+0.48790217674095915 model+0.49848235192090884 our+0.5471627207816611 can+0.586563755673113 result+0.5880958575434336
CLASS8:system+0.07547169811320754 propos+0.09655937846836848 result+0.10543840177580466 method+0.10654827968923418 provid+0.11098779134295228 model+0.11542730299667037 paper+0.13540510543840178 between+0.14872364039955605 can+0.15538290788013318 effect+0.16981132075471697 time+0.17980022197558268 base+0.1864594894561598 two+0.20199778024417314 find+0.21087680355160932 differ+0.22086570477247502 both+0.22641509433962265 data+0.23085460599334073 our+0.23085460599334073 first+0.25527192008879024 present+0.31409544950055496 more+0.3218645948945616 one+0.32408435072142067 studi+0.33962264150943394 also+0.35960044395116536 larg+0.3851276359600444 than+0.4439511653718091 observ+0.5316315205327414 has+0.6226415094339622 have+0.6670366259711432 high+0.6670366259711432 show+0.6670366259711432 it+0.755826859045505
CLASS9:data+0.039764359351988215 have+0.0662739322533137 more+0.08247422680412371 than+0.09572901325478646 high+0.09720176730486009 find+0.09867452135493372 method+0.09867452135493372 model+0.10603829160530191 base+0.10898379970544919 our+0.12371134020618557 present+0.12371134020618557 larg+0.14580265095729014 observ+0.15905743740795286 provid+0.1634756995581738 propos+0.17378497790868924 paper+0.20618556701030927 differ+0.22385861561119294 effect+0.22827687776141384 studi+0.24300441826215022 time+0.2533136966126657 has+0.25920471281296026 first+0.3004418262150221 also+0.3269513991163476 both+0.33578792341678937 result+0.3387334315169367 between+0.35787923416789397 can+0.4270986745213549 one+0.49189985272459497 system+0.6082474226804123 two+0.7511045655375552 it+0.7540500736377025 show+0.9528718703976435
