CLASS0:model+0.013028280902446775 it+0.01588814744200826 observ+0.07753415951700032 find+0.10994598029869718 effect+0.11058150619637751 between+0.12106768350810296 differ+0.20813473149030823 data+0.21544327931363202 larg+0.2640610104861773 than+0.2640610104861773 more+0.299968223705116 can+0.30568795678423893 method+0.31522084524944394 studi+0.34159517000317763 provid+0.3419129329520178 propos+0.3444550365427391 both+0.3520813473149031 present+0.3619319987289482 time+0.3867175087384811 high+0.38989513822688276 show+0.39434381951064507 first+0.41754051477597715 paper+0.4261201143946616 our+0.43183984747378457 has+0.45090562440419446 base+0.45662535748331745 also+0.4680648236415634 one+0.49698125198601845 system+0.5792818557356212 result+0.6097870988242771 have+0.619319987289482 two+0.6374324753733714
CLASS1:find+0.1358904109589041 it+0.1521461187214612 also+0.16383561643835617 observ+0.17515981735159816 one+0.17735159817351598 between+0.1872146118721461 studi+0.18904109589041096 two+0.19123287671232878 system+0.25132420091324204 provid+0.25771689497716893 has+0.26118721461187216 than+0.2699543378995434 more+0.2752511415525114 have+0.28420091324200913 present+0.2863926940639269 effect+0.2971689497716895 differ+0.31251141552511413 both+0.3225570776255708 first+0.32511415525114157 larg+0.3333333333333333 paper+0.4012785388127854 data+0.4409132420091324 time+0.5002739726027398 method+0.5052054794520547 propos+0.5278538812785388 high+0.5647488584474886 model+0.5667579908675799 our+0.5740639269406392 can+0.6527853881278539 base+0.6564383561643835 result+0.66337899543379 show+0.9072146118721461
CLASS10:result+0.04951923076923077 observ+0.07932692307692307 our+0.09615384615384616 present+0.12163461538461538 high+0.12403846153846154 find+0.12403846153846154 larg+0.13846153846153847 time+0.14615384615384616 data+0.15240384615384617 than+0.18221153846153845 first+0.19903846153846153 provid+0.20721153846153847 studi+0.25 it+0.2514423076923077 method+0.26490384615384616 effect+0.2706730769230769 model+0.29375 more+0.29471153846153847 paper+0.325 both+0.3293269230769231 system+0.3903846153846154 propos+0.39663461538461536 base+0.41778846153846155 also+0.4235576923076923 one+0.5163461538461539 differ+0.5240384615384616 has+0.5365384615384615 show+0.5673076923076923 have+0.5677884615384615 two+0.6192307692307693 between+0.6471153846153846 can+0.7956730769230769
CLASS2:find+0.11695607763023494 between+0.13444841675178754 observ+0.14070480081716036 high+0.1511746680286006 show+0.15423901940755874 also+0.21999489274770173 than+0.22561287027579163 effect+0.22752808988764045 larg+0.25025536261491316 studi+0.2549795709908069 both+0.2752808988764045 provid+0.29468845760980594 more+0.30196629213483145 differ+0.30949948927477017 present+0.3343973442288049 data+0.3559754851889683 method+0.401046986721144 first+0.4046220633299285 paper+0.4080694586312564 time+0.4122829417773238 propos+0.44113891726251275 system+0.4496935648621042 our+0.45543922369765066 have+0.4574821246169561 result+0.45914198161389175 can+0.4680796731358529 one+0.48378447395301327 has+0.5048518896833504 base+0.5091930541368743 two+0.5162155260469867 model+0.6426200204290092 it+0.6460674157303371
CLASS3:method+0.09800984378343676 propos+0.10207575433340467 two+0.11127755189385834 both+0.14551679863043013 base+0.14637277979884442 differ+0.15043869034881233 between+0.16092445966188743 present+0.16263642199871603 paper+0.1718382195591697 system+0.1936657393537342 first+0.2067194521720522 data+0.21142734859833084 high+0.2311149154718596 provid+0.2368927883586561 effect+0.2441686282901776 result+0.2585063128611171 larg+0.2925315643055853 more+0.2985234324844853 one+0.32612882516584635 it+0.359940081318211 find+0.3802696340680505 model+0.4074470361652044 than+0.4209287395677295 studi+0.4241386689492831 observ+0.43676439118339394 our+0.4727156002567944 has+0.4814894072330409 have+0.48555531778300876 can+0.6563235608816606 also+0.660603466723732 time+0.7879306655253584 show+0.7890006419858763
CLASS4:time+0.10547110426572022 propos+0.11069443514364159 base+0.13031540882608986 system+0.14739168285006363 method+0.16868680104466618 paper+0.17612000267863123 it+0.2199156231165874 has+0.22379963838478537 high+0.24743855889640393 data+0.25426906850599346 provid+0.2738900421884417 first+0.27522935779816515 larg+0.29284135806602823 more+0.2943815710172102 both+0.31366771579722763 effect+0.3166142101386192 present+0.3269939061139758 than+0.3400522333087792 have+0.3616821804058126 one+0.37253063684457244 find+0.3968392151610527 differ+0.4005223330877921 observ+0.4583807674278444 also+0.47632759659813834 can+0.49119399986606843 two+0.5038505323779549 between+0.5110158708899752 studi+0.51443112569477 model+0.5157034755240072 our+0.5650572557423157 result+0.6460858501305833 show+0.6650371660081699
CLASS5:observ+0.04107142857142857 model+0.06205357142857143 than+0.08035714285714286 find+0.09419642857142857 more+0.11785714285714285 high+0.12366071428571429 have+0.13839285714285715 larg+0.1392857142857143 data+0.1419642857142857 effect+0.14776785714285715 both+0.20714285714285716 present+0.21026785714285715 two+0.225 differ+0.22589285714285715 between+0.22633928571428572 system+0.28035714285714286 method+0.2892857142857143 time+0.34375 one+0.3464285714285714 studi+0.346875 propos+0.346875 first+0.359375 base+0.4107142857142857 provid+0.42232142857142857 has+0.43660714285714286 our+0.45089285714285715 paper+0.4763392857142857 can+0.6366071428571428 result+0.703125 also+0.7120535714285714 show+0.7424107142857143 it+0.7928571428571428
CLASS6:paper+0.04313099041533546 propos+0.04472843450479233 method+0.052715654952076675 our+0.08146964856230032 provid+0.08626198083067092 result+0.09584664536741214 model+0.10383386581469649 can+0.11661341853035144 base+0.12460063897763578 have+0.134185303514377 data+0.14376996805111822 system+0.16293929712460065 show+0.1645367412140575 more+0.23322683706070288 effect+0.2364217252396166 larg+0.2380191693290735 also+0.26038338658146964 has+0.26517571884984026 differ+0.2827476038338658 present+0.3258785942492013 first+0.329073482428115 than+0.3450479233226837 find+0.3722044728434505 high+0.3722044728434505 one+0.38338658146964855 studi+0.41054313099041534 both+0.41533546325878595 observ+0.5686900958466453 it+0.5750798722044729 between+0.6118210862619808 two+0.768370607028754 time+0.8849840255591054
CLASS7:time+0.019417475728155338 propos+0.02912621359223301 our+0.038834951456310676 result+0.038834951456310676 method+0.038834951456310676 paper+0.04854368932038835 more+0.04854368932038835 one+0.07766990291262135 data+0.07766990291262135 first+0.0970873786407767 model+0.1262135922330097 provid+0.1262135922330097 base+0.1262135922330097 than+0.13592233009708737 find+0.1553398058252427 differ+0.1553398058252427 can+0.1650485436893204 present+0.1650485436893204 two+0.1650485436893204 have+0.17475728155339806 both+0.18446601941747573 studi+0.21359223300970873 has+0.27184466019417475 also+0.2815533980582524 larg+0.33980582524271846 effect+0.3786407766990291 between+0.4077669902912621 show+0.42718446601941745 observ+0.5922330097087378 it+0.8058252427184466 high+0.8737864077669902 system+0.8932038834951457
CLASS8:it+0.08600583090379009 than+0.1098153547133139 have+0.11046323291221251 has+0.12293488824101069 more+0.14820213799805637 high+0.14868804664723032 larg+0.18286362163913183 observ+0.18837058632977 data+0.24084872044055716 find+0.2581794622610949 show+0.2589893100097182 first+0.2606090055069647 present+0.2737285390346615 paper+0.2908973113054746 one+0.30142533203757693 both+0.32491091674765143 method+0.3394881762228701 propos+0.3529316488500162 studi+0.362325882734046 differ+0.36783284742468414 effect+0.38224813735017815 provid+0.4067055393586006 also+0.4114026563006155 our+0.43100097181729835 base+0.44509232264334303 two+0.5354713313896987 model+0.5641399416909622 time+0.5741820537738905 between+0.5793650793650794 result+0.6268221574344023 system+0.687884677680596 can+0.6945254292193068
CLASS9:show+0.05353675450762829 two+0.13231622746185853 it+0.13878871937124365 one+0.17337031900138697 paper+0.20351363846509476 system+0.21636615811373092 first+0.21932501155802125 propos+0.2319001386962552 both+0.25020804438280164 method+0.3109570041608877 effect+0.31576514100785946 differ+0.33804900601017107 more+0.34091539528432735 provid+0.3540453074433657 between+0.3580212667591308 has+0.36699029126213595 than+0.375959315765141 larg+0.3794729542302358 find+0.3893666204345816 result+0.40295885344429033 present+0.4082293111419325 studi+0.4096162736939436 also+0.4122052704576976 can+0.4343966712898752 data+0.44909847434119277 base+0.45011558021266757 time+0.45104022191400833 observ+0.4920018492834027 our+0.49773462783171524 have+0.5488673139158576 model+0.551918631530282 high+0.6044382801664355
