CLASS0:model+0.013983506633201864 it+0.017210469702402295 observ+0.07816421656507709 effect+0.10397992111868053 find+0.10541412692721405 between+0.1197561850125493 differ+0.2147723198278953 data+0.22660451774829687 than+0.24489064180709932 can+0.24883470778056652 larg+0.25600573682323413 more+0.28074578702043745 method+0.3094299031911079 propos+0.32377196127644314 provid+0.334887056292578 studi+0.34887056292577984 show+0.3617784152025816 both+0.36213696665471495 time+0.37396916457511653 present+0.38472570813911794 our+0.410182861240588 first+0.417712441735389 paper+0.42093940480458947 high+0.4245249193259233 has+0.44137683757619217 base+0.44173538902832554 also+0.47830763714593044 one+0.48583721764073146 system+0.5794191466475439 result+0.6066690570096809 have+0.6220867694514163 two+0.6547149515955539
CLASS1:find+0.13433101728131125 it+0.15357206484945662 also+0.16604311419918047 observ+0.1810083734188491 between+0.18457153037591306 one+0.18457153037591306 studi+0.1902725815072154 two+0.1988241582041689 system+0.23855335827543203 provid+0.2544094067343666 has+0.2677712453233565 than+0.28238018884731875 more+0.2855870301086763 present+0.28629966150008906 effect+0.2903972920007126 have+0.2973454480669874 differ+0.30910386602529843 both+0.3238909673971138 first+0.3278104400498842 larg+0.34135043648672725 paper+0.4049527881703189 data+0.450026723677178 time+0.47817566363798325 method+0.5070372349902014 propos+0.534651701407447 model+0.5581685373240691 our+0.5704614288259398 high+0.5843577409584892 can+0.6445750935328701 result+0.65793693212186 base+0.6673792980580795 show+0.896490290397292
CLASS10:result+0.0628992628992629 observ+0.06977886977886978 our+0.08894348894348894 find+0.11203931203931204 high+0.12825552825552824 present+0.13415233415233416 data+0.142014742014742 larg+0.14398034398034398 time+0.16756756756756758 than+0.1877149877149877 first+0.20343980343980345 provid+0.21867321867321868 studi+0.2343980343980344 it+0.2457002457002457 effect+0.24815724815724816 model+0.2599508599508599 method+0.2624078624078624 more+0.30024570024570024 both+0.31891891891891894 paper+0.3208845208845209 propos+0.3911547911547912 base+0.41818181818181815 also+0.42653562653562654 system+0.4294840294840295 differ+0.5199017199017198 one+0.5272727272727272 has+0.5444717444717445 have+0.5646191646191646 show+0.571007371007371 two+0.6029484029484029 between+0.6574938574938575 can+0.8063882063882064
CLASS2:find+0.12097279679077347 observ+0.1380218127115457 between+0.13915005641218503 show+0.14742384355020685 high+0.15030713300739626 also+0.22238936943713175 than+0.2237683339601354 effect+0.23454932932180017 larg+0.24821361414065438 studi+0.2611257364924157 both+0.27491538172245206 provid+0.2897079102419456 more+0.30236931177134263 differ+0.311144540554093 present+0.3245581045505829 data+0.35602356775730226 method+0.3940077723454933 time+0.40554093017425097 first+0.4067945342860725 paper+0.4084242196314404 system+0.44214617023943836 propos+0.44214617023943836 our+0.4599473486273035 result+0.4638335213739501 have+0.46985082111069326 can+0.4716058668672433 one+0.4875266390873762 base+0.5026952488404162 two+0.5077096652877021 has+0.5143537670803561 it+0.6403409803184155 model+0.640842421963144
CLASS3:propos+0.10247349823321555 method+0.10738123282292894 two+0.11484098939929328 both+0.14448370632116214 base+0.15056929721240675 differ+0.15390655673341186 between+0.15665488810365136 present+0.16784452296819788 paper+0.17334118570867688 system+0.19748723989006675 first+0.20730270906949352 data+0.2094621122889674 high+0.24008637612877895 provid+0.24322732626619553 effect+0.2536317235963879 result+0.2872006281900275 larg+0.29642716921868867 more+0.30015704750687083 one+0.3270514330585002 it+0.3319591676482136 find+0.37553985080486846 model+0.3979191205339615 studi+0.4248135060855909 than+0.4265802905378877 observ+0.4418924224577935 our+0.4856694149980369 has+0.4878288182175108 have+0.5 can+0.6497840596780526 also+0.6597958382410679 show+0.779348252846486 time+0.7811150372987828
CLASS4:time+0.10573368286616926 propos+0.11023727902130806 base+0.13241917053169322 system+0.14660213752772736 method+0.16878402903811252 paper+0.17745513208308128 it+0.2215500436916045 has+0.22625529340592862 high+0.24668952073670766 data+0.25226860254083483 provid+0.2718962156348726 first+0.27586206896551724 larg+0.29165826443503395 more+0.2962962962962963 both+0.31605834509645764 effect+0.31841096995361967 present+0.32661154802715603 than+0.34086173287625193 have+0.37050480607649394 one+0.3729918666397795 find+0.4019627613094038 differ+0.40646635746454257 observ+0.4586946292935404 also+0.47052497143241245 can+0.49082476305706796 two+0.5062848692612758 model+0.5149559723062446 between+0.517174161457283 studi+0.5217449754654836 our+0.5637561336290919 result+0.6408550110909458 show+0.663036902601331
CLASS5:observ+0.03978779840848806 model+0.06542882404951371 than+0.08709106984969053 find+0.08974358974358974 high+0.1198054818744474 more+0.1242263483642794 have+0.13262599469496023 larg+0.13351016799292661 data+0.14235190097259062 effect+0.14677276746242263 both+0.20866489832007074 present+0.21352785145888595 between+0.22369584438549955 differ+0.22590627763041557 two+0.22767462422634838 system+0.28779840848806365 method+0.2895667550839965 studi+0.34394341290893016 one+0.34571175950486294 propos+0.34880636604774534 time+0.35853227232537577 first+0.3625110521662246 base+0.41423519009725907 provid+0.4204244031830239 has+0.4230769230769231 our+0.44297082228116713 paper+0.47303271441202477 can+0.6308576480990274 result+0.7024756852343059 also+0.7276746242263483 show+0.7458001768346596 it+0.7829354553492485
CLASS6:paper+0.045662100456621 propos+0.0471841704718417 method+0.0532724505327245 our+0.0852359208523592 provid+0.0958904109589041 result+0.0974124809741248 can+0.1126331811263318 model+0.1156773211567732 base+0.1293759512937595 have+0.1476407914764079 data+0.1567732115677321 system+0.1582952815829528 show+0.1598173515981735 larg+0.2389649923896499 effect+0.243531202435312 more+0.2526636225266362 also+0.258751902587519 has+0.2648401826484018 differ+0.2922374429223744 first+0.3302891933028919 present+0.3485540334855403 than+0.3668188736681887 high+0.3713850837138508 find+0.3744292237442922 one+0.3744292237442922 studi+0.3942161339421613 both+0.410958904109589 it+0.5707762557077626 observ+0.5814307458143074 between+0.6149162861491628 two+0.756468797564688 time+0.8904109589041096
CLASS7:time+0.02727272727272727 propos+0.02727272727272727 paper+0.045454545454545456 more+0.045454545454545456 result+0.045454545454545456 our+0.05454545454545454 method+0.06363636363636363 one+0.08181818181818182 first+0.09090909090909091 model+0.10909090909090909 provid+0.11818181818181818 data+0.11818181818181818 base+0.12727272727272726 find+0.14545454545454545 differ+0.14545454545454545 both+0.15454545454545454 than+0.16363636363636364 present+0.17272727272727273 can+0.18181818181818182 have+0.18181818181818182 two+0.18181818181818182 studi+0.21818181818181817 also+0.2909090909090909 has+0.3181818181818182 larg+0.34545454545454546 effect+0.35454545454545455 show+0.4090909090909091 between+0.44545454545454544 observ+0.6 it+0.8181818181818182 high+0.8727272727272727 system+0.8818181818181818
CLASS8:it+0.0812767843948574 than+0.1111275306635141 have+0.11157085857839515 has+0.12161962464903207 more+0.15398256243534802 high+0.16166691295995272 larg+0.19934978572484113 observ+0.20156642529924634 data+0.252696911482193 find+0.25550465494310626 show+0.25668686271612234 first+0.26880449238953746 present+0.28284320969410376 paper+0.29392640756612975 one+0.29584749519728093 both+0.32111718634550024 method+0.3419535983449091 propos+0.35185458844391904 studi+0.36086892271316684 differ+0.3647110979754692 effect+0.3726910004433279 also+0.39589182798876904 provid+0.41140830500960546 our+0.45042116151913697 base+0.45308112900842323 two+0.5349490172897887 between+0.5684941628491207 model+0.5693808186788828 time+0.5729274419979311 result+0.6237623762376238 system+0.6716417910447762 can+0.6852371804344614
CLASS9:show+0.04184733286276091 two+0.11888676010890391 it+0.14036502974689927 one+0.16517091862458405 paper+0.19804376323484923 first+0.20822829484723201 system+0.212564283553494 propos+0.23051326005848544 both+0.2514873449631945 effect+0.3129978824241202 method+0.31420792578400725 differ+0.33256025007562773 more+0.342543107794696 between+0.34818997680750224 provid+0.3592820409398003 has+0.3656347685792074 than+0.3798527780578804 larg+0.38065947363113845 result+0.3916507008167793 find+0.39366743974992435 studi+0.4017343954825048 present+0.41524654633457697 also+0.41978420893415347 can+0.43117878390642334 time+0.4400524352122618 base+0.4504386407179591 data+0.45245537965110416 our+0.48966421296763135 observ+0.4935968538872643 have+0.5482504789754966 model+0.5517797721085006 high+0.611979429262882
