CLASS0:paper+0.0724169741697417 propos+0.10931734317343174 have+0.11300738007380073 method+0.11346863468634687 first+0.1231549815498155 two+0.13653136531365315 one+0.15452029520295202 base+0.1688191881918819 result+0.17481549815498154 more+0.1752767527675277 system+0.1812730627306273 provid+0.19880073800738007 present+0.1992619926199262 both+0.20387453874538744 data+0.246309963099631 has+0.24723247232472326 than+0.261070110701107 our+0.27490774907749077 larg+0.2901291512915129 high+0.3191881918819188 also+0.3422509225092251 studi+0.34501845018450183 time+0.3593173431734317 differ+0.363929889298893 find+0.4160516605166052 effect+0.47878228782287824 show+0.5096863468634686 between+0.6697416974169742 observ+0.6706642066420664 can+0.6748154981549815 model+0.7357011070110702 it+0.7629151291512916
CLASS1:propos+0.03257575757575758 method+0.037121212121212124 show+0.055303030303030305 base+0.06136363636363636 data+0.07121212121212121 paper+0.0946969696969697 high+0.1393939393939394 model+0.15227272727272728 result+0.16363636363636364 more+0.1643939393939394 our+0.1712121212121212 first+0.18863636363636363 than+0.20606060606060606 larg+0.20984848484848484 both+0.23863636363636365 present+0.26590909090909093 time+0.2681818181818182 effect+0.271969696969697 provid+0.2818181818181818 can+0.28484848484848485 differ+0.29393939393939394 find+0.3462121212121212 have+0.4212121212121212 has+0.42348484848484846 one+0.4553030303030303 observ+0.4553030303030303 studi+0.531060606060606 system+0.5628787878787879 between+0.5696969696969697 two+0.578030303030303 it+0.6409090909090909 also+0.7174242424242424
CLASS10:propos+0.07062746286753561 paper+0.11579266444377084 differ+0.1215519854501364 one+0.12549257350712337 can+0.1260988178235829 two+0.15853288875416793 between+0.1606547438617763 method+0.1606547438617763 more+0.1715671415580479 have+0.1742952409821158 has+0.18945134889360413 base+0.2003637465898757 both+0.2297665959381631 effect+0.2843285844195211 show+0.30009093664746894 system+0.30251591391330707 provid+0.30463776902091544 first+0.3213094877235526 than+0.3279781752046075 data+0.34889360412246134 also+0.35616853591997577 find+0.40497120339496817 larg+0.41800545619884816 model+0.4383146408002425 present+0.4471051833889057 studi+0.448014549863595 it+0.47984237647772054 time+0.5541073052440133 our+0.6192785692634132 observ+0.689602909972719 high+0.6914216429220976 result+0.6980903304031525
CLASS2:propos+0.025609756097560974 it+0.03170731707317073 model+0.04390243902439024 paper+0.045121951219512194 method+0.05121951219512195 one+0.08292682926829269 first+0.10365853658536585 has+0.11585365853658537 base+0.12073170731707317 data+0.1475609756097561 more+0.15121951219512195 our+0.20365853658536584 two+0.20365853658536584 have+0.2073170731707317 provid+0.23658536585365852 present+0.25 system+0.2597560975609756 differ+0.2865853658536585 both+0.28780487804878047 result+0.28780487804878047 than+0.2914634146341463 time+0.2914634146341463 larg+0.3048780487804878 effect+0.3146341463414634 can+0.4268292682926829 find+0.4402439024390244 studi+0.4682926829268293 observ+0.6463414634146342 also+0.6560975609756098 between+0.7073170731707317 high+0.7170731707317073 show+0.8560975609756097
CLASS3:time+0.033717105263157895 than+0.06990131578947369 show+0.08141447368421052 find+0.09375 also+0.125 have+0.13157894736842105 more+0.13898026315789475 our+0.17023026315789475 observ+0.17351973684210525 has+0.20476973684210525 can+0.2138157894736842 larg+0.24259868421052633 studi+0.25 paper+0.2590460526315789 data+0.2598684210526316 effect+0.2722039473684211 one+0.2730263157894737 model+0.28618421052631576 provid+0.28618421052631576 first+0.34539473684210525 propos+0.37664473684210525 method+0.3840460526315789 both+0.4449013157894737 present+0.4449013157894737 differ+0.4588815789473684 result+0.4605263157894737 it+0.46792763157894735 high+0.5115131578947368 base+0.5189144736842105 between+0.6307565789473685 system+0.6529605263157895 two+0.7245065789473685
CLASS4:result+0.055674518201284794 show+0.059957173447537475 find+0.06209850107066381 our+0.06209850107066381 studi+0.10920770877944326 than+0.12419700214132762 observ+0.13704496788008566 model+0.14132762312633834 differ+0.14346895074946467 more+0.14346895074946467 between+0.15417558886509636 present+0.1905781584582441 two+0.19914346895074947 one+0.20770877944325483 first+0.20985010706638116 effect+0.21841541755888652 both+0.22483940042826553 larg+0.25267665952890794 provid+0.2676659528907923 data+0.27194860813704497 paper+0.291220556745182 also+0.29764453961456105 method+0.3083511777301927 have+0.3169164882226981 can+0.3811563169164882 propos+0.4025695931477516 has+0.5524625267665952 high+0.5974304068522484 it+0.6059957173447538 base+0.7130620985010707 system+0.8051391862955032 time+0.9336188436830836
CLASS5:paper+0.05544887181949112 it+0.07057129140662506 propos+0.08089294287085934 method+0.12049927988478157 result+0.13922227556409025 provid+0.15218434949591936 first+0.17210753720595295 also+0.17498799807969276 show+0.1941910705712914 base+0.20067210753720596 one+0.23955832933269322 has+0.26908305328852616 can+0.2818050888142103 our+0.29092654824771963 data+0.3103696591454633 both+0.3170907345175228 more+0.3355736917906865 time+0.34661545847335573 differ+0.3506961113778205 present+0.3564570331253 studi+0.3626980316850696 effect+0.3742198751800288 larg+0.414306289006241 system+0.42630820931349017 find+0.4498319731156985 than+0.45799327892462793 two+0.46399423907825255 between+0.5213634181469035 have+0.5501680268843014 model+0.6046567450792126 high+0.6651464234277484 observ+0.7064330292846855
CLASS6:time+0.0747457301861447 two+0.1157167530224525 find+0.14939550949913644 than+0.17501439263097293 first+0.18173095375167914 both+0.1883515639992324 observ+0.19535597773939742 more+0.2148340049894454 between+0.21598541546728076 one+0.2196315486470927 present+0.23469583573210517 differ+0.2722126271349069 studi+0.2849740932642487 it+0.2922663596238726 larg+0.31299174822490883 data+0.3204759163308386 effect+0.32805603530992133 paper+0.3572251007484168 method+0.3615428900402994 provid+0.37488006140855884 propos+0.38044521205142967 has+0.3893686432546536 also+0.4529840721550566 high+0.45643830358856263 have+0.4592208789099981 base+0.46113989637305697 model+0.5134331222414124 our+0.5205334868547303 result+0.5758011897908271 show+0.597006332757628 system+0.5987334484743811 can+0.6899827288428325
CLASS7:high+0.1777265036148285 system+0.1821873557914167 it+0.18757114290109214 observ+0.2360867558837102 larg+0.2463313336409783 effect+0.2506075988309491 find+0.2871558221812029 than+0.31130595293031843 propos+0.31265959083217965 both+0.32001230579910783 paper+0.3237040455314567 data+0.32376557452699584 provid+0.3239193970158437 present+0.3262574988463313 method+0.3278264882325796 more+0.32954930010767575 has+0.3415474542378096 first+0.3523765574526996 between+0.35409936932779573 differ+0.3708660206122135 base+0.4025842178126442 studi+0.41024457775726814 one+0.4114751576680511 have+0.411844331641286 also+0.4359636978926319 show+0.4554068604830026 two+0.47552684202430395 time+0.4979233964005538 model+0.5018304876172897 our+0.5477926472850331 can+0.5794800799876942 result+0.592493462544224
CLASS8:system+0.08614668218859138 method+0.0989522700814901 propos+0.0989522700814901 model+0.10244470314318975 provid+0.11059371362048893 result+0.11059371362048893 paper+0.13969732246798602 between+0.15948777648428406 can+0.16647264260768335 effect+0.16996507566938301 base+0.16996507566938301 time+0.1781140861466822 two+0.1979045401629802 our+0.20372526193247964 find+0.21769499417927823 both+0.22467986030267753 differ+0.22467986030267753 data+0.23282887077997672 first+0.2479627473806752 present+0.320139697322468 more+0.32828870779976715 studi+0.3410942956926659 one+0.3480791618160652 larg+0.35157159487776485 also+0.4167636786961583 than+0.47613504074505236 observ+0.4935972060535506 high+0.6309662398137369 has+0.6542491268917345 show+0.6542491268917345 have+0.6903376018626309 it+0.770663562281723
CLASS9:data+0.04906542056074766 have+0.06658878504672897 find+0.09462616822429906 method+0.09579439252336448 more+0.0969626168224299 than+0.10747663551401869 high+0.11448598130841121 base+0.11682242990654206 model+0.11682242990654206 present+0.13434579439252337 larg+0.14953271028037382 provid+0.1588785046728972 observ+0.16004672897196262 our+0.16238317757009346 propos+0.17406542056074767 effect+0.21728971962616822 paper+0.22313084112149534 differ+0.24065420560747663 studi+0.27920560747663553 has+0.28738317757009346 time+0.3002336448598131 both+0.3014018691588785 also+0.3352803738317757 first+0.34813084112149534 result+0.37149532710280375 between+0.40420560747663553 can+0.4369158878504673 one+0.5105140186915887 system+0.6063084112149533 it+0.727803738317757 two+0.7920560747663551 show+0.9450934579439252
