CLASS0:model+0.02691292875989446 it+0.05857519788918206 observ+0.06649076517150396 effect+0.10131926121372031 can+0.10712401055408971 find+0.11081794195250659 between+0.12823218997361477 data+0.23007915567282322 than+0.23113456464379947 more+0.24010554089709762 larg+0.24221635883905013 show+0.24538258575197888 differ+0.24802110817941952 propos+0.3013192612137203 method+0.31240105540897095 our+0.33350923482849604 provid+0.34406332453825855 studi+0.37994722955145116 both+0.3841688654353562 time+0.39050131926121373 base+0.39947229551451185 paper+0.4137203166226913 has+0.43218997361477574 one+0.45065963060686015 present+0.45065963060686015 first+0.46121372031662267 result+0.5255936675461741 high+0.5356200527704486 also+0.5530343007915567 system+0.5604221635883905 have+0.6079155672823219 two+0.6759894459102902
CLASS1:find+0.12465706447187928 also+0.17678326474622771 it+0.17695473251028807 between+0.17729766803840877 studi+0.18175582990397804 observ+0.1894718792866941 one+0.1922153635116598 two+0.19890260631001372 system+0.2512002743484225 effect+0.26663237311385457 provid+0.2777777777777778 present+0.2836076817558299 differ+0.2935528120713306 than+0.30126886145404663 has+0.30349794238683125 more+0.3101851851851852 first+0.31635802469135804 both+0.3168724279835391 have+0.3271604938271605 larg+0.3640260631001372 paper+0.404320987654321 time+0.4367283950617284 data+0.49022633744855965 method+0.507201646090535 propos+0.5354938271604939 model+0.5449245541838135 our+0.5682441700960219 can+0.590877914951989 result+0.6241426611796982 high+0.6294581618655692 base+0.6649519890260631 show+0.8828875171467764
CLASS10:observ+0.06707317073170732 result+0.07970383275261324 find+0.10104529616724739 our+0.10670731707317073 data+0.1293554006968641 high+0.13066202090592335 larg+0.15026132404181183 present+0.16898954703832753 than+0.1990418118466899 time+0.203397212543554 first+0.20513937282229966 model+0.2068815331010453 effect+0.22430313588850173 studi+0.23301393728222997 method+0.25174216027874563 provid+0.2621951219512195 it+0.26480836236933797 more+0.2896341463414634 both+0.30923344947735193 paper+0.34668989547038326 propos+0.375 base+0.397212543554007 also+0.438588850174216 differ+0.5004355400696864 system+0.5017421602787456 has+0.5261324041811847 one+0.5270034843205574 have+0.5609756097560976 two+0.5705574912891986 show+0.5945121951219512 between+0.6450348432055749 can+0.8013937282229965
CLASS2:high+0.11678832116788321 show+0.13027341333663245 observ+0.13472720524557713 find+0.1357169367808982 between+0.14301620685389088 also+0.210441667697637 than+0.22800940244958556 effect+0.24953606334281825 studi+0.2675986638624273 larg+0.27019670914264504 both+0.2703204255845602 present+0.2893727576394903 provid+0.29729060992205864 differ+0.2984040578992948 more+0.30335271557590004 data+0.3561796362736608 method+0.3871087467524434 first+0.3967586292218236 time+0.400964988246938 paper+0.4138314982061116 system+0.42249164914017073 propos+0.43795620437956206 our+0.45898799950513425 result+0.46888531485834467 two+0.4746999876283558 one+0.4907831250773228 base+0.49684523073116416 can+0.505134232339478 have+0.5052579487813931 has+0.5541259433378696 it+0.6064579982679699 model+0.6123963874798961
CLASS3:propos+0.09651474530831099 method+0.10053619302949061 two+0.1156166219839142 base+0.13002680965147453 both+0.1523123324396783 between+0.16420911528150134 differ+0.16588471849865952 present+0.16806300268096513 paper+0.16906836461126004 first+0.1980563002680965 data+0.20794235924932977 system+0.22335790884718498 provid+0.2414544235924933 high+0.26943699731903487 effect+0.2717828418230563 it+0.27831769436997317 larg+0.3098190348525469 more+0.31082439678284185 one+0.3294235924932976 result+0.36695710455764075 model+0.3820375335120643 find+0.38957774798927614 than+0.42761394101876676 observ+0.44118632707774796 studi+0.45777479892761397 has+0.4718498659517426 our+0.498156836461126 have+0.522955764075067 can+0.6410857908847185 also+0.6435991957104558 show+0.7315683646112601 time+0.7843498659517426
CLASS4:time+0.09944244014430961 propos+0.12102328632338472 base+0.14326008527386028 system+0.14719580190226303 method+0.17855034437520498 paper+0.18438832404066907 it+0.2215808461790751 has+0.23050180387012134 data+0.24034109544112825 high+0.24545752705805182 provid+0.2559527714004592 larg+0.2810101672679567 first+0.288553624139062 more+0.2983273204329288 both+0.3109872089209577 effect+0.3180059035749426 present+0.33532305673991475 than+0.341489012791079 have+0.3691702197441784 one+0.37907510659232535 find+0.3981633322400787 differ+0.4121351262709085 observ+0.4472941948179731 also+0.4844867169563791 can+0.4875696949819613 two+0.5089537553296163 between+0.5100688750409971 model+0.5197769760577239 studi+0.5340111511971138 our+0.5635290259101344 show+0.6433584781895704 result+0.6439488356838308
CLASS5:observ+0.045478306325143755 find+0.07945635128071092 model+0.0836382645060115 have+0.09147935180345008 than+0.0967067433350758 more+0.1207527443805541 high+0.12127548353371667 larg+0.12702561421850497 data+0.13695765812859384 effect+0.1505488761108207 between+0.18243596445373758 differ+0.1949817041296393 both+0.21118661787767903 two+0.2268687924725562 present+0.23261892315734448 method+0.2885520125457397 system+0.29639309984317824 studi+0.31521170935703086 one+0.330893883951908 propos+0.3408259278619969 first+0.3831677992681652 provid+0.3925771040250915 time+0.40041819132253004 has+0.40825927861996864 base+0.4239414532148458 our+0.4370099320439101 paper+0.4532148457919498 can+0.5776267642446419 result+0.6722425509670674 also+0.7532671197072661 show+0.7626764244641924 it+0.8097229482488238
CLASS6:propos+0.04004576659038902 paper+0.06292906178489703 method+0.07322654462242563 can+0.09153318077803203 provid+0.09839816933638444 our+0.10411899313501144 result+0.12013729977116705 base+0.13272311212814644 system+0.16132723112128147 have+0.17162471395881007 data+0.18192219679633867 show+0.18306636155606407 model+0.18993135011441648 also+0.2482837528604119 effect+0.2585812356979405 has+0.2745995423340961 larg+0.2745995423340961 more+0.2757437070938215 differ+0.32723112128146453 first+0.34668192219679633 high+0.34782608695652173 one+0.35469107551487417 than+0.38329519450800914 studi+0.38443935926773454 find+0.39588100686498856 present+0.39702517162471396 both+0.41990846681922195 it+0.5034324942791762 between+0.5961098398169337 observ+0.61441647597254 two+0.7288329519450801 time+0.937070938215103
CLASS7:propos+0.03125 our+0.04375 paper+0.05 result+0.05625 method+0.0625 time+0.075 first+0.08125 one+0.0875 more+0.1 both+0.10625 provid+0.1125 base+0.11875 differ+0.125 model+0.13125 present+0.1625 data+0.1625 have+0.18125 than+0.20625 can+0.20625 find+0.20625 two+0.225 studi+0.23125 show+0.24375 effect+0.275 larg+0.29375 also+0.31875 has+0.3625 between+0.5625 observ+0.73125 system+0.76875 high+0.78125 it+0.8875
CLASS8:it+0.08428877409600605 than+0.11175507118558649 have+0.11301499307042963 has+0.11830666498677082 more+0.15257654025450423 high+0.20587123598336904 larg+0.20687917349124355 observ+0.21973037671664356 find+0.2532442988534711 show+0.2659695098903868 data+0.2734030490109613 one+0.2788207131157868 first+0.28713619755575154 present+0.29293183822603 paper+0.29784553357691823 both+0.32871361975557517 studi+0.3428247448658183 effect+0.3455965730124732 also+0.3600856746881693 method+0.3602116668766536 propos+0.36814917475116543 differ+0.3724329091596321 provid+0.40771072193524 our+0.4906135819579186 base+0.5105203477384402 two+0.5442862542522363 between+0.5455461761370795 model+0.5590273403049011 time+0.5698626685145521 system+0.6217714501700895 result+0.6322288018142875 can+0.6740582083910798
CLASS9:show+0.02875237492083597 two+0.08904369854338189 one+0.1492083597213426 it+0.15085497150094998 first+0.18353388220392652 paper+0.19531348955034833 system+0.20405319822672577 propos+0.22153261557948067 both+0.2553514882837239 effect+0.308043065231159 method+0.3175427485750475 differ+0.3215959468017733 between+0.3304623179227359 more+0.34882837238758707 has+0.35300823305889806 result+0.3722609246358455 larg+0.3745408486383787 than+0.3750474984167194 studi+0.37568081063964537 find+0.3837872070930969 provid+0.3882203926535782 time+0.4031665611146295 can+0.4258391386953768 also+0.4278657378087397 present+0.44661177960734644 base+0.4590246991766941 our+0.4727042431918936 data+0.4748575047498417 observ+0.4987967067764408 model+0.5598480050664978 have+0.5746675110829639 high+0.6353388220392654
