CLASS0:paper+0.08235294117647059 first+0.10932568149210904 method+0.1236728837876614 propos+0.12740315638450503 two+0.13974175035868006 have+0.15896700143472023 present+0.16642754662840745 both+0.1830703012912482 one+0.19368723098995697 system+0.19684361549497847 base+0.20516499282639886 provid+0.2065997130559541 more+0.2163558106169297 high+0.23902439024390243 has+0.2599713055954089 data+0.26657101865136296 result+0.2860832137733142 than+0.2961262553802009 larg+0.30215208034433283 differ+0.3136298421807748 also+0.31965566714490673 studi+0.32826398852223815 time+0.35954088952654234 our+0.3827833572453372 find+0.4109038737446198 effect+0.4444763271162123 show+0.6040172166427547 between+0.6347202295552368 it+0.6482065997130559 observ+0.6921090387374462 model+0.703012912482066 can+0.757819225251076
CLASS1:show+0.024079320113314446 propos+0.0339943342776204 method+0.04036827195467422 data+0.05453257790368272 base+0.06869688385269122 high+0.09631728045325778 paper+0.10977337110481586 more+0.1423512747875354 larg+0.16997167138810199 our+0.1763456090651558 model+0.17988668555240794 than+0.19830028328611898 first+0.20042492917847027 result+0.21813031161473087 both+0.24362606232294617 provid+0.26203966005665724 effect+0.28824362606232296 present+0.29461756373937675 differ+0.3123229461756374 can+0.3307365439093484 time+0.3314447592067989 have+0.35339943342776203 find+0.3604815864022663 has+0.3923512747875354 observ+0.4440509915014164 one+0.4468838526912181 system+0.5092067988668555 studi+0.5460339943342776 between+0.5934844192634561 two+0.5984419263456091 it+0.6246458923512748 also+0.7351274787535411
CLASS10:propos+0.07576726342710997 paper+0.10645780051150895 can+0.10805626598465473 one+0.11572890025575447 differ+0.13714833759590792 have+0.17519181585677748 between+0.17742966751918157 method+0.17870843989769822 more+0.18030690537084398 two+0.18126598465473145 has+0.20971867007672634 show+0.21994884910485935 base+0.22346547314578005 system+0.2311381074168798 both+0.23657289002557544 provid+0.2640664961636829 effect+0.2867647058823529 than+0.31425831202046034 first+0.3209718670076726 also+0.3641304347826087 data+0.39258312020460356 larg+0.40505115089514065 find+0.4322250639386189 present+0.4373401534526854 studi+0.45268542199488493 it+0.48561381074168797 time+0.520460358056266 model+0.5258951406649617 our+0.6176470588235294 high+0.6694373401534527 result+0.7071611253196931 observ+0.7480818414322251
CLASS2:propos+0.04041570438799076 method+0.05542725173210162 paper+0.05889145496535797 it+0.06581986143187067 model+0.07274826789838337 one+0.08545034642032333 has+0.11893764434180139 base+0.1258660508083141 first+0.14665127020785218 data+0.15704387990762125 have+0.15935334872979215 more+0.18013856812933027 our+0.197459584295612 two+0.2540415704387991 provid+0.26558891454965355 larg+0.27713625866050806 effect+0.27829099307159355 than+0.2909930715935335 result+0.29445727482678985 system+0.29907621247113164 both+0.30369515011547343 differ+0.3083140877598152 time+0.31524249422632794 can+0.3302540415704388 present+0.36374133949191684 find+0.40877598152424943 studi+0.4457274826789838 observ+0.6732101616628176 between+0.6789838337182448 also+0.7147806004618937 high+0.7806004618937644 show+0.8579676674364896
CLASS3:time+0.03529411764705882 than+0.07549019607843137 show+0.07745098039215687 find+0.0784313725490196 have+0.12058823529411765 more+0.1480392156862745 our+0.15 also+0.15196078431372548 studi+0.17352941176470588 can+0.17450980392156862 observ+0.18529411764705883 larg+0.19705882352941176 has+0.21764705882352942 effect+0.2235294117647059 one+0.2568627450980392 data+0.28921568627450983 paper+0.29705882352941176 provid+0.307843137254902 model+0.3196078431372549 first+0.3656862745098039 result+0.3735294117647059 method+0.3980392156862745 propos+0.40980392156862744 both+0.42058823529411765 differ+0.4294117647058823 high+0.453921568627451 present+0.4696078431372549 base+0.5833333333333334 system+0.5862745098039216 it+0.5970588235294118 between+0.6235294117647059 two+0.6872549019607843
CLASS4:show+0.045283018867924525 find+0.07169811320754717 our+0.07735849056603773 result+0.08490566037735849 studi+0.1018867924528302 differ+0.13584905660377358 model+0.14339622641509434 than+0.1490566037735849 more+0.15849056603773584 observ+0.1660377358490566 two+0.17547169811320754 between+0.19056603773584907 present+0.19245283018867926 first+0.19622641509433963 effect+0.2018867924528302 one+0.2037735849056604 both+0.21509433962264152 larg+0.27169811320754716 also+0.2792452830188679 data+0.28867924528301886 method+0.29056603773584905 paper+0.29245283018867924 provid+0.30943396226415093 have+0.35094339622641507 can+0.3754716981132076 propos+0.37924528301886795 has+0.5528301886792453 high+0.590566037735849 it+0.6150943396226415 base+0.6754716981132075 system+0.7811320754716982 time+0.9566037735849057
CLASS5:paper+0.06351251840942562 it+0.07547864506627393 propos+0.0938880706921944 method+0.14175257731958762 show+0.15795287187039764 first+0.1715758468335788 also+0.1802282768777614 provid+0.18170103092783504 result+0.195139911634757 base+0.20508100147275404 one+0.2544182621502209 has+0.2965758468335788 both+0.29878497790868924 our+0.30320324005891014 data+0.3230854197349043 time+0.3241899852724595 more+0.3387334315169367 can+0.34112665684830634 present+0.34204712812960236 effect+0.3486745213549337 differ+0.37628865979381443 studi+0.3959867452135493 system+0.3961708394698085 larg+0.39874815905743743 than+0.44366715758468334 find+0.45029455081001474 two+0.47146539027982326 between+0.5695876288659794 have+0.5771354933726067 model+0.5815537555228277 high+0.6084315169366715 observ+0.7028718703976435
CLASS6:time+0.034089308353289195 two+0.10339484434427385 find+0.13339907029159037 first+0.1539653472320045 than+0.1541062121425553 both+0.1634032962389069 observ+0.18213832934216087 present+0.20383152556698125 one+0.2042541202986336 more+0.2090435272573602 differ+0.22411607268629385 between+0.23383575151429778 studi+0.28116636145936047 larg+0.28975912100295814 effect+0.30159177348922384 data+0.30835328919566135 method+0.3573742780673334 paper+0.36188195520495847 it+0.377658825186646 propos+0.39343569516833354 provid+0.39498520918439217 has+0.4251303000422595 model+0.44682349626707984 have+0.4627412311593182 base+0.4683758275813495 also+0.4768277222143964 high+0.48091280462036906 our+0.49894351317086916 show+0.5121848147626427 result+0.5647274263980843 system+0.6451612903225806 can+0.7091139597126356
CLASS7:it+0.16524875995791372 observ+0.19197354576882608 high+0.20520066135577936 system+0.21602284683601383 larg+0.256876597023899 effect+0.26048399218397716 find+0.2634300315647076 than+0.29872238088080566 between+0.3091838268450323 more+0.31931459491958514 data+0.3228919284533293 both+0.323583345859011 propos+0.32848339095145046 present+0.33338343604389 provid+0.3344957162182474 has+0.33560799639260486 paper+0.34192093792274164 method+0.34366451225011274 first+0.3572523673530738 differ+0.3721929956410642 studi+0.40033067788967386 one+0.4041184428077559 have+0.41626333984668573 base+0.4188185780850744 also+0.4386893130918383 two+0.44872989628738913 time+0.47554486697730347 show+0.5003457087028408 model+0.5009469412295205 our+0.5596873590861265 can+0.5776040883811814 result+0.6061626333984669
CLASS8:method+0.08452535760728218 propos+0.08972691807542263 result+0.09232769830949285 base+0.11183355006501951 provid+0.12093628088426528 system+0.12743823146944083 model+0.13394018205461639 can+0.13654096228868662 paper+0.14044213263979194 two+0.15474642392717816 our+0.1599479843953186 between+0.16905071521456436 effect+0.1755526657997399 differ+0.17815344603381014 both+0.19245773732119636 time+0.20156046814044212 first+0.22886866059817945 find+0.23797139141742524 data+0.23927178153446033 present+0.3081924577373212 larg+0.34070221066319895 more+0.3459037711313394 one+0.37971391417425226 studi+0.3810143042912874 than+0.46293888166449937 observ+0.4967490247074122 also+0.52925877763329 high+0.5591677503250976 show+0.5721716514954487 has+0.6814044213263979 have+0.7269180754226268 it+0.8153446033810143
CLASS9:data+0.05036630036630037 have+0.08699633699633699 high+0.0924908424908425 method+0.10256410256410256 more+0.10531135531135531 base+0.10531135531135531 present+0.1163003663003663 find+0.11721611721611722 provid+0.12912087912087913 model+0.13736263736263737 than+0.14102564102564102 propos+0.1804029304029304 larg+0.1813186813186813 our+0.19688644688644688 effect+0.19963369963369965 observ+0.21153846153846154 paper+0.23717948717948717 differ+0.27197802197802196 studi+0.28296703296703296 both+0.2847985347985348 time+0.3232600732600733 has+0.32967032967032966 also+0.3498168498168498 first+0.36446886446886445 can+0.4084249084249084 between+0.43040293040293043 result+0.43131868131868134 one+0.5183150183150184 system+0.5796703296703297 it+0.7472527472527473 two+0.8360805860805861 show+0.8708791208791209
