CLASS0:paper+0.08390541571319603 first+0.1111111111111111 propos+0.12382405288583778 method+0.129163488431223 two+0.14009661835748793 present+0.16221713704551233 have+0.17543859649122806 both+0.18688024408848208 one+0.19272819730485635 system+0.1947622679888126 base+0.21256038647342995 provid+0.2135774218154081 more+0.22629036359013477 high+0.24535977625222477 has+0.25197050597508264 data+0.26646325959827105 larg+0.2959572845156369 than+0.30434782608695654 result+0.30511060259344014 differ+0.3185863208746504 also+0.330790744978388 studi+0.34248665141113654 time+0.36028476989575386 find+0.40325451309433 our+0.410373760488177 effect+0.4279176201372998 between+0.6219171116196288 it+0.6341215357233664 show+0.638698194762268 observ+0.6931095855580981 model+0.6946351385710653 can+0.7495550470378846
CLASS1:show+0.022664835164835164 propos+0.03159340659340659 method+0.040521978021978024 data+0.05425824175824176 base+0.06936813186813187 high+0.08928571428571429 paper+0.12087912087912088 more+0.1462912087912088 larg+0.16277472527472528 model+0.18269230769230768 our+0.18337912087912087 than+0.19230769230769232 first+0.20467032967032966 result+0.2287087912087912 both+0.24793956043956045 provid+0.25686813186813184 effect+0.2891483516483517 present+0.31043956043956045 differ+0.3228021978021978 can+0.3317307692307692 have+0.3427197802197802 time+0.34684065934065933 find+0.35370879120879123 has+0.3853021978021978 observ+0.4429945054945055 one+0.4498626373626374 system+0.5151098901098901 studi+0.5357142857142857 between+0.5934065934065934 two+0.5961538461538461 it+0.6236263736263736 also+0.7376373626373627
CLASS10:propos+0.08050314465408805 can+0.10471698113207548 paper+0.10660377358490566 one+0.1169811320754717 differ+0.14779874213836477 more+0.17389937106918238 between+0.1761006289308176 have+0.17861635220125785 two+0.18553459119496854 method+0.18553459119496854 show+0.2050314465408805 has+0.21037735849056605 system+0.22955974842767296 base+0.2371069182389937 both+0.24465408805031447 provid+0.25943396226415094 effect+0.279874213836478 than+0.30157232704402515 first+0.3220125786163522 also+0.3581761006289308 data+0.40628930817610065 larg+0.41037735849056606 find+0.42012578616352203 studi+0.45125786163522014 present+0.45345911949685536 it+0.4830188679245283 time+0.5163522012578616 model+0.5355345911949686 our+0.6119496855345912 high+0.6625786163522013 result+0.7094339622641509 observ+0.7411949685534591
CLASS2:propos+0.043478260869565216 paper+0.05835240274599542 method+0.059496567505720827 it+0.06979405034324943 model+0.07551487414187644 one+0.08009153318077804 has+0.11899313501144165 base+0.14073226544622425 first+0.14988558352402745 have+0.15102974828375287 data+0.15675057208237986 more+0.18077803203661327 our+0.19794050343249428 provid+0.2528604118993135 effect+0.2665903890160183 two+0.2826086956521739 larg+0.28604118993135014 than+0.28718535469107553 can+0.2894736842105263 result+0.2963386727688787 system+0.30205949656750575 both+0.3123569794050343 time+0.3146453089244851 differ+0.3146453089244851 find+0.39359267734553777 present+0.40045766590389015 studi+0.43935926773455375 observ+0.6670480549199085 between+0.6704805491990846 also+0.7265446224256293 high+0.7780320366132724 show+0.8592677345537757
CLASS3:time+0.037298387096774195 find+0.06854838709677419 than+0.06955645161290322 show+0.08770161290322581 have+0.13004032258064516 our+0.14516129032258066 more+0.14919354838709678 also+0.1663306451612903 can+0.16733870967741934 observ+0.17036290322580644 studi+0.17540322580645162 larg+0.1935483870967742 effect+0.22278225806451613 has+0.2288306451612903 one+0.2368951612903226 data+0.29838709677419356 paper+0.3125 provid+0.31451612903225806 model+0.3336693548387097 result+0.35080645161290325 first+0.3598790322580645 method+0.39919354838709675 both+0.41935483870967744 propos+0.4264112903225806 differ+0.4314516129032258 high+0.4324596774193548 present+0.49193548387096775 system+0.5756048387096774 between+0.6088709677419355 base+0.6149193548387096 it+0.6310483870967742 two+0.6854838709677419
CLASS4:show+0.05405405405405406 find+0.07567567567567568 result+0.08288288288288288 our+0.08288288288288288 studi+0.1009009009009009 differ+0.13873873873873874 than+0.14774774774774774 model+0.15315315315315314 more+0.16216216216216217 observ+0.17117117117117117 two+0.17117117117117117 between+0.18558558558558558 first+0.1981981981981982 effect+0.1981981981981982 present+0.2126126126126126 one+0.2126126126126126 both+0.22342342342342342 also+0.27927927927927926 data+0.28468468468468466 larg+0.28468468468468466 method+0.29009009009009007 paper+0.2918918918918919 provid+0.3207207207207207 have+0.35855855855855856 can+0.3747747747747748 propos+0.38738738738738737 has+0.5567567567567567 high+0.5783783783783784 it+0.609009009009009 base+0.6684684684684684 system+0.7837837837837838 time+0.9621621621621622
CLASS5:paper+0.06635242929659173 it+0.07269760696156635 propos+0.09554024655547498 method+0.14865844815083393 show+0.14956490210297316 first+0.1727701232777375 also+0.18274111675126903 provid+0.18382886149383612 result+0.20087019579405366 base+0.20322697606961565 one+0.25253807106598986 has+0.2978607686729514 our+0.3040246555474982 both+0.3067440174039159 time+0.31762146482958664 data+0.319615663524293 more+0.32886149383611313 present+0.3401015228426396 can+0.34535895576504716 effect+0.34572153734590283 differ+0.383248730964467 larg+0.39050036258158083 studi+0.4017403915881073 system+0.40427846265409717 than+0.4278462654097172 find+0.444525018129079 two+0.4802393038433648 between+0.5777737490935461 model+0.581399564902103 have+0.5848440899202321 high+0.5928208846990572 observ+0.698150833937636
CLASS6:time+0.03171501578235383 two+0.10266045393055764 find+0.12701037126108522 than+0.1423418006914174 first+0.15286336990831204 both+0.17044942131369306 observ+0.17240342702540207 one+0.1976551931459492 more+0.20291597775439651 present+0.21358785510296108 differ+0.22501127310987523 between+0.23147452277168196 studi+0.2815271306177664 larg+0.2887419209379227 effect+0.3016684202615362 data+0.3088832105816925 paper+0.35953705095445665 method+0.3640462949045543 it+0.38959867728844133 provid+0.3963625432135879 propos+0.3971140838719375 has+0.4325868029460394 model+0.4435592965579438 have+0.4739215391552683 also+0.4752743123402976 base+0.47737862618367655 high+0.4782804749736961 show+0.488200811663911 our+0.49301067187734854 result+0.5574928603637457 system+0.6643619419810611 can+0.7065985269803097
CLASS7:it+0.15900835452233927 observ+0.18640271219275942 high+0.2116176292529362 system+0.21585543043952052 larg+0.25811236227146145 effect+0.26168422327158253 find+0.2643177140089599 than+0.3026698147475481 between+0.30536384550187673 both+0.3190761593413246 more+0.32195181014650687 data+0.32313234047705536 present+0.32839932195181015 propos+0.33203172296888245 has+0.336784114299552 provid+0.3368143843080276 method+0.3442608063930258 paper+0.3458953868507083 first+0.3583969003511321 differ+0.3681135730718005 studi+0.39750575130161037 one+0.40758566412398595 have+0.41530451628526455 base+0.4193304274125197 also+0.43818864269281993 two+0.4462101949388546 time+0.47242402227872626 model+0.4982746095168907 show+0.5044496912459135 our+0.5613875771885216 can+0.5815776728417484 result+0.6088812204867418
CLASS8:method+0.08792650918635171 propos+0.09055118110236221 result+0.09317585301837271 base+0.10761154855643044 system+0.12335958005249344 provid+0.12598425196850394 can+0.12860892388451445 model+0.13385826771653545 paper+0.14041994750656167 our+0.14435695538057744 two+0.15223097112860892 between+0.15485564304461943 differ+0.16404199475065617 effect+0.17716535433070865 both+0.1889763779527559 time+0.2020997375328084 first+0.22703412073490814 data+0.23490813648293962 find+0.2440944881889764 present+0.3136482939632546 larg+0.3346456692913386 more+0.3556430446194226 one+0.3661417322834646 studi+0.38713910761154857 than+0.4658792650918635 observ+0.5 show+0.5459317585301837 high+0.5498687664041995 also+0.5590551181102362 has+0.6850393700787402 have+0.7165354330708661 it+0.8057742782152231
CLASS9:data+0.05258545135845749 high+0.08501314636283962 have+0.09377738825591586 more+0.09991235758106924 base+0.10341805433829973 method+0.10780017528483786 find+0.11042944785276074 present+0.12795793163891322 provid+0.13321647677475898 than+0.13584574934268187 model+0.13847502191060473 propos+0.18141980718667836 larg+0.18404907975460122 our+0.19456617002629273 effect+0.20157756354075373 observ+0.2077125328659071 paper+0.24452234881682736 differ+0.28045574057843997 studi+0.2822085889570552 both+0.294478527607362 time+0.31638913234005256 has+0.3339176161262051 first+0.3637160385626643 also+0.3663453111305872 can+0.3970201577563541 between+0.4145486415425066 result+0.46275197195442597 one+0.5127081507449606 system+0.5758106923751095 it+0.7537248028045574 two+0.8299737072743207 show+0.8615249780893953
