CLASS0:model+0.042116630669546434 can+0.06263498920086392 observ+0.07451403887688984 show+0.07883369330453564 between+0.08423326133909287 find+0.08531317494600432 it+0.12203023758099352 effect+0.12958963282937366 than+0.17278617710583152 differ+0.183585313174946 more+0.2084233261339093 our+0.20950323974082075 data+0.23650107991360692 larg+0.2613390928725702 propos+0.29049676025917925 time+0.3002159827213823 method+0.3023758099352052 studi+0.3099352051835853 base+0.3596112311015119 provid+0.3693304535637149 result+0.38120950323974084 both+0.41252699784017277 paper+0.4298056155507559 one+0.43952483801295894 first+0.468682505399568 has+0.48056155507559395 have+0.5421166306695464 high+0.5485961123110151 also+0.6123110151187905 present+0.6231101511879049 system+0.6252699784017278 two+0.652267818574514
CLASS1:find+0.13224368499257058 between+0.1524888558692422 also+0.18332095096582465 two+0.187592867756315 studi+0.18963595839524516 one+0.1913075780089153 it+0.20096582466567608 observ+0.21638187221396732 system+0.23049777117384845 effect+0.24145616641901932 differ+0.2613298662704309 present+0.29550520059435365 time+0.30349182763744426 provid+0.3085066864784547 first+0.3086924219910847 both+0.3088781575037147 more+0.32447994056463597 than+0.3341381872213967 has+0.3610698365527489 paper+0.38242942050520057 have+0.4076894502228826 larg+0.4138187221396731 data+0.5040861812778603 method+0.5070579494799405 propos+0.5260029717682021 model+0.5388187221396731 our+0.5425334323922734 can+0.5590638930163447 result+0.5911961367013373 base+0.6469167904903418 high+0.6729197622585439 show+0.8651560178306092
CLASS10:observ+0.060538944259874494 result+0.09819121447028424 data+0.11000369139904023 our+0.11443337024732374 find+0.11627906976744186 high+0.13842746400885936 larg+0.15356220007382798 present+0.16352897748246586 model+0.16943521594684385 time+0.20671834625322996 effect+0.2188999630860096 method+0.2188999630860096 first+0.22000738279808046 than+0.24363233665559247 studi+0.2591362126245847 provid+0.2753783684016242 both+0.3001107419712071 it+0.3122923588039867 more+0.32004429678848284 base+0.3444075304540421 paper+0.34957548911037284 propos+0.35437430786268 differ+0.4330011074197121 system+0.49870801033591733 one+0.5164267257290514 have+0.525655223329642 has+0.530454042081949 also+0.5341454411221853 two+0.5677371723883352 between+0.5743816906607604 show+0.6666666666666666 can+0.7552602436323367
CLASS2:show+0.12366689357839801 high+0.12434762877240753 observ+0.13535284774222828 find+0.15656909462219196 between+0.17165872475606989 also+0.20921261629226232 present+0.22884048105287044 than+0.2291808486498752 effect+0.2549353301565691 both+0.26060812343998185 larg+0.2640117994100295 provid+0.2915815747674155 differ+0.29214885409575675 more+0.30474245518493304 studi+0.3106421601996823 data+0.34467891990015886 first+0.36203766734740184 method+0.3828000907646925 time+0.3847288404810529 system+0.39686861810755614 paper+0.4120717041071023 two+0.41434082142046746 propos+0.42262309961425004 base+0.48218742909008394 our+0.48422963467211255 one+0.49081007488087136 result+0.49330610392557295 have+0.5594508736101657 has+0.5630814613115498 can+0.5737463126843658 it+0.5886090310869072 model+0.5888359428182437
CLASS3:propos+0.08965023278023158 base+0.09335084159006804 method+0.11328637937209025 paper+0.14420436910588516 two+0.15912617882296765 present+0.17070550316342367 both+0.18908917273486928 it+0.1932672794556524 data+0.19505789662170228 between+0.20532410170705503 differ+0.2054434761847917 first+0.20950220842783812 provid+0.2459114241375194 system+0.24937328399188252 effect+0.2900799809000836 more+0.305718037483586 one+0.3233854601886117 larg+0.32792169034260477 high+0.34141100632684734 model+0.38223707771278503 than+0.41064820341411007 find+0.41721379968962635 has+0.4310612391070789 observ+0.47140981258206993 studi+0.4753491703473797 result+0.518443356810314 have+0.5203533484541005 our+0.5505550913214755 also+0.6092873343679122 can+0.6140623134773785 show+0.659902112928256 time+0.7414348812223946
CLASS4:time+0.036616375656891 propos+0.10010171215460248 system+0.1259535514493982 base+0.14265129682997119 method+0.17604678759111714 paper+0.18240379725377182 has+0.2132564841498559 provid+0.23419223597219868 it+0.2397016443464994 high+0.24673673503983726 data+0.25470418715036447 larg+0.268943888794711 first+0.2864044753348025 more+0.2921681640956094 both+0.3144600779793185 effect+0.3269198169181217 than+0.3313273436175623 present+0.35031361247669096 have+0.36853704017630107 one+0.3718426852008815 find+0.40167825055094086 differ+0.41956263773520935 can+0.4431259535514494 observ+0.45431429055772166 between+0.5077979318528564 model+0.5189015087302933 also+0.523139515172063 two+0.5268689608408205 our+0.5545855229699949 studi+0.5546702830988303 show+0.6235802678420072 result+0.6403627733514154
CLASS5:observ+0.06726149622512011 find+0.07687028140013727 have+0.07755662319835278 model+0.0967741935483871 high+0.11599176389842142 between+0.11667810569663692 more+0.12285518188057652 than+0.1276595744680851 larg+0.12971859986273165 effect+0.13246396705559368 two+0.14687714481811942 data+0.1578586135895676 differ+0.1750171585449554 both+0.17776252573781742 system+0.24433768016472204 method+0.2621825669183253 studi+0.27934111187371313 present+0.3109128345916266 one+0.334248455730954 propos+0.34179821551132467 first+0.34317089910775567 has+0.3857240905971174 time+0.3953328757721345 provid+0.4008236101578586 our+0.40631434454358273 base+0.456417295813315 can+0.45778997940974603 paper+0.4735758407687028 result+0.6156485929993136 show+0.7481125600549073 also+0.8119423472889499 it+0.8442004118050789
CLASS6:propos+0.05934718100890208 method+0.07492581602373888 can+0.08160237388724036 system+0.08902077151335312 paper+0.09124629080118694 provid+0.12462908011869436 our+0.12537091988130564 base+0.15504451038575667 have+0.17878338278931752 result+0.18768545994065283 effect+0.20400593471810088 data+0.22403560830860533 show+0.2470326409495549 has+0.25 model+0.27522255192878337 larg+0.27967359050445106 more+0.2893175074183976 high+0.3056379821958457 also+0.336053412462908 differ+0.36869436201780414 find+0.3724035608308605 first+0.37388724035608306 both+0.4020771513353116 than+0.41543026706231456 studi+0.422106824925816 one+0.42433234421364985 it+0.43471810089020774 present+0.45919881305637983 between+0.5311572700296736 observ+0.5630563798219584 two+0.7618694362017804 time+0.9235905044510386
CLASS7:propos+0.030864197530864196 result+0.037037037037037035 our+0.043209876543209874 one+0.04938271604938271 paper+0.05555555555555555 more+0.06790123456790123 method+0.07407407407407407 provid+0.09259259259259259 base+0.10493827160493827 first+0.11728395061728394 can+0.12345679012345678 time+0.12345679012345678 differ+0.12962962962962962 than+0.15432098765432098 data+0.15432098765432098 model+0.1728395061728395 have+0.17901234567901234 show+0.19753086419753085 both+0.20987654320987653 find+0.20987654320987653 two+0.2345679012345679 effect+0.25308641975308643 present+0.2654320987654321 studi+0.29012345679012347 also+0.30246913580246915 larg+0.3148148148148148 has+0.3765432098765432 between+0.5864197530864198 high+0.6975308641975309 system+0.7407407407407407 observ+0.7592592592592593 it+0.9259259259259259
CLASS8:it+0.10776027660391856 have+0.11544371878601614 than+0.12524010756819054 has+0.13215520553207838 more+0.17018824433346139 observ+0.19832885132539377 larg+0.20678063772570113 high+0.21820975797157127 find+0.22349212447176334 one+0.2822704571648098 data+0.28774490971955435 also+0.30426431041106416 studi+0.3170380330388014 effect+0.32222435651171727 present+0.3272185939300807 paper+0.32894736842105265 first+0.3367268536304264 both+0.341336918939685 show+0.38590088359585095 method+0.3880138301959278 provid+0.3896465616596235 propos+0.3924318094506339 differ+0.4203803303880138 our+0.5243949289281599 base+0.5276603918555512 time+0.5289089512101421 between+0.5369765655013446 system+0.5491740299654245 model+0.550710718401844 two+0.5703034959661929 can+0.6262005378409528 result+0.6712447176334998
CLASS9:show+0.03233497243331843 two+0.0889584264640143 it+0.13693935330055135 one+0.14617791685292802 first+0.18015198927134554 paper+0.19311578006258381 system+0.2220235434361496 propos+0.22232156161525854 both+0.25271941588436897 result+0.26523617940694383 method+0.3029354790642229 differ+0.304574579049322 effect+0.3085978244672925 has+0.32171062434808523 between+0.3454030695872448 more+0.35523766949783936 studi+0.3600059603635822 larg+0.3680524511995232 find+0.3780360601996722 than+0.3860825510356132 time+0.3935330055133363 provid+0.41871554164804053 can+0.4322753687974967 our+0.43942780509611085 also+0.44479213232007153 data+0.4888988228281925 base+0.4911339591715095 present+0.49262405006705406 observ+0.5072269408433915 have+0.5401579496349277 model+0.5774102220235434 high+0.6335866487855759
