CLASS0:paper+0.03783783783783784 method+0.043243243243243246 have+0.043243243243243246 also+0.04864864864864865 first+0.07027027027027027 base+0.07567567567567568 data+0.07567567567567568 one+0.08108108108108109 our+0.08108108108108109 than+0.08108108108108109 more+0.08648648648648649 present+0.08648648648648649 differ+0.10270270270270271 provid+0.11351351351351352 time+0.12432432432432433 show+0.12972972972972974 two+0.12972972972972974 propos+0.13513513513513514 has+0.1837837837837838 result+0.21621621621621623 larg+0.22702702702702704 high+0.2648648648648649 find+0.2864864864864865 between+0.3621621621621622 studi+0.3837837837837838 both+0.42702702702702705 system+0.43783783783783786 model+0.4540540540540541 can+0.6216216216216216 observ+0.7027027027027027 effect+0.7513513513513513 it+0.8378378378378378
CLASS1:propos+0.02944640753828033 show+0.02944640753828033 method+0.048292108362779744 our+0.06831566548881036 both+0.071849234393404 result+0.0800942285041225 paper+0.09540636042402827 base+0.09658421672555949 first+0.10836277974087162 time+0.13898704358068315 effect+0.16489988221436985 more+0.18256772673733804 data+0.19081272084805653 two+0.2143698468786808 model+0.22850412249705537 than+0.24028268551236748 high+0.27208480565371024 find+0.28032979976442873 studi+0.30153121319199055 larg+0.32037691401649 provid+0.3250883392226148 differ+0.32626619552414604 can+0.3510011778563015 present+0.3545347467608952 has+0.3910482921083628 between+0.4829210836277974 system+0.5005889281507656 one+0.5265017667844523 observ+0.535924617196702 have+0.5712603062426383 also+0.5889281507656066 it+0.734982332155477
CLASS10:two+0.023931623931623933 studi+0.038176638176638175 have+0.06153846153846154 can+0.10826210826210826 has+0.14074074074074075 first+0.16467236467236468 it+0.18176638176638177 find+0.18974358974358974 both+0.20683760683760682 our+0.24045584045584045 paper+0.26324786324786326 propos+0.27350427350427353 differ+0.27806267806267804 one+0.28205128205128205 present+0.2985754985754986 system+0.30085470085470084 method+0.30655270655270656 more+0.32877492877492875 between+0.33105413105413106 larg+0.3321937321937322 model+0.3584045584045584 data+0.37606837606837606 high+0.37606837606837606 than+0.3789173789173789 also+0.4301994301994302 effect+0.4415954415954416 base+0.4752136752136752 provid+0.4866096866096866 show+0.49515669515669514 observ+0.5401709401709401 time+0.6638176638176638 result+0.7048433048433048
CLASS2:propos+0.0375234521575985 it+0.05347091932457786 paper+0.06848030018761726 first+0.0900562851782364 method+0.09427767354596622 has+0.10084427767354597 data+0.11397748592870544 two+0.12054409005628518 base+0.15525328330206378 present+0.18761726078799248 model+0.1894934333958724 have+0.21435272045028142 time+0.2171669793621013 one+0.23592870544090055 result+0.24343339587242027 our+0.2893996247654784 provid+0.31191369606003755 larg+0.33114446529080677 high+0.3775797373358349 more+0.4071294559099437 observ+0.44887429643527205 both+0.4601313320825516 find+0.47373358348968103 also+0.4821763602251407 system+0.4896810506566604 than+0.49577861163227016 effect+0.5178236397748592 differ+0.5211069418386491 studi+0.5234521575984991 can+0.5736397748592871 show+0.6294559099437148 between+0.6411819887429644
CLASS3:time+0.1137749561440147 it+0.15303650488680978 find+0.16966001169492942 also+0.17408737782975525 show+0.19731016623506809 observ+0.21819396875783142 than+0.2349010107760421 one+0.2849386016205831 first+0.3039010943112522 more+0.30674129145434803 both+0.3125052209506307 has+0.3436638543145936 larg+0.3531868682649737 paper+0.35986968507225797 high+0.3616239244841701 studi+0.36312755826580906 present+0.3658842201988138 between+0.36955976944282015 provid+0.37056219196391277 data+0.3769944031409239 propos+0.40397627600033414 method+0.4101578815470721 can+0.4120791913791663 effect+0.41324868432044104 differ+0.441316514911035 system+0.4771531200400969 two+0.4858407818895665 our+0.4956144014702197 model+0.49945702113440815 base+0.5294461615570963 have+0.5523348091220449 result+0.6323615403892741
CLASS4:show+0.04926108374384237 our+0.07060755336617405 result+0.0755336617405583 observ+0.08538587848932677 find+0.090311986863711 than+0.10837438423645321 data+0.10837438423645321 model+0.11658456486042693 studi+0.1297208538587849 also+0.1444991789819376 more+0.15763546798029557 high+0.19376026272577998 method+0.20032840722495895 larg+0.20361247947454844 present+0.23809523809523808 paper+0.24466338259441708 have+0.25287356321839083 effect+0.2594417077175698 first+0.2660098522167488 provid+0.27586206896551724 between+0.2857142857142857 both+0.31527093596059114 has+0.34811165845648606 differ+0.34811165845648606 propos+0.3497536945812808 one+0.45320197044334976 two+0.47783251231527096 can+0.5467980295566502 base+0.5467980295566502 it+0.6699507389162561 time+0.7931034482758621 system+0.8686371100164204
CLASS5:propos+0.047639302424500214 paper+0.056997022543598466 it+0.06805614632071459 method+0.09442790301999149 base+0.11782220331773713 show+0.12611654615057422 first+0.17184176945980434 has+0.17439387494683115 one+0.1754572522330923 provid+0.19119523606975755 both+0.21905572096980008 differ+0.22075712462781796 data+0.25308379413015736 between+0.25478519778817527 more+0.2996597192683964 result+0.34687367077839215 can+0.3500638026371757 present+0.3507018290089324 two+0.36473840918757977 than+0.421522756273926 studi+0.4236495108464483 system+0.427903019991493 also+0.44130157379838364 larg+0.4415142492556359 our+0.44831986388770734 effect+0.4544874521480221 high+0.5193534666099532 find+0.5289238621863037 model+0.5297745640153126 have+0.5614632071458954 time+0.5910250957039558 observ+0.7203317737133135
CLASS6:two+0.04421079300734735 between+0.09158854826450469 studi+0.1070433240435774 differ+0.1285786673422853 observ+0.15898150494046112 find+0.16772232074993665 both+0.181783633139093 first+0.21624018241702558 effect+0.23030149480618192 it+0.24094248796554346 one+0.25994426146440336 present+0.282366354193058 than+0.30833544464149987 have+0.31479604763111224 larg+0.31504940461109704 time+0.33354446414998734 has+0.3413985305295161 more+0.35330630858880163 data+0.38345578920699264 paper+0.388649607296681 method+0.40613123891563213 propos+0.4111983785153281 result+0.4271598682543704 high+0.4336204712439828 provid+0.43450722067392955 show+0.4452748923232835 also+0.4604763111223714 system+0.4827717253610337 our+0.5034203192297948 base+0.5325563719280466 model+0.5514314669369141 can+0.8647073726881176
CLASS7:system+0.13110820244328097 effect+0.1849912739965096 larg+0.20844240837696335 high+0.23062100058173357 more+0.2385107620709715 propos+0.24341913903432227 provid+0.2523632926119837 method+0.2568717277486911 than+0.26421611401977896 paper+0.26901541593949974 data+0.2846495055264689 present+0.302065154159395 observ+0.3032649796393252 base+0.3057737056428156 both+0.3103548574752763 find+0.31413612565445026 differ+0.352130599185573 it+0.35329406631762655 have+0.356239092495637 first+0.3563845258871437 has+0.3843077370564282 one+0.40212332751599766 between+0.4199389179755672 studi+0.47865764979639325 two+0.4836387434554974 time+0.4870564281559046 also+0.49829115764979637 model+0.5027268760907504 our+0.5388307155322862 can+0.5415575916230366 result+0.5586460151250727 show+0.6200189063408958
CLASS8:also+0.03319502074688797 model+0.03734439834024896 paper+0.04979253112033195 method+0.058091286307053944 two+0.07053941908713693 first+0.07468879668049792 propos+0.07468879668049792 our+0.07468879668049792 base+0.08713692946058091 result+0.0912863070539419 between+0.1037344398340249 provid+0.13278008298755187 data+0.13692946058091288 differ+0.14522821576763487 one+0.16182572614107885 present+0.17012448132780084 find+0.1908713692946058 studi+0.1950207468879668 time+0.22821576763485477 both+0.2987551867219917 system+0.3112033195020747 more+0.34024896265560167 effect+0.4024896265560166 larg+0.4066390041493776 can+0.45643153526970953 has+0.48132780082987553 than+0.48132780082987553 high+0.6887966804979253 it+0.6887966804979253 show+0.7012448132780082 observ+0.7095435684647303 have+0.7800829875518672
CLASS9:data+0.01953125 more+0.05078125 find+0.05859375 our+0.06640625 time+0.0703125 model+0.08203125 method+0.0859375 larg+0.09375 base+0.09375 high+0.09765625 present+0.1015625 differ+0.10546875 studi+0.11328125 first+0.1328125 have+0.1328125 than+0.140625 propos+0.14453125 paper+0.15234375 observ+0.16015625 both+0.171875 between+0.1953125 provid+0.2109375 has+0.21875 also+0.28125 effect+0.30859375 result+0.40234375 one+0.4765625 it+0.4921875 two+0.671875 can+0.75 show+0.859375 system+0.87890625
