CLASS0:effect+0.09845662586482172 observ+0.1363609484950624 it+0.15504701082135888 find+0.18893028206492815 both+0.20229436461474778 larg+0.2793448051564071 between+0.28088226598072263 studi+0.2836615220862161 model+0.3022293181952575 propos+0.3099166223168352 high+0.3128141446395837 data+0.3244042339305777 method+0.3330376677901957 first+0.3459286854709952 system+0.35036366861805923 present+0.3579918396310094 more+0.36207202412630834 provid+0.3649104133404293 than+0.3688131985098457 differ+0.375436106676128 paper+0.3763822364141683 has+0.4161196854118621 base+0.42688191118207086 time+0.45384660871622023 two+0.46265744190172076 one+0.4762580568860505 can+0.5088995328484418 our+0.5189521613151203 also+0.5293004553249364 result+0.5441428655904441 have+0.5844125125657856 show+0.640234167110165
CLASS1:also+0.09011857707509881 one+0.1241106719367589 have+0.14308300395256918 present+0.16047430830039525 find+0.16284584980237155 it+0.1725296442687747 between+0.18458498023715414 observ+0.19723320158102767 provid+0.20434782608695654 differ+0.2148221343873518 has+0.23142292490118577 than+0.23379446640316207 larg+0.24051383399209486 more+0.2565217391304348 data+0.258102766798419 studi+0.31245059288537547 first+0.31956521739130433 paper+0.33063241106719365 high+0.35731225296442687 system+0.358498023715415 two+0.38715415019762844 method+0.4051383399209486 propos+0.46403162055335967 base+0.48596837944664034 both+0.4950592885375494 model+0.5019762845849802 time+0.5081027667984189 effect+0.5276679841897233 our+0.5596837944664032 result+0.6798418972332015 can+0.7381422924901185 show+0.8203557312252965
CLASS10:data+0.09087285771223595 method+0.09246711837385413 time+0.10601833399760861 base+0.10801115982463133 result+0.11119968114786767 provid+0.12036667995217218 propos+0.13272220007971303 paper+0.13909924272618573 than+0.1578318055001993 more+0.18333997608609007 present+0.20247110402550816 larg+0.23634914308489438 observ+0.23993622957353528 also+0.24312475089677163 first+0.251494619370267 high+0.2538860103626943 effect+0.2758070944599442 differ+0.2877640494220805 find+0.29334396173774413 show+0.30490235153447587 our+0.3092865683539259 between+0.3304105221203667 both+0.3332004782781985 one+0.3551215623754484 model+0.3810282981267437 has+0.47708250298923877 system+0.5308888003188521 it+0.5687524910322838 studi+0.6046233559186927 two+0.6205659625348745 have+0.6329214826624153 can+0.8792347548824233
CLASS2:between+0.040892193308550186 find+0.05055762081784387 than+0.06840148698884758 differ+0.07137546468401487 studi+0.0862453531598513 more+0.10557620817843866 both+0.10929368029739776 also+0.14200743494423793 show+0.15687732342007435 effect+0.19851301115241635 provid+0.20817843866171004 larg+0.21635687732342007 high+0.2513011152416357 observ+0.2698884758364312 our+0.27063197026022306 present+0.29739776951672864 method+0.31970260223048325 data+0.33308550185873603 first+0.3680297397769517 one+0.3687732342007435 paper+0.3814126394052045 system+0.38661710037174724 time+0.38661710037174724 propos+0.4074349442379182 base+0.4141263940520446 can+0.4312267657992565 have+0.4550185873605948 result+0.5189591078066914 two+0.5204460966542751 model+0.521189591078067 has+0.5858736059479553 it+0.9130111524163569
CLASS3:method+0.031161473087818695 paper+0.031161473087818695 propos+0.056657223796033995 base+0.06232294617563739 have+0.06232294617563739 our+0.0708215297450425 data+0.0708215297450425 result+0.0821529745042493 differ+0.0906515580736544 two+0.09915014164305949 more+0.1274787535410765 provid+0.1274787535410765 first+0.141643059490085 present+0.14447592067988668 both+0.17563739376770537 larg+0.18696883852691218 between+0.21529745042492918 studi+0.21529745042492918 model+0.2237960339943343 has+0.23229461756373937 high+0.2776203966005666 effect+0.28895184135977336 one+0.33994334277620397 than+0.33994334277620397 system+0.3626062322946176 find+0.37110481586402266 observ+0.5977337110481586 also+0.603399433427762 can+0.6572237960339944 show+0.7053824362606232 it+0.7648725212464589 time+0.8186968838526912
CLASS4:time+0.06721955477957224 propos+0.08075076385857705 base+0.1053397351956933 system+0.11872544740288084 paper+0.12076240360832242 first+0.15335370289538774 method+0.15364469663902225 it+0.2112614578786556 one+0.22130074203404626 differ+0.2413793103448276 two+0.24152480721664485 both+0.24414375090935544 provid+0.24574421649934527 has+0.25185508511567 present+0.2585479412192638 more+0.27324312527280664 data+0.29303069983995345 larg+0.3295504146660847 than+0.37887385421213443 have+0.3820747853921141 between+0.3944420194965808 high+0.4014258693438091 effect+0.41175614724283427 find+0.43663611232358507 studi+0.4978902953586498 also+0.5101120325912993 our+0.5351374945438673 can+0.5488142004946893 model+0.6000290993743634 result+0.6550269169212862 observ+0.6556089044085552 show+0.7830641641204714
CLASS5:find+0.047337278106508875 time+0.07016060862214708 observ+0.08284023668639054 have+0.10481825866441251 larg+0.11242603550295859 than+0.11665257819103973 high+0.12679628064243448 data+0.1496196111580727 model+0.15384615384615385 present+0.158072696534235 more+0.17328825021132713 our+0.17413355874894337 studi+0.19019442096365174 two+0.1978021978021978 effect+0.2121724429416737 also+0.24091293322062554 first+0.24767540152155537 method+0.27303465765004226 differ+0.31614539306847 both+0.3169907016060862 system+0.32713440405748095 between+0.3820794590025359 propos+0.38461538461538464 paper+0.389687235841082 provid+0.4015215553677092 result+0.4167371090448014 base+0.44885883347421807 has+0.45646661031276414 one+0.4657650042265427 can+0.6787827557058326 show+0.768385460693153 it+0.9137785291631445
CLASS6:paper+0.036986301369863014 method+0.036986301369863014 propos+0.04246575342465753 base+0.0547945205479452 can+0.07260273972602739 data+0.07808219178082192 model+0.08356164383561644 our+0.08493150684931507 provid+0.1136986301369863 more+0.13424657534246576 first+0.16712328767123288 also+0.20273972602739726 present+0.21643835616438356 than+0.21643835616438356 high+0.22465753424657534 has+0.2465753424657534 larg+0.27671232876712326 result+0.29041095890410956 find+0.2958904109589041 have+0.29726027397260274 one+0.36712328767123287 time+0.38493150684931504 system+0.38904109589041097 show+0.3972602739726027 both+0.4301369863013699 effect+0.4643835616438356 differ+0.4767123287671233 studi+0.5123287671232877 it+0.5986301369863014 observ+0.6712328767123288 between+0.7041095890410959 two+0.7917808219178082
CLASS7:two+0.011904761904761904 studi+0.011904761904761904 our+0.023809523809523808 first+0.047619047619047616 find+0.05952380952380952 result+0.05952380952380952 paper+0.07142857142857142 time+0.07142857142857142 also+0.08333333333333333 between+0.08333333333333333 model+0.09523809523809523 differ+0.09523809523809523 method+0.09523809523809523 show+0.10714285714285714 one+0.13095238095238096 data+0.13095238095238096 propos+0.14285714285714285 more+0.14285714285714285 both+0.16666666666666666 has+0.19047619047619047 present+0.19047619047619047 have+0.19047619047619047 base+0.2261904761904762 it+0.25 than+0.2619047619047619 can+0.34523809523809523 larg+0.39285714285714285 provid+0.40476190476190477 observ+0.44047619047619047 high+0.5357142857142857 effect+0.6785714285714286 system+0.9880952380952381
CLASS8:have+0.08046989720998532 than+0.09701419481155164 high+0.09946157611355849 more+0.15428291727851198 observ+0.16191874694077338 larg+0.16955457660303475 has+0.19539892315222712 show+0.19872736172295644 it+0.2265296133137543 data+0.26823299069995105 find+0.26823299069995105 both+0.2805677924620656 effect+0.30641213901125797 paper+0.3111111111111111 present+0.3118942731277533 method+0.32080274106705825 first+0.32638277043563385 propos+0.33480176211453744 time+0.36691140479686735 differ+0.3690651003426334 provid+0.369652471855115 studi+0.4105726872246696 one+0.4219285364659814 base+0.42692119432207537 system+0.4759667156142927 our+0.491434165442976 between+0.49290259422418015 also+0.5134605971610376 two+0.5474302496328928 can+0.5909936368086148 result+0.6248653940283896 model+0.640724424865394
CLASS9:show+0.10744059213089209 system+0.1477989871445267 two+0.1579275418776782 one+0.18659914296844565 paper+0.196805609661083 propos+0.22719127386053758 first+0.2574990261005064 method+0.27463965718737826 provid+0.302843786521231 it+0.3083755356447215 both+0.3362680171406311 also+0.3386832878846903 more+0.3428126217374367 effect+0.3489676665368134 has+0.36408258667705495 can+0.36680950525905726 than+0.3671990650564862 result+0.36852356836774447 differ+0.3696922477600312 present+0.3794312426957538 base+0.38504090377873 larg+0.39867549668874175 between+0.40560966108297625 data+0.4090377873003506 find+0.4098169068952084 studi+0.4449552006232957 our+0.4895987534086482 high+0.4897545773276198 have+0.49357226334242305 time+0.5137514608492404 observ+0.5519283209972731 model+0.6042072458122322
