CLASS0:effect+0.09529860228716645 observ+0.1139135959339263 it+0.12293519695044473 find+0.2050825921219822 both+0.2324015247776366 between+0.25470139771283357 larg+0.25470139771283357 model+0.27566709021601016 studi+0.2961245235069886 high+0.3062261753494282 propos+0.3129606099110546 data+0.32096569250317664 method+0.3352604828462516 first+0.3460609911054638 differ+0.3539390088945362 present+0.35533672172808134 more+0.36054637865311306 provid+0.36728081321473954 than+0.3767471410419314 system+0.3772554002541296 paper+0.390851334180432 has+0.4086404066073698 base+0.42744599745870393 time+0.45698856416772554 two+0.46353240152477765 can+0.47344345616264294 one+0.4773189326556544 our+0.524269377382465 also+0.5296060991105463 have+0.5530495552731893 result+0.5869758576874206 show+0.6361499364675984
CLASS1:also+0.12702232918839418 have+0.16673352052413423 one+0.16740205909881 find+0.16807059767348576 it+0.1870570931942773 observ+0.19922449525337613 than+0.19975932611311673 present+0.20016044925792217 provid+0.21326380532156705 between+0.2170076213397513 has+0.22850648482417435 more+0.24936488835405804 differ+0.26434015242679504 data+0.27704238534563447 larg+0.2882738334001872 system+0.3140794223826715 first+0.32196817756384544 high+0.3319962561839818 paper+0.33266479475865757 studi+0.33293221018852787 two+0.3699692472255649 both+0.4155635780184517 method+0.43200962695547535 propos+0.4587511699425057 base+0.49886348442305123 time+0.5090252707581228 effect+0.5460623077951597 our+0.5633106030217944 model+0.5891161920042787 result+0.6744217141329054 can+0.7467575879128225 show+0.7554485893836075
CLASS10:data+0.10025 method+0.116 time+0.1225 provid+0.126 base+0.13775 than+0.14175 propos+0.1425 result+0.1465 paper+0.167 high+0.19325 present+0.20675 observ+0.21375 more+0.215 larg+0.21975 first+0.25 effect+0.267 find+0.31425 both+0.31425 also+0.329 show+0.33075 differ+0.34675 our+0.34925 between+0.40225 one+0.43425 model+0.44725 system+0.50825 has+0.5085 it+0.52475 studi+0.567 two+0.6025 have+0.62325 can+0.8515
CLASS2:between+0.04973221117061974 find+0.06503442999234889 than+0.09410864575363427 studi+0.1009946442234124 show+0.10405508798775823 differ+0.10405508798775823 both+0.1315990818668707 more+0.13236419280795717 also+0.16296863045141546 effect+0.16679418515684774 provid+0.18515684774292274 observ+0.18821729150726854 larg+0.21040550879877581 high+0.22647283856159142 our+0.2907421576128539 can+0.3083397092578424 present+0.3114001530221882 method+0.31446059678653404 data+0.34659525631216526 one+0.3932670237184392 have+0.39862280030604436 paper+0.39938791124713086 system+0.4093343534812548 first+0.4093343534812548 time+0.41545524100994646 propos+0.41698546289211935 base+0.47589900535577656 model+0.5003825554705432 result+0.5118592195868401 two+0.5256312165263963 has+0.6013771996939556 it+0.936495791889824
CLASS3:method+0.027417027417027416 paper+0.05339105339105339 propos+0.06782106782106782 base+0.08225108225108226 data+0.10533910533910534 result+0.10533910533910534 have+0.11688311688311688 two+0.12842712842712842 differ+0.12842712842712842 our+0.14862914862914864 provid+0.14862914862914864 more+0.15728715728715728 both+0.16594516594516595 present+0.1717171717171717 first+0.1774891774891775 larg+0.19047619047619047 between+0.21356421356421357 studi+0.25252525252525254 has+0.2554112554112554 high+0.26262626262626265 model+0.2943722943722944 effect+0.30014430014430016 find+0.329004329004329 system+0.3333333333333333 one+0.36363636363636365 than+0.3823953823953824 observ+0.6277056277056277 can+0.6305916305916306 also+0.6479076479076479 show+0.7056277056277056 it+0.7662337662337663 time+0.8398268398268398
CLASS4:time+0.0605719794344473 propos+0.075353470437018 system+0.11166452442159383 paper+0.11182519280205655 base+0.112146529562982 method+0.13158740359897173 first+0.17223650385604114 it+0.20196015424164523 has+0.2222043701799486 provid+0.2455012853470437 present+0.24582262210796915 both+0.2493573264781491 one+0.24983933161953728 differ+0.2736182519280206 two+0.2856683804627249 more+0.2861503856041131 data+0.28631105398457585 larg+0.31748071979434445 have+0.37017994858611825 high+0.3819087403598972 than+0.39508354755784064 effect+0.3994215938303342 between+0.4362146529562982 find+0.4365359897172236 studi+0.4929305912596401 also+0.5131748071979434 can+0.5485218508997429 our+0.5502892030848329 model+0.6169665809768637 result+0.6555269922879178 observ+0.6797879177377892 show+0.7986825192802056
CLASS5:find+0.04431736954967834 observ+0.06862044317369549 time+0.08863473909935668 than+0.10793423874195854 high+0.11508220157255182 larg+0.11865618298784847 have+0.12580414581844174 model+0.1401000714796283 data+0.15439599714081487 more+0.1651179413867048 present+0.17155110793423875 our+0.21157969978556113 effect+0.21157969978556113 two+0.21801286633309508 studi+0.22015725518227305 first+0.26090064331665475 both+0.2687634024303074 method+0.2937812723373838 differ+0.30950679056468905 system+0.32666190135811296 also+0.3538241601143674 between+0.39814152966404576 propos+0.3995711222301644 paper+0.42030021443888493 one+0.4303073624017155 provid+0.453180843459614 base+0.45389563974267333 has+0.46962115796997855 result+0.507505360972123 can+0.6661901358112938 show+0.7698355968548963 it+0.9127948534667619
CLASS6:propos+0.03938730853391685 can+0.04048140043763676 paper+0.04266958424507659 method+0.045951859956236324 base+0.05470459518599562 data+0.09190371991247265 our+0.10175054704595186 model+0.12253829321663019 provid+0.1301969365426696 more+0.15317286652078774 first+0.2024070021881838 have+0.22647702407002188 also+0.23413566739606126 high+0.24179431072210067 has+0.24945295404814005 than+0.24945295404814005 present+0.26914660831509846 find+0.2811816192560175 larg+0.28665207877461707 result+0.2910284463894967 system+0.3730853391684901 one+0.3785557986870897 time+0.4048140043763676 show+0.40700218818380746 both+0.4190371991247265 effect+0.4310722100656455 differ+0.44091903719912473 studi+0.49452954048140046 it+0.6028446389496718 between+0.6903719912472648 observ+0.6914660831509847 two+0.7789934354485777
CLASS7:two+0.012658227848101266 our+0.02531645569620253 paper+0.02531645569620253 studi+0.0379746835443038 first+0.0379746835443038 result+0.0379746835443038 between+0.05063291139240506 find+0.0759493670886076 differ+0.0759493670886076 method+0.08860759493670886 more+0.08860759493670886 show+0.10126582278481013 also+0.10126582278481013 model+0.11392405063291139 propos+0.11392405063291139 time+0.11392405063291139 one+0.11392405063291139 data+0.11392405063291139 both+0.1518987341772152 than+0.17721518987341772 present+0.189873417721519 have+0.189873417721519 has+0.21518987341772153 can+0.21518987341772153 base+0.25316455696202533 it+0.26582278481012656 observ+0.3924050632911392 larg+0.3924050632911392 provid+0.3924050632911392 high+0.5949367088607594 effect+0.6455696202531646 system+1.0
CLASS8:high+0.07534246575342465 than+0.07653365098272781 have+0.08442525312686122 show+0.12522334723049433 more+0.1343061346039309 observ+0.1480047647409172 has+0.1512805241215009 larg+0.15530077427039904 it+0.19922572960095294 data+0.26354973198332343 find+0.26533650982727813 both+0.2800774270399047 paper+0.30181655747468733 effect+0.3116438356164384 method+0.31402620607504467 present+0.3237045860631328 first+0.3321917808219178 propos+0.3374032162001191 time+0.36137581893984516 differ+0.3776057176891007 provid+0.3986003573555688 studi+0.40276950565812986 base+0.40738534842167956 one+0.43046456223942825 our+0.45815961882072664 system+0.5177188802858844 between+0.5284395473496128 also+0.5424359737939249 two+0.5540500297796307 can+0.5878499106611078 result+0.6122692078618225 model+0.628499106611078
CLASS9:show+0.09758618144238577 system+0.1412120764744962 two+0.17723481213552816 one+0.19000516719568908 paper+0.20078246106148964 propos+0.22300140252454417 first+0.24994463718904555 method+0.2791023842917251 both+0.29674466671587807 it+0.29903299623532886 effect+0.30146895991732486 more+0.33173396323909354 provid+0.33675352476563075 than+0.3623680519672252 differ+0.36532073521812947 has+0.36701852808739943 can+0.37868162692847124 also+0.3794936148224699 result+0.38318446888610025 base+0.3924854211264487 find+0.39514283605226247 present+0.3964715435151694 larg+0.4018601904480697 between+0.4177308629216801 studi+0.4245958514800325 data+0.4303535838192958 time+0.4851996752048424 have+0.4911050417066509 high+0.4964198715582786 our+0.5009965305971802 observ+0.5570236952830885 model+0.6120912379124529
