CLASS13:paper+0.1756705127225491 larg+0.19867043631084283 than+0.20913884007029876 system+0.20997936883930618 present+0.2180790097042867 effect+0.24428822495606328 find+0.24872010391992053 provid+0.24917857415756095 high+0.27194926262703445 more+0.2769924352410789 base+0.27706884694735234 also+0.2793611981355544 has+0.2830289600366776 propos+0.284633605868419 both+0.29280965843967294 result+0.33430121494612974 method+0.3573775502406969 first+0.38121800259799804 data+0.3911515244135402 observ+0.4021548101169099 it+0.40735080614350117 one+0.4554137693894705 have+0.4748987544891877 between+0.49186215328188276 two+0.4943073278826316 model+0.4946893864139986 studi+0.5014136165660579 differ+0.5108886681439596 show+0.5172308397646519 our+0.5920379002063116 time+0.5930312523878658 can+0.7366088484755865
CLASS18:show+0.060851926977687626 can+0.09533468559837728 first+0.0973630831643002 result+0.0973630831643002 studi+0.1257606490872211 observ+0.13387423935091278 paper+0.1460446247464503 effect+0.15212981744421908 larg+0.16227180527383367 provid+0.1643002028397566 between+0.1724137931034483 high+0.1845841784989858 method+0.18661257606490872 it+0.19066937119675456 time+0.1926977687626775 find+0.2028397565922921 both+0.20689655172413793 data+0.2210953346855984 present+0.24543610547667344 propos+0.2535496957403651 also+0.2961460446247465 than+0.4665314401622718 one+0.4908722109533469 more+0.5294117647058824 differ+0.5314401622718052 our+0.5354969574036511 two+0.59026369168357 has+0.592292089249493 have+0.6064908722109533 system+0.6085192697768763 base+0.6896551724137931 model+0.7281947261663286
CLASS19:data+0.010752688172043012 propos+0.021505376344086023 system+0.03225806451612903 have+0.053763440860215055 one+0.07526881720430108 observ+0.07526881720430108 between+0.0967741935483871 effect+0.10752688172043011 can+0.10752688172043011 it+0.12903225806451613 has+0.13978494623655913 time+0.13978494623655913 present+0.13978494623655913 larg+0.13978494623655913 high+0.15053763440860216 model+0.15053763440860216 method+0.16129032258064516 both+0.1827956989247312 base+0.20430107526881722 find+0.21505376344086022 first+0.21505376344086022 result+0.23655913978494625 than+0.44086021505376344 also+0.5161290322580645 two+0.5376344086021505 our+0.5591397849462365 paper+0.5591397849462365 more+0.5913978494623656 provid+0.6881720430107527 show+0.6881720430107527 differ+0.7096774193548387 studi+0.7419354838709677
CLASS2:both+0.045454545454545456 have+0.045454545454545456 high+0.045454545454545456 effect+0.045454545454545456 our+0.09090909090909091 base+0.09090909090909091 find+0.13636363636363635 it+0.13636363636363635 first+0.13636363636363635 model+0.18181818181818182 also+0.18181818181818182 propos+0.18181818181818182 one+0.18181818181818182 more+0.18181818181818182 two+0.18181818181818182 between+0.22727272727272727 time+0.22727272727272727 provid+0.3181818181818182 has+0.3181818181818182 result+0.36363636363636365 larg+0.45454545454545453 method+0.6818181818181818 system+0.8181818181818182 studi+0.8181818181818182 differ+0.8636363636363636 paper+0.8636363636363636 present+0.9090909090909091
CLASS20:between+0.03853046594982079 first+0.09498207885304659 differ+0.0967741935483871 paper+0.10483870967741936 more+0.11200716845878136 observ+0.12813620071684587 one+0.13261648745519714 find+0.1460573476702509 two+0.1586021505376344 it+0.1693548387096774 than+0.17114695340501793 propos+0.17114695340501793 base+0.18369175627240145 effect+0.19265232974910393 our+0.1971326164874552 both+0.22401433691756273 has+0.25627240143369173 have+0.25985663082437277 provid+0.26523297491039427 model+0.2661290322580645 also+0.30734767025089604 data+0.3924731182795699 method+0.41935483870967744 present+0.4596774193548387 studi+0.5089605734767025 high+0.5394265232974911 larg+0.5654121863799283 show+0.5931899641577061 system+0.6191756272401434 time+0.7168458781362007 result+0.7768817204301075 can+0.8476702508960573
CLASS21:propos+0.025559105431309903 method+0.03514376996805112 base+0.038338658146964855 system+0.07348242811501597 differ+0.07667731629392971 first+0.08306709265175719 between+0.08306709265175719 two+0.09584664536741214 paper+0.10223642172523961 result+0.11182108626198083 high+0.1182108626198083 one+0.1182108626198083 more+0.12460063897763578 studi+0.12779552715654952 data+0.14057507987220447 has+0.14376996805111822 than+0.16293929712460065 both+0.16293929712460065 it+0.1757188498402556 provid+0.18210862619808307 effect+0.19808306709265175 have+0.22044728434504793 find+0.29073482428115016 observ+0.2971246006389776 model+0.31309904153354634 larg+0.5623003194888179 present+0.5910543130990416 our+0.6166134185303515 can+0.670926517571885 time+0.6996805111821086 show+0.8306709265175719 also+0.8913738019169329
CLASS22:paper+0.03695082921152167 method+0.08786732615653185 propos+0.11492580739016585 data+0.1373290660459703 first+0.15798661623508875 provid+0.17137038114634856 can+0.17224323537969158 it+0.1757346523130637 have+0.19639220250218214 one+0.20192027931335468 more+0.21559499563572884 has+0.22083212103578703 time+0.22432353796915916 our+0.2708757637474542 also+0.33895839394821065 observ+0.35408786732615655 find+0.36863543788187375 model+0.36950829211521674 than+0.404422461448938 larg+0.4108233924934536 base+0.43875472796043063 system+0.44428280477160315 present+0.4695955775385511 effect+0.48152458539423915 high+0.48821646784986905 both+0.5138201920279314 differ+0.5170206575501891 show+0.5560081466395111 between+0.5647366889729415 two+0.6022694210066919 studi+0.6176898457957521 result+0.6284550480069828
CLASS23:more+0.05555555555555555 our+0.06 differ+0.06888888888888889 provid+0.08666666666666667 than+0.08888888888888889 data+0.09555555555555556 propos+0.1 between+0.10888888888888888 observ+0.14666666666666667 have+0.15777777777777777 system+0.16 result+0.16 present+0.16444444444444445 high+0.1688888888888889 base+0.17333333333333334 time+0.18444444444444444 model+0.18444444444444444 method+0.25555555555555554 effect+0.26222222222222225 first+0.38666666666666666 paper+0.43777777777777777 also+0.45555555555555555 show+0.4866666666666667 one+0.4911111111111111 larg+0.4911111111111111 find+0.5244444444444445 two+0.56 can+0.5666666666666667 it+0.5733333333333334 studi+0.5911111111111111 both+0.6044444444444445 has+0.66
CLASS24:method+0.06349206349206349 base+0.06349206349206349 our+0.06878306878306878 result+0.06878306878306878 propos+0.06878306878306878 provid+0.08994708994708994 high+0.09523809523809523 paper+0.10052910052910052 studi+0.1164021164021164 differ+0.1164021164021164 system+0.1164021164021164 first+0.12169312169312169 show+0.12698412698412698 two+0.15343915343915343 can+0.15873015873015872 between+0.1746031746031746 present+0.20634920634920634 larg+0.2222222222222222 both+0.2275132275132275 it+0.23809523809523808 find+0.32275132275132273 than+0.3386243386243386 more+0.3968253968253968 data+0.4021164021164021 effect+0.48677248677248675 have+0.5185185185185185 time+0.5714285714285714 one+0.5767195767195767 observ+0.6243386243386243 has+0.7566137566137566 model+0.7724867724867724 also+0.8624338624338624
CLASS25:propos+0.024271844660194174 base+0.059870550161812294 method+0.07281553398058252 paper+0.07605177993527508 system+0.0970873786407767 can+0.10032362459546926 data+0.10032362459546926 studi+0.10355987055016182 provid+0.11488673139158576 effect+0.13754045307443366 our+0.14563106796116504 it+0.15048543689320387 both+0.17637540453074432 larg+0.19093851132686085 time+0.20064724919093851 more+0.20064724919093851 has+0.20550161812297735 also+0.2621359223300971 model+0.2669902912621359 find+0.28802588996763756 first+0.3802588996763754 one+0.441747572815534 than+0.46116504854368934 between+0.48058252427184467 high+0.551779935275081 show+0.580906148867314 differ+0.587378640776699 two+0.5954692556634305 result+0.6294498381877023 have+0.6601941747572816 observ+0.6699029126213593 present+0.6828478964401294
CLASS26:method+0.02564102564102564 propos+0.045787545787545784 more+0.05860805860805861 differ+0.06776556776556776 have+0.06776556776556776 base+0.07875457875457875 can+0.08791208791208792 one+0.08974358974358974 paper+0.10256410256410256 than+0.10622710622710622 larg+0.11904761904761904 effect+0.1282051282051282 our+0.2032967032967033 both+0.20695970695970695 two+0.21062271062271062 find+0.2216117216117216 provid+0.22893772893772893 also+0.28205128205128205 has+0.2948717948717949 data+0.36996336996337 model+0.37545787545787546 show+0.4835164835164835 high+0.48717948717948717 first+0.4981684981684982 between+0.4981684981684982 studi+0.5457875457875457 it+0.5476190476190477 system+0.5769230769230769 result+0.6117216117216118 time+0.6410256410256411 present+0.652014652014652 observ+0.7307692307692307
