CLASS0:than+0.0064516129032258064 observ+0.012903225806451613 larg+0.012903225806451613 studi+0.012903225806451613 between+0.012903225806451613 present+0.01935483870967742 have+0.03225806451612903 two+0.03225806451612903 more+0.03225806451612903 time+0.03870967741935484 result+0.04516129032258064 model+0.05161290322580645 can+0.05806451612903226 high+0.17419354838709677 find+0.1935483870967742 data+0.24516129032258063 effect+0.2645161290322581 method+0.2645161290322581 one+0.2903225806451613 first+0.3032258064516129 propos+0.3161290322580645 has+0.3548387096774194 it+0.3741935483870968 provid+0.3870967741935484 paper+0.3935483870967742 show+0.4064516129032258 our+0.44516129032258067 base+0.5161290322580645 also+0.535483870967742
CLASS1:it+0.037694013303769404 larg+0.05160249949606934 present+0.055230800241886716 system+0.05543237250554324 studi+0.10219713767385608 our+0.15863737149768192 model+0.1872606329369079 effect+0.2938923604112074 both+0.2997379560572465 observ+0.30094738963918566 first+0.30215682322112475 data+0.3043741181213465 find+0.31364644224954646 method+0.32715178391453337 provid+0.3340052408788551 more+0.3356178189881072 high+0.34428542632533765 paper+0.3452932876436202 propos+0.3499294497077202 one+0.3507357387623463 than+0.36000806289054627 has+0.3652489417456158 differ+0.36968353154605926 between+0.4097964120137069 two+0.42572062084257206 time+0.4418464019350937 have+0.45031243700866763 base+0.4799435597661762 show+0.49223946784922396 also+0.5071558153598065 result+0.5728683733118323 can+0.6543035678290667
CLASS10:find+0.00966183574879227 effect+0.01932367149758454 observ+0.033816425120772944 also+0.03864734299516908 our+0.03864734299516908 have+0.043478260869565216 both+0.057971014492753624 present+0.07246376811594203 studi+0.12077294685990338 result+0.13043478260869565 base+0.2028985507246377 model+0.22705314009661837 data+0.3526570048309179 method+0.36231884057971014 propos+0.36231884057971014 first+0.3671497584541063 paper+0.391304347826087 provid+0.3961352657004831 than+0.3961352657004831 show+0.42028985507246375 more+0.42995169082125606 two+0.42995169082125606 one+0.43478260869565216 high+0.45410628019323673 it+0.463768115942029 has+0.4782608695652174 system+0.4830917874396135 larg+0.4830917874396135 between+0.5458937198067633 time+0.5748792270531401 differ+0.642512077294686 can+0.7874396135265701
CLASS11:first+0.024691358024691357 propos+0.027777777777777776 method+0.040123456790123455 between+0.043209876543209874 show+0.046296296296296294 provid+0.046296296296296294 it+0.05246913580246913 effect+0.05864197530864197 two+0.06790123456790123 than+0.08950617283950617 time+0.10493827160493827 also+0.10802469135802469 result+0.14814814814814814 can+0.24691358024691357 paper+0.3148148148148148 differ+0.33641975308641975 one+0.3487654320987654 more+0.3487654320987654 both+0.3765432098765432 system+0.38271604938271603 data+0.4012345679012346 present+0.4074074074074074 larg+0.4104938271604938 high+0.4166666666666667 observ+0.4691358024691358 has+0.4722222222222222 base+0.48148148148148145 studi+0.49074074074074076 find+0.5339506172839507 our+0.6358024691358025 have+0.6512345679012346 model+0.6975308641975309
CLASS12:paper+0.01045751633986928 between+0.02483660130718954 data+0.026143790849673203 one+0.03529411764705882 both+0.0392156862745098 effect+0.04183006535947712 it+0.04967320261437908 have+0.07581699346405228 model+0.07973856209150326 base+0.12418300653594772 propos+0.18169934640522875 more+0.269281045751634 system+0.28104575163398693 can+0.29150326797385623 differ+0.3006535947712418 method+0.3111111111111111 present+0.3333333333333333 than+0.33464052287581697 two+0.3359477124183007 first+0.3464052287581699 provid+0.3477124183006536 has+0.3803921568627451 larg+0.3869281045751634 observ+0.38823529411764707 high+0.42483660130718953 show+0.4823529411764706 time+0.5372549019607843 find+0.5450980392156862 studi+0.5620915032679739 also+0.5686274509803921 our+0.5830065359477125 result+0.7699346405228759
CLASS13:has+0.0189873417721519 present+0.02531645569620253 effect+0.02531645569620253 observ+0.03164556962025317 find+0.03164556962025317 more+0.056962025316455694 provid+0.06329113924050633 time+0.06329113924050633 also+0.06962025316455696 have+0.06962025316455696 high+0.0759493670886076 model+0.08227848101265822 our+0.10759493670886076 can+0.1518987341772152 data+0.26582278481012656 both+0.36075949367088606 differ+0.37341772151898733 than+0.37341772151898733 system+0.3987341772151899 one+0.4050632911392405 larg+0.4050632911392405 it+0.41139240506329117 between+0.4177215189873418 first+0.4620253164556962 show+0.47468354430379744 two+0.4810126582278481 propos+0.5189873417721519 paper+0.5253164556962026 method+0.5569620253164557 studi+0.5759493670886076 base+0.7088607594936709 result+0.7848101265822784
CLASS14:propos+0.016260162601626018 data+0.029132791327913278 paper+0.02981029810298103 first+0.037940379403794036 differ+0.05623306233062331 base+0.056910569105691054 also+0.12059620596205962 time+0.13008130081300814 our+0.1388888888888889 method+0.22967479674796748 can+0.25338753387533874 provid+0.29742547425474253 one+0.32859078590785906 both+0.3407859078590786 more+0.3604336043360434 system+0.3787262872628726 it+0.3800813008130081 two+0.39498644986449866 present+0.3983739837398374 effect+0.40447154471544716 show+0.40447154471544716 has+0.4275067750677507 larg+0.4424119241192412 between+0.44308943089430897 than+0.4532520325203252 high+0.45799457994579945 find+0.47831978319783197 observ+0.497289972899729 result+0.5928184281842819 have+0.6090785907859079 studi+0.6124661246612466 model+0.6138211382113821
CLASS15:more+0.015252621544327931 propos+0.03813155386081983 than+0.03908484270734033 method+0.04003813155386082 provid+0.0438512869399428 larg+0.047664442326024785 high+0.05433746425166826 also+0.09342230695900858 our+0.14013346043851288 model+0.19447092469018112 data+0.2459485224022879 can+0.2640610104861773 both+0.32221163012392756 paper+0.32507149666348906 find+0.34699714013346045 effect+0.36606291706387034 first+0.3746425166825548 observ+0.38894184938036225 system+0.38894184938036225 one+0.4184938036224976 present+0.4299332697807436 differ+0.43374642516682554 it+0.44518589132507147 has+0.451858913250715 show+0.4632983794089609 between+0.4671115347950429 base+0.4833174451858913 two+0.546234509056244 time+0.5643469971401335 have+0.5691134413727359 result+0.6015252621544328 studi+0.6148713060057197
CLASS16:propos+0.03195488721804511 system+0.039473684210526314 effect+0.047932330827067667 paper+0.051221804511278196 larg+0.07800751879699248 base+0.09868421052631579 studi+0.10291353383458647 time+0.13298872180451127 can+0.23308270676691728 method+0.28148496240601506 first+0.2899436090225564 both+0.31390977443609025 provid+0.33270676691729323 it+0.35855263157894735 one+0.35855263157894735 more+0.3698308270676692 two+0.38956766917293234 high+0.4055451127819549 has+0.4158834586466165 than+0.41635338345864664 data+0.41776315789473684 show+0.44219924812030076 present+0.4544172932330827 differ+0.4548872180451128 between+0.48214285714285715 observ+0.5014097744360902 find+0.5375939849624061 have+0.5765977443609023 also+0.6104323308270677 result+0.6179511278195489 our+0.6409774436090225 model+0.6607142857142857
CLASS17:one+0.052421367948077884 between+0.0654018971542686 than+0.07388916625062407 find+0.07388916625062407 two+0.08087868197703445 show+0.09935097353969047 studi+0.12231652521218173 also+0.15526709935097355 model+0.2031952071892162 observ+0.2865701447828258 both+0.2920619071392911 first+0.2960559161258113 more+0.29905142286570147 it+0.3364952571143285 differ+0.38092860708936593 effect+0.3869196205691463 provid+0.4033949076385422 larg+0.42036944583125313 has+0.4218671992011982 data+0.4418372441337993 propos+0.4613080379430854 method+0.4618072890664004 paper+0.4672990514228657 present+0.48427358961557665 system+0.4977533699450824 time+0.5227159261108337 have+0.526709935097354 our+0.5421867199201198 high+0.545681477783325 result+0.6140788816774838 base+0.6415376934598103 can+0.7109335996005991
CLASS18:find+0.011342155009451797 larg+0.04725897920604915 two+0.05103969754253308 than+0.06427221172022685 provid+0.07183364839319471 system+0.0831758034026465 have+0.09640831758034027 studi+0.10207939508506617 result+0.1323251417769376 our+0.21361058601134217 model+0.2514177693761815 effect+0.2892249527410208 both+0.30434782608695654 more+0.31190926275992437 first+0.31379962192816635 observ+0.34782608695652173 between+0.3799621928166352 method+0.387523629489603 high+0.389413988657845 differ+0.3950850661625709 one+0.40264650283553877 paper+0.4120982986767486 has+0.41965973534971646 it+0.42911153119092627 data+0.43100189035916825 propos+0.4612476370510397 show+0.5160680529300568 time+0.6030245746691871 base+0.6389413988657845 also+0.6502835538752363 present+0.6880907372400756 can+0.7599243856332704
CLASS19:propos+0.0574456948442816 method+0.0696152839570793 paper+0.07550379481811044 has+0.08754252813399634 larg+0.11554566867312221 have+0.1724679403297566 time+0.17678618162784612 first+0.2876210416121434 data+0.304501439413766 more+0.3082962575242083 it+0.3116985082439152 both+0.31353048940068046 provid+0.33407484951583355 than+0.34310389950274794 one+0.34598272703480765 high+0.36574195236848994 present+0.3809212248102591 effect+0.384977754514525 system+0.3891651400157027 base+0.4014655849254122 differ+0.40251243130070663 two+0.4356189479193928 observ+0.43758178487306987 find+0.4384977754514525 between+0.4805024862601413 show+0.49764459565558755 also+0.565820465846637 studi+0.5939544621826747 result+0.6104422925935619 our+0.6219576027218006 model+0.6419785396493065 can+0.6926197330541743
