CLASS0:observ+0.15695538057742783 find+0.15940507436570428 than+0.1900262467191601 time+0.2020997375328084 more+0.215923009623797 larg+0.21977252843394576 can+0.2204724409448819 between+0.24286964129483815 provid+0.2705161854768154 first+0.2755905511811024 our+0.28503937007874014 method+0.2962379702537183 paper+0.29816272965879265 has+0.30201224846894137 model+0.31408573928258965 studi+0.3249343832020997 base+0.3303587051618548 data+0.3930008748906387 propos+0.39457567804024496 it+0.44514435695538057 both+0.4453193350831146 show+0.45231846019247596 high+0.45721784776902885 one+0.46141732283464565 system+0.4797900262467192 have+0.4916885389326334 two+0.49221347331583554 effect+0.4958880139982502 differ+0.499912510936133 present+0.5237095363079615 also+0.579002624671916 result+0.68416447944007
CLASS1:data+0.04522613065326633 propos+0.05025125628140704 have+0.05527638190954774 observ+0.06532663316582915 differ+0.07537688442211055 base+0.08542713567839195 both+0.08542713567839195 method+0.08542713567839195 high+0.09045226130653267 more+0.09045226130653267 one+0.09045226130653267 between+0.09045226130653267 two+0.09045226130653267 model+0.09045226130653267 system+0.10050251256281408 than+0.11055276381909548 effect+0.12562814070351758 paper+0.12562814070351758 present+0.135678391959799 provid+0.1457286432160804 can+0.15577889447236182 it+0.17587939698492464 larg+0.17587939698492464 first+0.20100502512562815 find+0.21105527638190955 has+0.21608040201005024 studi+0.2864321608040201 show+0.2864321608040201 our+0.3065326633165829 also+0.864321608040201 time+0.9246231155778895 result+0.9748743718592965
CLASS10:observ+0.08317929759704251 differ+0.10219170847636652 both+0.1296540797465012 between+0.13810404013731187 find+0.1399524689728017 effect+0.14549775547927118 studi+0.16583047266965936 time+0.19408502772643252 system+0.20438341695273304 one+0.21019276472141538 than+0.22339582783205703 present+0.23078954317401637 method+0.23950356482703988 first+0.26696593609717456 data+0.2849221019276472 propos+0.28518616318986006 has+0.2965407974650119 two+0.32294692368629524 result+0.34301557961447054 our+0.36282017428043306 it+0.4008449960390811 more+0.42513863216266173 high+0.4327964087668339 have+0.4539213097438606 larg+0.46791655664114074 base+0.4726696593609718 paper+0.4776868233430156 model+0.5893847372590441 show+0.5938737787166622 provid+0.5946659625033007 also+0.7298653287562714 can+0.7377871666226564
CLASS11:propos+0.06369426751592357 show+0.08209483368719038 paper+0.1464968152866242 data+0.15145081387119605 base+0.1521585279547063 it+0.1670205237084218 time+0.16772823779193205 both+0.17055909412597312 observ+0.17763623496107572 also+0.1797593772116065 one+0.18471337579617833 first+0.22009907997169142 model+0.22363765038924274 provid+0.23142250530785563 between+0.25336164189667376 than+0.2774239207360226 larg+0.2795470629865534 method+0.3227176220806794 two+0.3602264685067233 system+0.418966737438075 present+0.4359518754423213 result+0.4430290162774239 differ+0.445859872611465 more+0.49469214437367304 have+0.521585279547063 high+0.5251238499646143 has+0.5491861288039632 effect+0.5746638358103326 can+0.5909412597310687 find+0.610757254069356 studi+0.6574663835810333 our+0.7254069355980184
CLASS12:two+0.03512484130342785 differ+0.06771053745239103 between+0.10241218789674143 system+0.12399492170969106 show+0.14600084638171815 effect+0.15192551840880236 one+0.16335167160389336 both+0.16504443504020314 it+0.2120186203977994 first+0.21709691070672874 find+0.2242911553110453 base+0.2293694456199746 also+0.25772323317816337 more+0.26237833262801524 provid+0.26745662293694455 high+0.28142192128650023 propos+0.30046550994498517 larg+0.30554380025391453 data+0.31273804485823103 method+0.35505713076597545 than+0.39441388066017774 result+0.4346170122725349 present+0.43800253914515447 paper+0.44138806601777403 studi+0.48243757934828607 has+0.4955564959796868 observ+0.4993652137113838 can+0.5484553533643673 have+0.5742699957680915 model+0.6174354633939907 time+0.663563267033432 our+0.8104104951333051
CLASS13:observ+0.07765064836003051 present+0.1551487414187643 data+0.1574370709382151 than+0.15987795575896263 effect+0.1604881769641495 more+0.16262395118230358 differ+0.16399694889397406 find+0.1664378337147216 larg+0.18962623951182303 system+0.2022883295194508 model+0.22547673531655224 between+0.22639206712433257 also+0.24439359267734553 time+0.25003813882532416 provid+0.27063310450038136 has+0.2764302059496567 high+0.3005339435545385 base+0.30465293668954996 studi+0.309534706331045 it+0.36292906178489703 have+0.3643020594965675 both+0.3687261632341724 first+0.37696414950419527 propos+0.3873379099923722 method+0.39527078565980167 two+0.4372234935163997 one+0.47185354691075515 paper+0.4796338672768879 show+0.6358504958047292 can+0.7354691075514874 our+0.7597254004576659 result+0.8556826849733028
CLASS14:propos+0.11200856364344103 system+0.13507201245620865 paper+0.14198131568703776 effect+0.1535616971584274 it+0.16932658622031918 method+0.1702024133904243 one+0.1787660568314519 time+0.19725574153367068 first+0.21214480342545738 has+0.21662125340599456 provid+0.2338458544180615 larg+0.23705722070844687 more+0.26946282600233556 present+0.27277150642273257 high+0.3142273258077073 base+0.3730050603347606 data+0.3830284157259634 both+0.3978201634877384 than+0.41835344492020243 result+0.43869209809264303 two+0.4659400544959128 differ+0.4861813935383418 our+0.4861813935383418 can+0.4904632152588556 show+0.514207862981705 find+0.51449980537174 have+0.5209225379525108 observ+0.5263721292331647 also+0.5497275204359673 between+0.5656870377578824 studi+0.6044180615025302 model+0.6546321525885559
CLASS15:propos+0.0659658344283837 it+0.11747700394218134 paper+0.1440210249671485 base+0.14507227332457293 both+0.16662286465177398 show+0.17056504599211564 can+0.19947437582128777 method+0.20131406044678055 more+0.2052562417871222 time+0.20867279894875165 effect+0.2149802890932983 than+0.2278580814717477 has+0.2501971090670171 high+0.2530880420499343 first+0.26649145860709594 studi+0.28147174770039424 present+0.2840998685939553 provid+0.32982917214191854 model+0.3419185282522996 find+0.34296977660972405 between+0.35400788436268066 differ+0.38160315374507225 data+0.407095926412615 system+0.4076215505913272 two+0.447568988173456 have+0.4730617608409987 one+0.4883048620236531 larg+0.5053876478318002 also+0.5303547963206308 observ+0.547700394218134 our+0.7847568988173456 result+0.8063074901445466
CLASS2:studi+0.16074895977808598 find+0.17198335644937587 effect+0.17572815533980582 present+0.17711511789181691 data+0.20527045769764216 also+0.20790568654646324 larg+0.20929264909847434 both+0.22052704576976423 high+0.23231622746185854 than+0.23952843273231622 it+0.24535367545076284 between+0.2478502080443828 provid+0.24826629680998613 first+0.24854368932038834 paper+0.2837725381414702 our+0.34618585298196947 observ+0.3522884882108183 method+0.3687933425797503 result+0.38072122052704577 propos+0.4110957004160888 more+0.4228848821081831 base+0.46255201109570043 system+0.4719833564493759 differ+0.49181692094313456 have+0.49361997226074894 has+0.5023578363384189 show+0.5147018030513176 two+0.5151178918169209 one+0.5957004160887656 model+0.5997226074895978 time+0.6485436893203883 can+0.6857142857142857
CLASS3:have+0.15419747716398435 observ+0.18997390169638972 find+0.19171378860374075 one+0.19671596346237494 also+0.20313179643323184 it+0.21541974771639844 more+0.2352109612875163 differ+0.23531970421922574 two+0.23705959112657676 both+0.24434536755110917 high+0.2670726402783819 larg+0.2774032187907786 paper+0.29762940408873423 than+0.3202479338842975 provid+0.3305785123966942 propos+0.4044149630274032 has+0.43247063940843844 studi+0.43714658547194435 present+0.43823401478903873 method+0.44030013049151806 our+0.44225750326228797 data+0.4537842540234885 first+0.45400173988690734 effect+0.4551979121357112 system+0.4733579817311875 between+0.4785776424532405 result+0.49206176598521095 show+0.5390387124836885 can+0.5685080469769465 base+0.5739451935624185 model+0.5969986950848195 time+0.5985210961287516
CLASS4:data+0.024390243902439025 propos+0.039634146341463415 high+0.06554878048780488 observ+0.0701219512195122 method+0.08231707317073171 both+0.08384146341463415 system+0.08384146341463415 base+0.08841463414634146 have+0.0899390243902439 effect+0.10060975609756098 model+0.1173780487804878 larg+0.12957317073170732 differ+0.13719512195121952 time+0.14939024390243902 two+0.1524390243902439 it+0.16615853658536586 present+0.17378048780487804 paper+0.1951219512195122 find+0.19969512195121952 can+0.21341463414634146 first+0.23628048780487804 provid+0.25914634146341464 than+0.27134146341463417 studi+0.33384146341463417 has+0.3475609756097561 our+0.4024390243902439 more+0.5121951219512195 one+0.5929878048780488 between+0.6173780487804879 also+0.7667682926829268 show+0.8155487804878049 result+0.8871951219512195
CLASS5:have+0.03818953323903819 than+0.12305516265912306 high+0.12446958981612447 studi+0.12871287128712872 both+0.14002828854314003 more+0.14144271570014144 time+0.16831683168316833 find+0.1768033946251768 model+0.18246110325318246 show+0.1867043847241867 effect+0.20933521923620935 system+0.21923620933521923 present+0.2263083451202263 one+0.2376237623762376 data+0.23903818953323905 between+0.2545968882602546 method+0.26449787835926447 provid+0.26874115983026875 result+0.28995756718529 has+0.3041018387553041 first+0.3338048090523338 observ+0.347949080622348 two+0.41725601131541723 it+0.4794908062234795 larg+0.4908062234794908 propos+0.5091937765205092 paper+0.5134370579915134 differ+0.6067892503536068 base+0.635077793493635 can+0.6775106082036775 also+0.7567185289957568 our+0.826025459688826
CLASS6:propos+0.0757026291931097 paper+0.09655485040797825 differ+0.12239347234814144 method+0.12375339981867634 more+0.13644605621033545 show+0.1500453309156845 data+0.1613780598368087 it+0.18948322756119673 than+0.19401631912964643 studi+0.20444242973708068 has+0.20670897552130554 model+0.2126019945602901 result+0.22030825022665457 one+0.22393472348141433 first+0.2370806890299184 present+0.24524025385312784 larg+0.26518585675430645 between+0.26745240253853125 our+0.28377153218495016 high+0.2955575702629193 system+0.3100634632819583 base+0.3590208522212149 both+0.42656391659111514 two+0.4542157751586582 have+0.4696282864913871 provid+0.5321849501359928 effect+0.5462375339981868 find+0.5498640072529465 observ+0.5621033544877606 also+0.6255666364460563 can+0.6300997280145059 time+0.7515865820489573
