CLASS0:find+0.06396588486140725 our+0.08163265306122448 time+0.09990862016448371 observ+0.11757538836430094 can+0.11940298507462686 than+0.14529393847091077 larg+0.16235150776728602 between+0.20347243374961926 more+0.23210478221139202 show+0.23819677124581176 first+0.24154736521474263 provid+0.2735303076454462 model+0.31312823636917453 data+0.3222662199208041 has+0.33840999086201645 studi+0.34663417605848307 paper+0.3740481267133719 both+0.3883643009442583 method+0.3886689003959793 propos+0.4054218702406336 high+0.4093816631130064 it+0.4240024367956138 system+0.42491623515077676 one+0.4562899786780384 effect+0.45903137374352726 differ+0.4739567468778556 base+0.4773073408467865 two+0.47852573865367043 present+0.48279013097776424 have+0.5187328662808407 also+0.581784952787085 result+0.604325312214438
CLASS1:between+0.020618556701030927 data+0.030927835051546393 base+0.030927835051546393 model+0.041237113402061855 two+0.05154639175257732 system+0.05154639175257732 observ+0.061855670103092786 propos+0.061855670103092786 both+0.061855670103092786 effect+0.07216494845360824 differ+0.07216494845360824 method+0.07216494845360824 present+0.07216494845360824 provid+0.08247422680412371 have+0.08247422680412371 more+0.09278350515463918 can+0.09278350515463918 one+0.09278350515463918 high+0.10309278350515463 than+0.10309278350515463 paper+0.12371134020618557 first+0.15463917525773196 larg+0.16494845360824742 our+0.17525773195876287 it+0.18556701030927836 has+0.1958762886597938 find+0.1958762886597938 show+0.32989690721649484 studi+0.3917525773195876 also+0.9278350515463918 result+0.9690721649484536 time+0.9690721649484536
CLASS10:between+0.0739787713091026 observ+0.07655194596333226 differ+0.08523641042135735 find+0.12962367320681892 effect+0.138308137664844 both+0.14506272113219684 time+0.15599871341267288 studi+0.16854293985204247 first+0.212930202637504 two+0.2167899646188485 system+0.23383724670311998 present+0.2348021871984561 our+0.24220006432936636 than+0.25924734641363784 result+0.276616275329688 method+0.28240591830170475 one+0.3026696687037633 data+0.3036346091990994 propos+0.31971695078803475 more+0.36957220971373433 high+0.37182373753618525 base+0.3782566741717594 it+0.3811514956577678 paper+0.3936957220971373 has+0.40463171437761336 larg+0.44741074300418143 have+0.4889031843036346 provid+0.5008041170794467 model+0.5043422322290125 show+0.5738179478932133 can+0.7989707301383081 also+0.8571888066902541
CLASS11:show+0.025487256371814093 propos+0.06746626686656672 time+0.08845577211394302 base+0.11544227886056972 paper+0.12293853073463268 data+0.12593703148425786 first+0.14842578710644677 model+0.15142428785607195 one+0.15592203898050974 provid+0.16041979010494753 also+0.17391304347826086 both+0.17991004497751126 observ+0.18140929535232383 it+0.191904047976012 method+0.21139430284857572 between+0.26686656671664166 two+0.27586206896551724 present+0.3058470764617691 larg+0.3193403298350825 than+0.33883058470764615 system+0.37031484257871067 result+0.4047976011994003 differ+0.4122938530734633 high+0.48575712143928035 more+0.4917541229385307 have+0.553223388305847 our+0.5772113943028486 has+0.616191904047976 find+0.6506746626686657 effect+0.671664167916042 can+0.7151424287856072 studi+0.7421289355322339
CLASS12:two+0.026077097505668934 differ+0.06500377928949358 between+0.07369614512471655 show+0.1402116402116402 system+0.15192743764172337 both+0.1602418745275888 one+0.17951625094482238 effect+0.1889644746787604 first+0.21201814058956917 it+0.2456538170823885 also+0.25510204081632654 propos+0.25774754346182915 find+0.29554043839758126 base+0.29780801209372637 provid+0.3000755857898715 method+0.30612244897959184 paper+0.3216175359032502 more+0.345427059712774 present+0.36394557823129253 data+0.3794406651549509 result+0.3915343915343915 larg+0.3949357520786092 high+0.40476190476190477 studi+0.41043083900226757 than+0.41572184429327286 can+0.5185185185185185 has+0.518896447467876 observ+0.5918367346938775 have+0.6126228269085412 model+0.6133786848072562 time+0.7173091458805745 our+0.7925170068027211
CLASS13:observ+0.09324844143785647 than+0.13940840960339568 data+0.15890701684573552 find+0.1721713755139939 present+0.17283459344740681 effect+0.18278286244860062 between+0.18331343679533094 more+0.18875182384931688 differ+0.2148826104257859 time+0.2150152540124685 larg+0.21554582835919883 high+0.2398196047221117 system+0.2525533890436397 model+0.26422602467170714 also+0.2882345138612548 provid+0.2997745059026396 has+0.3074678339302295 both+0.3160896670645974 it+0.32590529247910865 method+0.34500596896140073 first+0.35031171242870407 base+0.3561480302427378 propos+0.35853561480302426 studi+0.37378962727152143 have+0.3767077861785383 paper+0.41398063403634433 two+0.43719326170579653 one+0.5158509086085687 show+0.6381482955299111 our+0.7556705133306805 can+0.8035548481230933 result+0.8653667595171773
CLASS14:paper+0.13300689517337863 system+0.14270010992305387 effect+0.14509843109823123 it+0.1528929749175577 propos+0.15399220545618067 has+0.1861696812231438 time+0.18726891176176677 method+0.1927650644548816 provid+0.2131507944438893 one+0.21375037473768363 larg+0.21395023483561507 first+0.22424302987908465 present+0.2758069351453982 more+0.32337363845308287 data+0.35255321275107426 base+0.35345258319176576 both+0.36374537823523534 result+0.3682422304386929 high+0.3715399220545618 than+0.40211851703807333 two+0.46257619666233635 differ+0.4715699010692515 can+0.4831617867492755 find+0.5092435295293295 between+0.5175377235934846 observ+0.5297291895673029 our+0.5325272309383432 have+0.5368242230438693 show+0.565903867292895 also+0.5967822524233037 model+0.613670430698511 studi+0.6173678425102428
CLASS15:propos+0.11671006279675294 show+0.12513401746056058 paper+0.16265890641752181 it+0.16847909327615254 can+0.1888497472813601 time+0.2049318425486292 base+0.2158064022055445 method+0.23005054372798284 more+0.24659212743145964 has+0.2545565936590596 both+0.25486291928319804 studi+0.262827385510798 than+0.26926022361770563 effect+0.27508041047633636 first+0.2756930617246133 differ+0.34859856026956654 provid+0.3547250727523357 system+0.35993260836268953 present+0.367590748966151 high+0.3700413539592587 data+0.3741767498851279 between+0.41277377852657376 find+0.4227293613110737 also+0.4458569459335273 model+0.446316434369735 larg+0.4567315055904426 two+0.4623985296370041 have+0.46729973962321947 one+0.4691376933680502 observ+0.5549088681268188 our+0.7068463776994945 result+0.8037984377393169
CLASS2:studi+0.0973138548539114 find+0.1413760603204524 effect+0.15127238454288408 data+0.17530631479736097 high+0.18001885014137606 larg+0.1828463713477851 present+0.18473138548539114 our+0.19863336475023563 provid+0.21300659754948162 both+0.22054665409990576 also+0.23751178133836004 first+0.24575871819038642 result+0.26201696512723843 method+0.26460885956644675 between+0.27238454288407166 it+0.2836946277097078 observ+0.2858152686145146 than+0.30113100848256363 paper+0.3364750235626767 propos+0.35367577756833174 base+0.37441093308199813 more+0.40032987747408105 system+0.4309613572101791 show+0.45852968897266727 differ+0.47478793590951934 model+0.4825636192271442 has+0.5139019792648445 two+0.5174363807728558 have+0.600612629594722 time+0.6677662582469368 one+0.6939208294062206 can+0.7196041470311028
CLASS3:observ+0.1676070361765682 one+0.17417855957517425 find+0.17570527713242615 have+0.17736475273813476 also+0.23372054430799868 more+0.25290408230999006 larg+0.2615997344839031 high+0.28031861931629604 it+0.2837703285761699 than+0.28483239296382346 both+0.29299701294390973 two+0.33043478260869563 paper+0.3309658148025224 differ+0.3340192499170262 provid+0.3611018918021905 propos+0.38300696979754395 method+0.3838035180882841 studi+0.387454364420843 first+0.38765350149352806 present+0.38964487222037836 has+0.3921008961168271 data+0.39356123464985066 effect+0.42144042482575506 system+0.4270826418851643 our+0.45469631596415533 between+0.4600730169266512 base+0.49000995685363424 result+0.5315632260205775 can+0.5611682708264188 show+0.5946232990375041 model+0.595552605376701 time+0.6075008297378028
CLASS4:data+0.01646090534979424 propos+0.03909465020576132 model+0.03909465020576132 base+0.051440329218107 high+0.051440329218107 both+0.053497942386831275 observ+0.06995884773662552 method+0.0720164609053498 system+0.0823045267489712 time+0.09053497942386832 effect+0.09670781893004116 larg+0.10699588477366255 have+0.13580246913580246 differ+0.14814814814814814 present+0.1522633744855967 can+0.1748971193415638 two+0.18106995884773663 find+0.20164609053497942 it+0.23251028806584362 provid+0.23868312757201646 paper+0.25102880658436216 first+0.257201646090535 than+0.31893004115226337 our+0.38065843621399176 studi+0.4444444444444444 more+0.45267489711934156 has+0.4732510288065844 between+0.5267489711934157 one+0.5823045267489712 show+0.8271604938271605 result+0.8580246913580247 also+0.9094650205761317
