novels_standard_lowercase, 41532 Words
novels_standard_asciifolding, 50003 Words
novels_standard_stop, 56146 Words
novels_standard_stemmer, 46090 Words
novels_standard_porter_stem, 44380 Words
novels_standard_kstem, 59491 Words
novels_standard_snowball, 50431 Words
novels_whitespace_lowercase, 158974 Words
novels_whitespace_asciifolding, 21268 Words
novels_whitespace_stop, 130939 Words
novels_whitespace_stemmer, 152536 Words
novels_whitespace_porter_stem, 164486 Words
novels_whitespace_kstem, 169951 Words
novels_whitespace_snowball, 157076 Words
novels_classic_lowercase, 57510 Words
novels_classic_asciifolding, 71223 Words
novels_classic_stop, 72476 Words
novels_classic_stemmer, 51085 Words
novels_classic_porter_stem, 48521 Words
novels_classic_kstem, 54266 Words
novels_classic_snowball, 48018 Words
novels_letter_lowercase, 53499 Words
novels_letter_asciifolding, 19711 Words
novels_letter_stop, 37396 Words
novels_letter_stemmer, 45523 Words
novels_letter_porter_stem, 45523 Words
novels_letter_kstem, 49067 Words
novels_letter_snowball, 44872 Words
